"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee0011.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"table 11.  Justice system employment and payrolls of State governments by activity, March 2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2000, NCJ 194802",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"author:  Steven Smith",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  1/10/2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11.   Justice system employment and payrolls of State governments by activity, March 2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                     Total justice system",,,,,,"                                                          Police protection",,,,,,"                                                                              Judicial and Legal",,,,,,"                                             Corrections",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Average",,,,,,"Average",,,,,,"Average",,,,,,"Average",,,,,
,"                            Employment",,,"March","earnings of",,"                         Employment",,,"March","earnings of",,"                         Employment",,,"March","earnings of",,"                         Employment",,,"March","earnings of",,,,,
,,,,"payrolls","full-time",,,,,"payrolls","full-time",,,,,"payrolls","full-time",,,,,"payrolls","full-time",,,,,
,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees","State",,,,
"State","employees","employees","equivalent","of dollars)","(dollars)",,"employees","employees","equivalent","of dollars)","(dollars)",,"employees","employees","equivalent","of dollars)","(dollars)",,"employees","employees","equivalent","of dollars)","(dollars)",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total",724687,697678,713623,2363983,3327,,103133,99808,101265,379630,3768,,157814,147119,153637,587383,3874,,463740,450751,458721,1396970,3051,"Total",1375290846,569926194,376044942,2321261982
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alabama",8818,8633,8771,25737,2957,,1362,1340,1353,4167,3101,,3079,2925,3046,10088,3384,,4377,4368,4372,11482,2627,"Alabama",11474360,9899508,4155813,25529681
"Alaska",3359,3173,3236,13284,4133,,507,424,440,2039,4732,,1249,1166,1199,4948,4146,,1603,1583,1597,6297,3963,"Alaska",6273760,4834087,2006279,13114126
"Arizona",12920,12716,12830,37959,2957,,1902,1901,1902,6718,3533,,1387,1291,1346,5423,4061,,9631,9524,9582,25819,2692,"Arizona",25639120,5242969,6716994,37599083
"Arkansas",5340,5307,5329,13208,2481,,1151,1150,1151,3163,2750,,418,405,412,2090,5110,,3771,3752,3766,7954,2115,"Arkansas",7935393,2069641,3162212,13167246
"California",65815,60963,63741,277938,4410,,13889,12327,12843,59315,4681,,3842,3392,3615,19248,5424,,48084,45244,47283,199375,4260,"California",192742628,18397327,57705342,268845297
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Colorado",11041,10155,10669,38121,3581,,1145,1144,1144,5083,4443,,3773,2968,3428,12716,3755,,6123,6043,6097,20322,3333,"Colorado",20142827,11143417,5082414,36368658
"Connecticut",14921,14605,14865,55164,3721,,1734,1670,1724,7508,4412,,4157,3982,4138,15488,3766,,9030,8953,9003,32168,3571,"Connecticut",31974234,14996431,7367882,54338547
"Delaware",4842,4615,4770,15243,3242,,922,872,900,3589,4060,,1460,1436,1447,4461,3081,,2460,2307,2423,7194,3033,"Delaware",6996518,4424305,3540686,14961509
"Florida",51060,49444,50565,165448,3299,,4527,4404,4468,11810,2655,,18032,16785,17743,58087,3350,,28501,28255,28354,95551,3369,"Florida",95177759,56232774,11694490,163105023
"Georgia",23183,22415,22840,57778,2537,,2214,2184,2210,6685,3037,,1412,1237,1294,6329,4989,,19557,18994,19336,44765,2320,"Georgia",44065552,6170926,6632142,56868620
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Hawaii",4572,4506,4536,13470,2958,,"-","-","-","-","-",,2171,2123,2140,7009,3253,,2401,2383,2396,6461,2694,"Hawaii",6420612,6906946,0,13327558
"Idaho",2645,2476,2538,7904,3145,,472,454,468,1573,3369,,466,444,451,2039,4555,,1707,1578,1619,4292,2683,"Idaho",4233890,2022584,1529639,7786113
"Illinois",23035,22886,22945,87910,3831,,4080,4066,4074,17941,4407,,3181,3069,3110,17635,5699,,15774,15751,15761,52335,3319,"Illinois",52274374,17490570,17918736,87683680
