"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee0016.csv",,,,,,,,,,,,,,,,,,,,,,,,
"table. 16 Justice system employment and payrolls of 49 large city governments by activity, March 2000",,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2000, NCJ 194802",,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,
"author:  Steven Smith ",,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  1/10/2002",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 16. Justice system employment and payrolls of 49 large city governments by activity, March 2000",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"                                          Total justice system",,,,,,"                                                  Police protection",,,,,,"                                             Judicial and legal",,,,,,"                                               Corrections",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                         Employment",,,,"Average",,"                                                         Employment",,,,"Average",,"                                                         Employment",,,,"Average",,"                                                         Employment",,,,"Average",
,,,,"March","earnings of",,,,,"March","earnings of",,,,,"March","earnings of",,,,,"March","earnings of",
,,,,"payrolls","full-time",,,,,"payrolls","full-time",,,,,"payrolls","full-time",,,,,"payrolls","full-time",
,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",
"City","employees","employees","equivalent","of dollars)","(dollars)",,"employees","employees","equivalent","of dollars)","(dollars)",,"employees","employees","equivalent","of dollars)","(dollars)",,"employees","employees","equivalent","of dollars)","(dollars)","City"
,,,,,,,,,,,,,,,,,,,,,,,,
"Albuquerque, NM",1947,1822,1860,5629,3046,,1388,1263,1301,4135,3210,,125,125,125,412,3295,,434,434,434,1082,2494,"Albuquerque, NM"
"Atlanta, GA",3498,3273,3346,10493,3130,,2454,2339,2364,7106,3020,,474,364,412,1349,3142,,570,570,570,2037,3574,"Atlanta, GA"
"Austin, TX",2101,1932,1970,7127,3660,,1828,1681,1704,6369,3772,,273,251,266,757,2914,,0,0,0,0,0,"Austin, TX"
