"Bureau of Justice Statistics",,,,,,
"filename:  cjee0019.csv",,,,,,
"table #:  19 Supplemental data for 68 large county governments",,,,,,
"series title:  Justice Expenditure and Employment Extracts 2000, NCJ 202792",,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,
"author:  Lynn Bauer",,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,
"date of version:  12/19/2003",,,,,,
,,,,,,
"Table 19. Supplemental data for 68 large county governments",,,,,,
,,,,,,
,,"Expenditures, fiscal 2000 (thousands of dollars)",,,"Full-time equivalent employment, March 2000",
,,"All functions",,,,
"County","Population 2000/a","Total (direct and intergovernmental)","Direct expenditure only","Total general expenditure/b","All functions","General functions only/c"
,,,,,,
"Alameda, CA",1443741,$2030880.00,$1905949.00,$1786972.00,11095,11095
"Allegheny, PA",1281666,$1267044.00,$1174876.00,$1130009.00,6834,6834
"Baltimore, MD",754292,$1933519.00,$1858815.00,$1759612.00,20742,20742
"Bergen, NJ",884118,$672477.00,$641565.00,$641565.00,4087,4087
"Bexar, TX",1392931,$713761.00,$658147.00,$655873.00,9065,9065
"Broward, FL",1623018,$1416495.00,$1379461.00,$1252564.00,10823,9682
"Clark, NV",948816,$1511588.00,$1462382.00,$1361005.00,9521,9521
,,,,,,
"Contra Costa, CA",5376741,$2521189.00,$2501740.00,$2302253.00,28877,28877
"Cook, IL",1393978,$1553448.00,$1531618.00,$1531618.00,16068,16068
"Cuyahoga, OH",2253362,$4896406.00,$4890163.00,$4463285.00,35081,31486
"Dade, FL",2218899,$1111541.00,$1106815.00,$1086025.00,11969,11969
"Dallas, TX",665865,$635247.00,$594517.00,$474470.00,6204,5856
"Dekalb, GA",550864,$365609.00,$358779.00,$348953.00,3228,3228
"Delaware, PA",904161,$413224.00,$406924.00,$405423.00,3571,3557
,,,,,,
"Du Page, IL",950265,$1389499.00,$1069025.00,$1036658.00,9787,9531
"Erie, NY",793633,$686864.00,$642741.00,$642741.00,4966,4966
"Essex, NJ",969749,$3174683.00,$3102965.00,$2820027.00,32306,31935
"Fairfax, VA",1068978,$855025.00,$830961.00,$830135.00,6509,6509
"Franklin, OH",799407,$930371.00,$920065.00,$864691.00,8182,8182
"Fresno, CA",816006,$1097350.00,$620101.00,$522877.00,7707,7659
"Fulton, GA",845303,$1076787.00,$830137.00,$830137.00,5728,5728
,,,,,,
"Hamilton, OH",3400578,$2253862.00,$2253862.00,$2253862.00,19416,19384
"Harris, TX",1116200,$1308114.00,$1307685.00,$1307685.00,10961,10961
"Hennepin, MN",998948,$1177987.00,$1164312.00,$1035538.00,12224,11935
"Hillsborough, FL",608975,$363048.00,$335750.00,$335750.00,3436,3436
"Hudson, NJ",654880,$199638.00,$195556.00,$193112.00,1975,1975
"Jackson, MO",662047,$653145.00,$637412.00,$626925.00,4736,4736
"Jefferson, AL",693604,$481797.00,$467611.00,$467611.00,3433,3433
,,,,,,
