"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee0105.wk1",,,,,,,,,,,,,,,,,,,,,,
"Table 5.   State and local justice system employment, and percent of all employment, by State and level of government, March 2001",,,,,,,,,,,,,,,,,,,,,,
"report title:  Justice Expenditure and Employment in the United States, 2001 NCJ 202792",,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,
"date of version:  12/19/2003",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 5.   State and local justice system employment, and percent of all employment, by State, March 2001",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,"Total justice system",,,,,,"Police protection",,,,,"Judicial and legal",,,,,"Corrections",,,,
,,,"Full-time equivalent employment",,,,,,"Full-time equivalent employment",,,,,"Full-time equivalent employment",,,,,"Full-time equivalent employment",,,
,,"Number of employees",,,,,"Number of employees",,,,,"Number of employees",,,,,"Number of employees",,,,,
"State and type of government","Total full-time equivalent employment/a","Total","Full-time only ","Number","Percent of total full-time equivalent employment/b",,"Total","Full-time only ","Number","Percent of total justice full-time equivalent employment/b",,"Total","Full-time only","Number","Percent of total justice full-time equivalent employment/b",,"Total","Full-time only","Number","Percent of total justice full-time equivalent employment/b",,"State and type of government"
,,,,,,,,,,,,,,,,,,,,,,
"States-local, total",15372855,2098160,1911494,1987724,12.9,"%",953882,844190,884667,44.5,"%",430190,383296,402323,20.2,"%",714088,684008,700734,35.3,"%","States-local, total"
"State",4173400,741007,714516,730340,17.5,,104657,101976,103141,14.1,,162982,153068,158794,21.7,,473368,459472,468405,64.1,,"State"
"Local, total",11199455,1357153,1196978,1257384,11.2,,849225,742214,781526,62.2,,267208,230228,243529,19.4,,240720,224536,232329,18.5,,"Local, total"
"Counties",2438787,645525,589732,613977,25.2,,237641,216046,224120,36.5,,202401,183087,192051,31.3,,205483,190599,197806,32.2,,"Counties"
"Municipalities",2901580,711628,607246,643407,22.2,,611584,526168,557406,86.6,,64807,47141,51478,8.0,,35237,33937,34523,5.4,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Alabama",268438,26866,24739,25599,9.5,,13333,12442,12861,50.2,,6131,5159,5378,21.0,,7402,7138,7360,28.8,,"Alabama"
"State",84308,9465,9278,9378,11.1,,1351,1325,1333,14.2,,3528,3380,3461,36.9,,4586,4573,4584,48.9,,"State"
"Local, total",184130,17401,15461,16221,8.8,,11982,11117,11528,71.1,,2603,1779,1917,11.8,,2816,2565,2776,17.1,,"Local, total"
"Counties",19654,6605,5837,6179,31.4,,2612,2412,2447,39.6,,1496,1168,1270,20.6,,2497,2257,2462,39.8,,"Counties"
"Municipalities",38982,10796,9624,10042,25.8,,9370,8705,9081,90.4,,1107,611,647,6.4,,319,308,314,3.1,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Alaska",49183,5430,4595,4809,9.8,,2172,1536,1640,34.1,,1431,1299,1386,28.8,,1827,1760,1783,37.1,,"Alaska"
"State",23937,3475,3293,3359,14.0,,517,440,451,13.4,,1278,1198,1234,36.7,,1680,1655,1674,49.8,,"State"
"Local, total",25246,1955,1302,1450,5.7,,1655,1096,1189,82.0,,153,101,152,10.5,,147,105,109,7.5,,"Local, total"
"Boroughs",9872,96,96,96,1.0,,60,60,60,62.5,,26,26,26,27.1,,10,10,10,10.4,,"Boroughs"
"Municipalities",15259,1859,1206,1354,8.9,,1595,1036,1129,83.4,,127,75,126,9.3,,137,95,99,7.3,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Arizona",251737,40845,39490,40125,15.9,,16720,16465,16606,41.4,,10328,9526,9873,24.6,,13797,13499,13646,34.0,,"Arizona"
"State",65185,12936,12760,12865,19.7,,1877,1871,1874,14.6,,1450,1374,1417,11.0,,9609,9515,9574,74.4,,"State"
"Local, total",186552,27909,26730,27260,14.6,,14843,14594,14732,54.0,,8878,8152,8456,31.0,,4188,3984,4072,14.9,,"Local, total"
"Counties",31803,15327,14675,14922,46.9,,4165,4110,4136,27.7,,6983,6590,6723,45.1,,4179,3975,4063,27.2,,"Counties"
"Municipalities",40113,12582,12055,12338,30.8,,10678,10484,10596,85.9,,1895,1562,1733,14.0,,9,9,9,0.1,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Arkansas",150958,17561,15762,16501,10.9,,8445,7584,7900,47.9,,3152,2414,2755,16.7,,5964,5764,5846,35.4,,"Arkansas"
"State",51230,6731,6594,6671,13.0,,1178,1174,1178,17.7,,1316,1202,1263,18.9,,4237,4218,4230,63.4,,"State"
"Local, total",99728,10830,9168,9830,9.9,,7267,6410,6722,68.4,,1836,1212,1492,15.2,,1727,1546,1616,16.4,,"Local, total"
"Counties",12553,4752,3949,4194,33.4,,2097,1697,1754,41.8,,970,746,866,20.6,,1685,1506,1574,37.5,,"Counties"
"Municipalities",20227,6078,5219,5636,27.9,,5170,4713,4968,88.1,,866,466,626,11.1,,42,40,42,0.7,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"California",1735139,242314,224031,233652,13.5,,105275,96576,100079,42.8,,54646,51142,53238,22.8,,82393,76313,80335,34.4,,"California"
"State",372678,67475,62634,65649,17.6,,13692,12630,12958,19.7,,3999,3631,3795,5.8,,49784,46373,48896,74.5,,"State"
"Local, total",1362461,174839,161397,168003,12.3,,91583,83946,87121,51.9,,50647,47511,49443,29.4,,32609,29940,31439,18.7,,"Local, total"
"Counties",344437,110066,102619,106546,30.9,,32250,30465,31061,29.2,,46645,43652,45484,42.7,,31171,28502,30001,28.2,,"Counties"
"Municipalities",236880,64773,58778,61457,25.9,,59333,53481,56060,91.2,,4002,3859,3959,6.4,,1438,1438,1438,2.3,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Colorado",234033,28897,26711,27690,11.8,,12914,12109,12401,44.8,,6194,4989,5591,20.2,,9789,9613,9698,35.0,,"Colorado"
"State",67328,11594,10654,11216,16.7,,1188,1167,1176,10.5,,3892,3047,3546,31.6,,6514,6440,6494,57.9,,"State"
"Local, total",166705,17303,16057,16474,9.9,,11726,10942,11225,68.1,,2302,1942,2045,12.4,,3275,3173,3204,19.4,,"Local, total"
"Counties",23553,6936,6448,6566,27.9,,3600,3276,3336,50.8,,947,876,908,13.8,,2389,2296,2322,35.4,,"Counties"
"Municipalities",40904,10367,9609,9908,24.2,,8126,7666,7889,79.6,,1355,1066,1137,11.5,,886,877,882,8.9,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Connecticut",181974,24877,22937,23896,13.1,,11647,10004,10703,44.8,,4503,4282,4491,18.8,,8727,8651,8702,36.4,,"Connecticut"
"State",66200,14850,14524,14799,22.4,,1826,1783,1812,12.2,,4297,4090,4285,29.0,,8727,8651,8702,58.8,,"State"
"Local, total",115774,10027,8413,9097,7.9,,9821,8221,8891,97.7,,206,192,206,2.3,,0,0,0,0.0,,"Local, total"
"Municipalities",107720,10027,8413,9097,8.4,,9821,8221,8891,97.7,,206,192,206,2.3,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Delaware",45758,6613,6094,6444,14.1,,2557,2227,2431,37.7,,1574,1545,1559,24.2,,2482,2322,2454,38.1,,"Delaware"
"State",24324,4875,4644,4811,19.8,,921,871,897,18.6,,1472,1451,1460,30.3,,2482,2322,2454,51.0,,"State"
"Local, total",21434,1738,1450,1633,7.6,,1636,1356,1534,93.9,,102,94,99,6.1,,0,0,0,0.0,,"Local, total"
"Counties",2371,676,496,625,26.4,,605,426,554,88.6,,71,70,71,11.4,,0,0,0,0.0,,"Counties"
"Municipalities",2767,1062,954,1008,36.4,,1031,930,980,97.2,,31,24,28,2.8,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"District of Columbia",44518,6901,6715,6810,15.3,,4430,4266,4349,63.9,,442,427,435,6.4,,2029,2022,2026,29.8,,"District of Columbia"
