"Bureau of Justice Statistics",,,,,,,,,,,,,
"filename:  cjee0106.wk1",,,,,,,,,,,,,
"table #:  6 Percent distribution of justice system payrolls by State and type of government, March 2001",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2001, NCJ 202792",,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,
"authors:  Lynn Bauer",,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,
"date of version:  12/19/2003",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by State and type of government, March 2001",,,,,,,,,,,,,
"(payroll amounts in thousands of dollars)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Total justice system",,,"Police protection",,,"Judicial and Legal",,,"Corrections",,
"State and type of government","Total March payrolls /a","March payrolls","Percent of total March payrolls/b",,"March payrolls","Percent of total March payrolls/b",,"March payrolls","Percent of total March payrolls/b",,"March payrolls","Percent of total March payrolls/b",
,,,,,,,,,,,,,
"States-local, total",$49252853.19,$7114708.11,14.4,"%",$3422810.77,48.1,"%",$1480108.93,20.8,"%",$2211788.41,31.1,"%"
"State",$14136252.48,$2513011.61,17.8,,$406577.20,16.2,,$638783.09,25.4,,$1467651.33,58.4,
"Local, total",$35116600.71,$4601696.50,13.1,,$3016233.57,65.5,,$841325.84,18.3,,$744137.08,16.2,
"Counties",$7414410.48,$2032164.04,27.4,,$776784.57,38.2,,$651665.60,32.1,,$603713.88,29.7,
"Municipalities",$10130844.19,$2569532.45,25.4,,$2239449.01,87.2,,$189660.24,7.4,,$140423.21,5.5,
,,,,,,,,,,,,,
"Alabama",$714396.89,$73818.28,10.3,,$36588.75,49.6,,$16862.41,22.8,,$20367.13,27.6,
"State",$255082.78,$30046.74,11.8,,$4198.63,14.0,,$11926.09,39.7,,$13922.03,46.3,
"Local, total",$459314.11,$43771.54,9.5,,$32390.12,74.0,,$4936.32,11.3,,$6445.10,14.7,
"Counties",$47372.29,$14804.12,31.3,,$6490.51,43.8,,$2823.56,19.1,,$5490.05,37.1,
"Municipalities",$100453.10,$28967.42,28.8,,$25899.61,89.4,,$2112.77,7.3,,$955.05,3.3,
,,,,,,,,,,,,,
"Alaska",$185781.18,$20314.30,10.9,,$7726.73,38.0,,$5605.16,27.6,,$6982.41,34.4,
"State",$89577.47,$13811.02,15.4,,$2107.56,15.3,,$5067.90,36.7,,$6635.56,48.0,
"Local, total",$96203.71,$6503.28,6.8,,$5619.17,86.4,,$537.26,8.3,,$346.86,5.3,
"Boroughs",$36747.33,$450.59,1.2,,$261.00,57.9,,$140.33,31.1,,$49.27,10.9,
"Municipalities",$57799.97,$6052.69,10.5,,$5358.17,88.5,,$396.93,6.6,,$297.59,4.9,
,,,,,,,,,,,,,
