"Bureau of Justice Statistics",,,,,,
"filename:  cjee0108.wk1",,,,,,
"Table 8.  Per capita employment of State and local governments by State and activity, March 2001",,,,,,
"report title:  Justice Expenditure and Employment in the United States 2001, NCJ 202792",,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,
"author:  Lynn Bauer",,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,
"date of version:  12/19/2003",,,,,,
,,,,,,
"Table 6.  Per capita employment of State and local governments by State and activity, March 2001",,,,,,
,,,,,,
,,"                   Full-time equivalent justice employment per 10,000 population, March 2001",,,,
,"Population 2001",,,"Police protection",,
"State","(thousands)","Total justice system","Total","Sworn only","Judicial and legal","Corrections"
,,,,,,
"Total",285318,69.7,31.0,23.2,14.1,24.6
"Alabama",4469,57.3,28.8,22.0,12.0,16.5
"Alaska",634,75.9,25.9,16.0,21.9,28.1
"Arizona",5307,75.6,31.3,23.6,18.6,25.7
"Arkansas",2695,61.2,29.3,22.0,10.2,21.7
"California",34600,67.5,28.9,19.4,15.4,23.2
"Colorado",4431,62.5,28.0,20.2,12.6,21.9
"Connecticut",3435,69.6,31.2,24.1,13.1,25.3
"Delaware",797,80.9,30.5,21.3,19.6,30.8
"District of Columbia",574,118.6,75.8,61.6,7.6,35.3
"Florida",16373,81.3,35.2,22.5,19.5,26.6
"Georgia",8406,74.1,30.2,23.7,11.9,32.0
"Hawaii",1227,72.2,29.6,22.9,22.6,20.1
"Idaho",1321,62.8,29.0,20.9,12.5,21.3
"Illinois",12520,69.7,35.3,27.6,14.0,20.3
"Indiana",6127,59.6,27.2,19.7,10.5,21.9
"Iowa",2932,51.4,24.6,17.8,11.2,15.5
"Kansas",2702,67.5,32.6,23.9,13.2,21.6
"Kentucky",4069,56.8,25.1,18.5,14.9,16.8
"Louisiana",4470,85.5,36.4,27.6,18.0,31.2
"Maine",1284,48.1,26.3,19.4,7.3,14.4
"Maryland",5386,71.7,31.4,23.6,13.2,27.2
"Massachusetts",6401,70.1,38.2,31.6,16.4,15.5
"Michigan",10006,62.6,26.1,20.3,12.1,24.4
"Minnesota",4985,50.0,22.4,16.0,11.5,16.2
"Mississippi",2860,62.7,30.7,21.5,9.6,22.4
"Missouri",5637,68.6,30.8,22.0,13.4,24.4
"Montana",905,54.6,25.0,16.9,11.2,18.4
"Nebraska",1720,54.8,26.7,19.9,10.3,17.8
"Nevada",2098,72.2,31.6,19.2,15.2,25.3
"New Hampshire",1259,54.5,30.7,24.6,9.3,14.4
"New Jersey",8511,85.5,41.1,30.1,25.3,19.1
"New Mexico",1831,77.7,30.8,22.1,17.2,29.7
"New York",19084,94.0,45.3,38.9,15.9,32.7
"North Carolina",8206,66.1,28.5,22.5,7.9,29.6
"North Dakota",637,48.4,23.5,18.3,12.0,12.8
"Ohio",11390,71.8,29.9,22.9,17.8,24.0
"Oklahoma",3470,63.6,31.8,23.1,11.8,20.1
"Oregon",3473,64.1,25.1,17.9,14.4,24.7
"Pennsylvania",12303,63.4,26.0,21.5,14.6,22.9
"Rhode Island",1060,62.2,32.9,23.7,11.9,17.5
"South Carolina",4062,70.2,33.8,25.0,8.7,27.7
"South Dakota",758,50.1,22.5,16.6,10.1,17.5
"Tennessee",5749,61.8,32.5,24.4,9.7,19.6
"Texas",21371,71.9,27.9,20.7,11.3,32.7
"Utah",2279,56.5,24.3,17.0,11.9,20.3
"Vermont",613,47.5,20.5,14.6,10.7,16.3
"Virginia",7197,68.4,26.7,20.4,10.3,31.4
"Washington",5993,57.0,23.6,16.7,13.5,19.9
"West Virginia",1801,41.7,20.7,16.3,12.0,9.1
"Wisconsin",5406,64.6,29.1,21.9,10.6,24.9
"Wyoming",494,73.5,33.2,23.2,14.8,25.5
,,,,,,
"Note:  These data are based on a summation of responses from individual State and local government agencies. Local government data are estimates subject to sampling variability. Population figures are from the Bureau of the Census.",,,,,,
"Current Population Reports, Series P-25, No. 1045, July 2001.",,,,,,
