"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,
"filename:  cjee0110.wk1",,,,,,,,,,,,,,,,,,,,
"table 10.  Detail of direct expenditure for correctional activities of State governments by character and object, fiscal 2001",,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2001, NCJ 202792",,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,
"date of version:  11/5/2001",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Table 10.   Detail of direct expenditure for correctional activities of State governments by character and object, fiscal 2001",,,,,,,,,,,,,,,,,,,,
"(thousands of dollars)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"",,"",,"                                                           Institutions",,,,,,,,,,"                                      Other corrections",,,,,,
"",,,,"",,"",,"                 Capital outlay",,,,,,"",,"",,,,
"State",,"Total corrections direct expenditure",,"Total",,"Direct current",,"Construction",,"Other","Percent of total corrections direct expenditure",,,"Total",,"Direct current",,"Capital outlay","Percent of total corrections direct expenditure",
,,,,,,,,,,,,,,,,,,,,
"Total",,$35810946.00,,$29197575.00,,$27299513.00,,$1574245.00,,$323817.00,81.5,"%",,$6613371.00,,$6286927.00,,$326444.00,18.5,"%"
,,,,,,,,,,,,,,,,,,,,
"Alabama",,$303759.00,,$223405.00,,$220992.00,,$747.00,,$1666.00,73.5,,,$80354.00,,$79917.00,,$437.00,26.5,
"Alaska",,$172610.00,,$151751.00,,$149962.00,,$880.00,,$909.00,87.9,,,$20859.00,,$20504.00,,$355.00,12.1,
"Arizona",,$668430.00,,$564104.00,,$554429.00,,$2611.00,,$7064.00,84.4,,,$104326.00,,$101874.00,,$2452.00,15.6,
"Arkansas",,$277123.00,,$199447.00,,$189916.00,,$6947.00,,$2584.00,72.0,,,$77676.00,,$75552.00,,$2124.00,28.0,
"California",,$5054750.00,,$4400783.00,,$4249809.00,,$123810.00,,$27164.00,87.1,,,$653967.00,,$636922.00,,$17045.00,12.9,
,,,,,,,,,,,,,,,,,,,,
"Colorado",,$616452.00,,$448392.00,,$388437.00,,$55514.00,,$4441.00,72.7,,,$168060.00,,$165127.00,,$2933.00,27.3,
"Connecticut",,$602756.00,,$536029.00,,$506861.00,,$25085.00,,$4083.00,88.9,,,$66727.00,,$63729.00,,$2998.00,11.1,
"Delaware",,$247987.00,,$183243.00,,$182179.00,,$373.00,,$691.00,73.9,,,$64744.00,,$59922.00,,$4822.00,26.1,
"Florida",,$2247882.00,,$1636655.00,,$1574240.00,,$43865.00,,$18550.00,72.8,,,$611227.00,,$562844.00,,$48383.00,27.2,
"Georgia",,$970854.00,,$687564.00,,$655696.00,,$22924.00,,$8944.00,70.8,,,$283290.00,,$270490.00,,$12800.00,29.2,
,,,,,,,,,,,,,,,,,,,,
"Hawaii",,$148607.00,,$130645.00,,$127553.00,,$1806.00,,$1286.00,87.9,,,$17962.00,,$17845.00,,$117.00,12.1,
"Idaho",,$157329.00,,$138760.00,,$130962.00,,$5537.00,,$2261.00,88.2,,,$18569.00,,$18009.00,,$560.00,11.8,
"Illinois",,$1318078.00,,$1107386.00,,$938181.00,,$160307.00,,$8898.00,84.0,,,$210692.00,,$200170.00,,$10522.00,16.0,
"Indiana",,$593836.00,,$540465.00,,$504972.00,,$20106.00,,$15387.00,91.0,,,$53371.00,,$51760.00,,$1611.00,9.0,
