"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee0111.wk1",,,,,,,,,,,,,,,,,,,,,,,,
"table 11.  Justice system employment and payrolls of State governments by activity, March 2001",,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2001, NCJ 202792",,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  12/19/2003",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11.   Justice system employment and payrolls of State governments by activity, March 2001",,,,,,,,,,,,,,,,,,,,,,,,
"(dollars in thousands)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"State","Total employees","Full-time employees","Full-time equivalent","March payrolls ","Average earning of full-time employees",,"Total employees","Full-time employees","Full-time equivalent","March payrolls","Average earnings of full-time employees",,"Total employees","Full-time employees","Full-time equivalent","March payrolls","Average earnings of full-time employees",,"Total employees","Full-time employees","Full-time equivalent","March payrolls","Average earnings of full-time employees","State"
,,,,,,,,,,,,,,,,,,,,,,,,
"Total",704902,678428,694483,$2211799.04,$3199.52,,99686,96852,98239,$350739.37,$3589.22,,148463,139095,144550,$535131.19,$3737.58,,456753,442481,451694,$1325928.49,$2945.07,"Total"
,,,,,,,,,,,,,,,,,,,,,,,,
"Alabama",8964,8748,8880,$25024.99,$2836.07,,1419,1382,1395,$3857.38,$2777.60,,3093,2935,3042,$9631.21,$3221.02,,4452,4431,4443,$11536.40,$2599.33,"Alabama"
"Alaska",3027,2869,2915,$12046.67,$4150.21,,500,420,432,$1955.75,$4602.40,,1246,1170,1203,$5015.15,$4189.18,,1281,1279,1280,$5075.77,$3966.07,"Alaska"
"Arizona",12068,11852,11969,$35378.57,$2953.72,,1812,1800,1802,$6468.27,$3590.48,,1363,1253,1312,$5265.89,$4046.55,,8893,8799,8855,$23644.42,$2667.84,"Arizona"
"Arkansas",5171,5154,5163,$12919.85,$2503.55,,1119,1119,1119,$2996.14,$2677.52,,390,382,386,$1962.27,$5109.65,,3662,3653,3658,$7961.44,$2177.73,"Arkansas"
"California",64291,59800,62836,$256190.88,$4129.24,,12924,12049,12405,$52843.64,$4303.93,,3453,3162,3309,$16199.34,$4919.35,,47914,44589,47122,$187147.90,$4026.01,"California"
,,,,,,,,,,,,,,,,,,,,,,,,
"Colorado",10462,9556,10051,$34231.67,$3403.97,,1349,1305,1330,$4688.51,$3527.90,,3634,2851,3273,$11747.41,$3612.87,,5479,5400,5448,$17795.76,$3263.73,"Colorado"
"Connecticut",14428,14213,14366,$50063.42,$3487.89,,1713,1665,1697,$7295.15,$4331.68,,3939,3836,3919,$14458.73,$3701.00,,8776,8712,8750,$28309.54,$3232.79,"Connecticut"
"Delaware",4751,4511,4650,$14367.66,$3126.75,,907,860,890,$3564.70,$4077.57,,1435,1416,1426,$4318.27,$3029.99,,2409,2235,2334,$6484.69,$2822.20,"Delaware"
"Florida",52590,50697,51999,$166412.91,$3235.24,,4044,3927,3991,$11219.47,$2825.13,,16375,15807,16136,$52590.30,$3265.49,,32171,30963,31872,$102603.15,$3271.82,"Florida"
