"Bureau of Justice Statistics",,,,,,,,,,,,,
"filename:  cjee0114.wk1",,,,,,,,,,,,,
"table 14.  Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 68 large county governments, March 2001",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2001, NCJ 202792",,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,
"date of version:  12/19/2003",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 14.  Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 68 large county governments, March 2001",,,,,,,,,,,,,
"(Payroll in thousands of dollars)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,"                                                                               Sworn",,,,,,,"                                                            Nonsworn",,,,,
,,"         Employment",,,,,,,"          Employment",,,,
"County","Total employees","Full-time employees","Full-time equivalent","Percent of total police protection full-time equivalent",,"March payrolls","Average earnings of full-time employees","Total employees","Full-time employees","Full-time equivalent","Percent of total police protection full-time equivalent",,"March payrolls"
,,,,,,,,,,,,,
"Alameda, CA",272,272,272,55.7,"%",$2132.85,$7841.36,223,215,216,44.3,"%",$1104.32
"Allegheny, PA",290,290,290,48.1,,$1127.81,$3889.00,313,312,313,51.9,,$951.02
"Baltimore, MD",1765,1765,1765,80.4,,$7913.11,$4483.35,629,353,431,19.6,,$1249.96
"Bergen, NJ",113,113,113,57.4,,$765.42,$6773.58,89,79,84,42.6,,$217.48
"Bexar, TX",389,387,387,75.1,,$1139.75,$2942.98,131,128,128,24.9,,$350.01
"Broward, FL",1022,1002,1006,58.6,,$4272.78,$4255.74,711,711,711,41.4,,$2201.31
"Clark, NV",869,667,721,81.0,,$3830.42,$5377.01,179,161,169,19.0,,$877.29
,,,,,,,,,,,,,
"Contra Costa, CA",592,592,592,66.2,"%",$2678.44,$4524.40,320,291,302,33.8,"%",$1117.61
"Cook, IL",155,155,155,30.1,,$590.55,$3809.99,360,360,360,69.9,,$1027.33
"Cuyahoga, OH",2851,2851,2851,65.6,,$17635.97,$6185.89,1768,1225,1495,34.4,,$4950.16
"Dade, FL",335,334,335,38.7,,$1185.75,$3548.89,535,525,531,61.3,,$1677.68
"Dallas, TX",942,942,942,80.8,,$3584.28,$3804.96,313,182,224,19.2,,$726.74
"Dekalb, GA",57,57,57,100.0,,$158.94,$2788.35,0,0,0,0.0,,$0.00
"Delaware, PA",438,438,438,93.0,,$2003.53,$4574.27,38,27,33,7.0,,$123.16
,,,,,,,,,,,,,
"Du Page, IL",197,183,187,60.7,"%",$999.61,$5399.84,135,110,121,39.3,"%",$416.54
"Erie, NY",94,94,94,65.3,,$510.89,$5434.95,50,48,50,34.7,,$149.04
"Essex, NJ",1203,1201,1202,75.9,,$5842.06,$4860.96,460,375,381,24.1,,$1457.58
"Fairfax, VA",318,318,318,70.0,,$1303.30,$4098.42,140,131,136,30.0,,$419.97
"Franklin, OH",442,442,442,71.6,,$2104.69,$4761.75,175,175,175,28.4,,$759.23
"Fresno, CA",506,491,497,100.0,,$1637.17,$3314.21,0,0,0,0.0,,$0.00
"Fulton, GA",298,298,298,70.1,,$1069.89,$3590.23,136,119,127,29.9,,$433.17
,,,,,,,,,,,,,
"Hamilton, OH",1047,1047,1047,54.4,"%",$3891.35,$3716.67,878,878,878,45.6,"%",$2418.26
"Harris, TX",296,296,296,54.0,,$1410.12,$4763.92,268,240,252,46.0,,$912.10
"Hennepin, MN",1064,1064,1064,68.0,,$3728.99,$3504.69,756,474,500,32.0,,$1466.82
"Hillsborough, FL",189,189,189,74.1,,$762.57,$4034.75,66,66,66,25.9,,$145.28
"Hudson, NJ",80,80,80,26.3,,$254.29,$3178.60,224,224,224,73.7,,$481.05
"Jackson, MO",360,356,359,96.5,,$1370.84,$3826.76,15,12,13,3.5,,$61.06
"Jefferson, AL",529,529,529,69.0,,$1803.88,$3409.97,282,215,238,31.0,,$628.15
,,,,,,,,,,,,,
