"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee0115.wk1",,,,,,,,,,,,,,,,,,,,,,,
"table 15.  Justice system expenditure of 49 large city governments by activity, character, and object, fiscal year 2001",,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2001, NCJ 202792",,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,
"date of version:  12/19/2003",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table 15.  Justice system expenditure of 49 large city governments by activity, character, and object, fiscal year 2001",,,,,,,,,,,,,,,,,,,,,,,
"(Payroll in thousands of dollars)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,"                                            Total justice system",,,,,"                                               Police Protection",,,,,"                                              Judicial and Legal",,,,,"                                                                       Corrections",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,"                      Direct expenditure",,,,,"                       Direct expenditure",,,,,"                      Direct expenditure",,,,,"                                           Direct expenditure",,,,,
"City","Fiscal year ends in month","Total","Total direct","Direct current","Capital outlay","Intergovernmental expenditure","Total","Total direct","Direct current","Capital outlay","Intergovernmental expenditure total","Total","Total direct","Direct current","Capital outlay","Intergovernmental expenditure","Total","Total direct","Direct current","Total","Construction only","Intergovernmental expenditure","City"
,,,,,,,,,,,,,,,,,,,,,,,
"Albuquerque, NM","06",$143625.00,$143625.00,$127733.00,$15892.00,$0.00,$105377.00,$105377.00,$90214.00,$15163.00,$0.00,$4500.00,$4500.00,$4500.00,$0.00,$0.00,$33748.00,$33748.00,$33019.00,$729.00,$0.00,$0.00,"Albuquerque, NM"
"Atlanta, GA","12",$176088.00,$176088.00,$172607.00,$3481.00,$0.00,$119585.00,$119585.00,$116531.00,$3054.00,$0.00,$24593.00,$24593.00,$24237.00,$356.00,$0.00,$31910.00,$31910.00,$31839.00,$71.00,$0.00,$0.00,"Atlanta, GA"
"Austin, TX","09",$124190.00,$124190.00,$119431.00,$4759.00,$0.00,$110469.00,$110469.00,$106197.00,$4272.00,$0.00,$13721.00,$13721.00,$13234.00,$487.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"Austin, TX"
