"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,
"filename:  cjee0117.wk1",,,,,,,,,,,,,,,,,
"table 17.  Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 49 large city governments, March 2001.",,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts March, 2001 NCJ 202792",,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,
"date of version:  12/19/2003",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 17. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 49 large city governments, March 2001",,,,,,,,,,,,,,,,,
"(payroll amount in thousands of dollars)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Sworn number of employees",,"Full-time equivalent",,,,,,,,,"Non sworn","Full-time equivalent",,,,
,,,"",,,,,,,"",,"","",,,,
"City","Total","Full-time only","Number","Percent of total police protection equivalent",,,"March payrolls ",,"Earning of full-time employees","Total",,"Full-time only","Number","Percent of total police protection full-time equivalent",,,"March payrolls"
,,,,,,,,,,,,,,,,,
"Albuquerque, NM",872,872,872,62.5,"%",,$3721.00,,$4268.00,608,,474,524,37.5,"%",,1293.00
"Atlanta, GA",2142,2009,2048,90.2,,,$6701.00,,$3301.00,223,,223,223,9.8,,,434.00
"Austin, TX",1321,1321,1321,73.6,,,$5923.00,,$4484.00,615,,448,474,26.4,,,1136.00
"Baltimore, MD",3189,3189,3189,78.8,,,$12668.00,,$3972.00,1028,,664,858,21.2,,,2881.00
"Baton Rouge, LA",863,863,863,71.4,,,$2875.00,,$3331.00,434,,283,346,28.6,,,773.00
"Boston, MA",2212,2212,2212,75.0,,,$10244.00,,$4631.00,848,,650,736,25.0,,,1859.00
,,,,,,,,,,,,,,,,,
"Buffalo, NY",938,938,938,77.2,"%",,$4713.00,,$5025.00,384,,206,277,22.8,"%",,761.00
"Charlotte, NC",1380,1380,1380,73.8,,,$5115.00,,$3706.00,553,,483,489,26.2,,,1660.00
"Chicago, IL",13391,13391,13391,86.4,,,$56804.00,,$4242.00,2635,,1553,2100,13.6,,,7329.00
"Cincinnati, OH",1112,1112,1112,82.2,,,$4485.00,,$4033.00,245,,237,241,17.8,,,808.00
"Cleveland, OH",1960,1945,1953,76.8,,,$7879.00,,$4041.00,1031,,530,591,23.2,,,1565.00
