"Bureau of Justice Statistics",,,,,,,,
"filename:  cjee0118.wk1",,,,,,,,
"table 18.  Supplemental data for State governments",,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2001, NCJ 202792",,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,
"author:  Lynn Bauer",,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,
"date of version: 12/19/2001",,,,,,,,
,,,,,,,,
"Table 18. Supplemental data for State governments",,,,,,,,
,,,,,,,,
,,,,,,,,
,,"Personal income, calendar year 2001/a",,"Expenditures, fiscal 2001 (thousands of dollars)",,,"    Full-time equivalent employment March 2001",
,,,,,,,,
"State","Estimated population as of July 1, 2001 (thousands)","Amount (millions of dollars)","Per capita","Total (direct and intergovernmental)","Direct expenditure only","Total general expenditure/b","All functions","General functions only/c"
,,,,,,,,
"Total",284744,$8654231.00,30393,$1184146099.00,$833822882.00,$1043333728.00,4173400,4132607
,,,,,,,,
"Alabama",4469,$109388.00,24477,$16718151.00,$12825498.00,$15055914.00,84308,83674
"Alaska",634,$19660.00,31009,$9047480.00,$8060559.00,$8389078.00,23937,23937
"Arizona",5307,$137331.00,25877,$17143148.00,$10704004.00,$15528201.00,65185,65177
"Arkansas",2695,$61304.00,22747,$10597097.00,$7655179.00,$9848226.00,51230,51230
"California",34600,$1129868.00,32655,$170470259.00,$100722894.00,$145582238.00,372678,372678
,,,,,,,,
"Colorado",4431,$148239.00,33455,$15685926.00,$11776564.00,$13702406.00,67328,67328
"Connecticut",3435,$145548.00,42372,$18189210.00,$14936293.00,$16098051.00,66200,66200
"Delaware",797,$25624.00,32151,$4311551.00,$3523391.00,$3952326.00,24324,23749
"Florida",16373,$475607.00,29048,$50264767.00,$35254136.00,$46595398.00,187552,186999
"Georgia",8406,$239754.00,28522,$27860155.00,$19476894.00,$25662423.00,121180,121180
,,,,,,,,
"Hawaii",1227,$35625.00,29034,$6792058.00,$6667610.00,$6144750.00,54890,54890
"Idaho",1321,$32363.00,24499,$4951659.00,$3588214.00,$4426471.00,23215,23080
"Illinois",12520,$413044.00,32991,$45170257.00,$32400192.00,$40244967.00,129842,129842
"Indiana",6127,$168622.00,27521,$21583665.00,$14531250.00,$20255231.00,86609,86609
"Iowa",2932,$79822.00,27224,$12271461.00,$8987404.00,$11198506.00,54718,54718
,,,,,,,,
"Kansas",2702,$76828.00,28434,$10196910.00,$7243383.00,$9405968.00,44053,44053
"Kentucky",4069,$101223.00,24877,$17330724.00,$13710446.00,$15635933.00,76906,76906
"Louisiana",4470,$109317.00,24456,$16410263.00,$12609478.00,$14470179.00,93919,93919
"Maine",1284,$34491.00,26862,$5737911.00,$4761678.00,$5212248.00,21544,21450
"Maryland",5386,$190015.00,35279,$21484098.00,$16480428.00,$19243614.00,91288,89120
,,,,,,,,
"Massachusetts",6401,$248778.00,38865,$32435081.00,$25549027.00,$29487838.00,95259,94537
"Michigan",10006,$296480.00,29630,$46657684.00,$28512517.00,$42252320.00,141375,141375
"Minnesota",4985,$164784.00,33056,$24612196.00,$16415664.00,$21958545.00,75588,75588
"Mississippi",2860,$61922.00,21651,$11727422.00,$8373196.00,$10610118.00,56781,56657
"Missouri",5637,$159093.00,28223,$18888113.00,$14085742.00,$17123078.00,92563,92563
,,,,,,,,
"Montana",905,$21769.00,24054,$4048049.00,$3184496.00,$3619417.00,19389,19310
"Nebraska",1720,$49642.00,28862,$6111217.00,$4427058.00,$5842608.00,32707,32707
"Nevada",2098,$63200.00,30124,$6747035.00,$4475381.00,$5871195.00,23156,23129
"New Hampshire",1259,$42779.00,33979,$4411243.00,$3370677.00,$3890457.00,18920,18438
"New Jersey",8511,$328743.00,38626,$37659554.00,$28577920.00,$30476649.00,136892,126829
,,,,,,,,
"New Mexico",1831,$42260.00,23080,$9173756.00,$6611777.00,$8399238.00,47839,47839
"New York",19084,$684704.00,35878,$106598603.00,$71886001.00,$89236585.00,252099,235455
"North Carolina",8206,$224094.00,27309,$31626851.00,$22317314.00,$28860264.00,129691,129691
"North Dakota",637,$16422.00,25780,$2897950.00,$2328916.00,$2673193.00,15898,15898
"Ohio",11390,$326876.00,28699,$47880092.00,$33285872.00,$39034887.00,139368,139368
,,,,,,,,
"Oklahoma",3470,$86550.00,24942,$11416492.00,$7930449.00,$9797462.00,64704,64219
"Oregon",3473,$98026.00,28225,$16321295.00,$12293790.00,$13546387.00,54173,54010
"Pennsylvania",12303,$378350.00,30753,$51488402.00,$38367650.00,$45517170.00,153818,150816
"Rhode Island",1060,$32061.00,30246,$5350551.00,$4642441.00,$4652841.00,20145,19444
"South Carolina",4062,$100902.00,24840,$18078717.00,$13910268.00,$15674885.00,81219,79554
,,,,,,,,
"South Dakota",758,$20146.00,26578,$2690165.00,$2209205.00,$2491580.00,13269,13269
"Tennessee",5749,$154130.00,26810,$18385079.00,$13802196.00,$17135629.00,82681,82681
"Texas",21371,$608466.00,28472,$64685858.00,$47481390.00,$58183264.00,268637,268637
"Utah",2279,$54764.00,24030,$9253469.00,$7152812.00,$8488561.00,52070,51761
"Vermont",613,$17627.00,28755,$3370929.00,$2451064.00,$3200408.00,13666,13610
,,,,,,,,
"Virginia",7197,$232730.00,32337,$26786593.00,$18917472.00,$24869440.00,123521,122301
"Washington",5993,$191645.00,31978,$27824006.00,$21247249.00,$23597439.00,111132,110336
"West Virginia",1801,$41174.00,22862,$7300483.00,$6312161.00,$6165244.00,35348,35290
"Wisconsin",5406,$157832.00,29196,$24857238.00,$15961297.00,$21693978.00,69428,69428
"Wyoming",494,$14609.00,29573,$2645226.00,$1826385.00,$2330920.00,11158,11128
,,,,,,,,
"Note:  ""Estimated population"" represents resident U.S. population (50 states excluding the District of Columbia) from the Bureau of the Census, Current Population Reports, July 2001. ",,,,,,,,
