"Bureau of Justice Statistics",,,,,,
"filename:  cjee0119.wk1",,,,,,
"table 19.  Supplemental data for 68 large county governments",,,,,,
"series title:  Justice Expenditure and Employment Extracts 2001, NCJ 202792",,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,
"author:  Lynn Bauer",,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,
"date of version:  1/8/2002",,,,,,
,,,,,,
"Table 19. Supplemental data for 68 large county governments",,,,,,
,,,,,,
,,"Expenditures, fiscal 2001 (thousands of dollars)",,,"Full-time equivalent employment, March 2001",
,,,,,,
,,"                           All functions",,,,
"County","Population 1998/a","Total (direct and intergovernmental)","Direct expenditure only","Total general expenditure/b","All functions","General functions only/c"
,,,,,,
"Alameda, CA",1443741,$2058410.00,$1959225.00,$1840248.00,10818,10818
"Allegheny, PA",1281666,$1430647.00,$1330033.00,$1285166.00,6881,6881
"Baltimore, MD",754292,$2138469.00,$2048886.00,$1943738.00,20929,20929
"Bergen, NJ",884118,$642973.00,$611495.00,$642973.00,4633,4633
"Bexar, TX",1392931,$858421.00,$792516.00,$790242.00,8868,8868
"Broward, FL",1623018,$1665824.00,$1622502.00,$1518171.00,10894,9699
"Clark, NV",948816,$1584157.00,$1534255.00,$1420034.00,9822,9822
,,,,,,
"Contra Costa, CA",5376741,$2853278.00,$2828233.00,$2628746.00,28367,28367
"Cook, IL",1393978,$1797810.00,$1776575.00,$1797810.00,16293,16293
"Cuyahoga, OH",2253362,$5285282.00,$5277539.00,$4791539.00,35917,32276
"Dade, FL",2218899,$1282375.00,$1276772.00,$1255982.00,12735,12735
"Dallas, TX",665865,$669823.00,$628299.00,$531433.00,6349,5998
"Dekalb, GA",550864,$390003.00,$383029.00,$365713.00,3387,3387
"Delaware, PA",904161,$542446.00,$536091.00,$540870.00,3652,3640
,,,,,,
"Du Page, IL",950265,$1403237.00,$1060213.00,$1351611.00,10117,9857
"Erie, NY",793633,$700218.00,$660035.00,$700218.00,5257,5257
"Essex, NJ",969749,$3601805.00,$3506243.00,$3140125.00,33407,33028
"Fairfax, VA",1068978,$982819.00,$960346.00,$981359.00,6405,6405
"Franklin, OH",799407,$993420.00,$982471.00,$916580.00,8792,8792
"Fresno, CA",816006,$1288959.00,$986479.00,$864844.00,7919,7870
"Fulton, GA",845303,$1190309.00,$1021526.00,$1190309.00,5985,5985
,,,,,,
"Hamilton, OH",3400578,$2407001.00,$2407001.00,$2407001.00,19824,19791
"Harris, TX",1116200,$1403860.00,$1403515.00,$1403860.00,11072,11072
"Hennepin, MN",998948,$1188631.00,$1170013.00,$1047122.00,12811,12516
"Hillsborough, FL",608975,$375340.00,$350349.00,$375340.00,3526,3526
"Hudson, NJ",654880,$208695.00,$203735.00,$201291.00,2025,2025
"Jackson, MO",662047,$772539.00,$772539.00,$762052.00,4812,4812
"Jefferson, AL",693604,$467559.00,$450824.00,$467559.00,3499,3499
,,,,,,
"Jefferson, KY",1737034,$1955299.00,$1920203.00,$1526339.00,14547,10636
"King, WA",484564,$227604.00,$225148.00,$227604.00,1914,1914
"Lake, IN",9519338,$16309773.00,$15234469.00,$14022912.00,94877,94792
"Los Angeles, CA",788149,$442244.00,$431085.00,$411814.00,2820,2820
"Macomb, WI",3072149,$1914796.00,$1712566.00,$1914796.00,14797,14797
"Maricopa, AZ",750162,$398090.00,$396863.00,$398090.00,3844,3844
"Middlesex, NJ",940164,$1187918.00,$1187918.00,$949985.00,8452,7051
,,,,,,
"Milwaukee, WI",615301,$524260.00,$498527.00,$498451.00,5185,5185
"Monmouth, NJ",735343,$1234649.00,$984840.00,$1206586.00,6003,5809
"Monroe, NY",873341,$3739653.00,$3478046.00,$3037629.00,30976,30110
"Montgomery, MD",559062,$591492.00,$582799.00,$556245.00,4565,4565
"Montgomery, OH",750097,$443275.00,$443275.00,$424948.00,3494,3494
"Montgomery, PA",660486,$603693.00,$579175.00,$603464.00,5377,5377
"Multnomah, OR",1334544,$2718064.00,$2331253.00,$2639912.00,17403,17403
,,,,,,
"Nassau, NY",650308,$88717.00,$88717.00,$63333.00,572,572
"Norfolk, MA",1194156,$826157.00,$812224.00,$785263.00,4454,4454
"Oakland, MI",660448,$113612.00,$113612.00,$110921.00,2010,2010
"Oklahoma, OK",2846289,$2991812.00,$2785483.00,$2626502.00,23078,23078
"Orange, CA",1131184,$1261284.00,$1231853.00,$1155277.00,8463,8100
"Palm Beach, FL",843746,$783876.00,$768991.00,$783876.00,7238,7238
"Pima, AZ",921482,$829186.00,$790836.00,$755228.00,6374,6010
,,,,,,
"Pinellas, FL",801515,$2666838.00,$2480906.00,$2231855.00,26818,26408
"Prince Georges, MD",1545387,$1990603.00,$1793988.00,$1990400.00,16675,16669
"Riverside, CA",1223499,$2475636.00,$2402787.00,$2272103.00,12261,12261
"Sacramento, CA",1016315,$639696.00,$491762.00,$439691.00,4121,4121
"St. Louis, MO",898387,$470676.00,$470676.00,$470676.00,4594,4594
"Salt Lake, UT",1709434,$3052300.00,$2826775.00,$2699272.00,19863,19862
"San Bernadino, CA",2813833,$3191687.00,$3018468.00,$2849828.00,18758,18758
,,,,,,
"San Diego, CA",707161,$910795.00,$902566.00,$839887.00,6266,6266
"San Mateo, CA",1682585,$2391243.00,$2182727.00,$2391243.00,15755,15755
"Santa Clara, CA",897472,$1359906.00,$1229756.00,$1198908.00,13253,13251
"Shelby, TN",1419369,$2092062.00,$1832406.00,$1909037.00,11606,11013
"Suffolk, NY",542899,$422871.00,$419807.00,$416063.00,3997,3965
"Summit, OH",1446219,$443193.00,$440569.00,$443193.00,7997,7997
,,,,,,
"Tarrant, TX",812280,$418924.00,$418924.00,$418924.00,4094,4094
"Travis, TX",522541,$396969.00,$379725.00,$396969.00,3639,3639
"Union, NJ",753197,$1115887.00,$1049833.00,$964038.00,8336,8290
"Ventura, CA",2061162,$2745060.00,$2634732.00,$2540899.00,6665,6665
"Wayne, MI",923459,$1959803.00,$1724075.00,$1888411.00,6161,6115
"Westchester, NY",1375765,$3276739.00,$3252785.00,$2495515.00,15008,13916
,,,,,,
,,,,,,
"Note: Jurisdictions without data did not report for 2001. ",,,,,,
"a/Population data are from the Bureau of the Census, July 1, 2000 county population estimates.",,,,,,
" b/Total general expenditure excludes utilities and county-operated liqior strores.",,,,,,
