"Bureau of Justice Statistics",,,,,,
"filename:  cjee0120.wk1",,,,,,
"table 20.  Supplemental data for 49 large city governments",,,,,,
"series title:  Justice Expenditure and Employment Extracts 2001, NCJ 202792",,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,
"author:  Lynn Bauer",,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,
"date of version:  12/19/2002",,,,,,
,,,,,,
"Table 20.  Supplemental data for 49 large city governments",,,,,,
,,,,,,
,,"Expenditures, fiscal year 2001 (thousands of dollars)",,,"Full-time equivalent employment, March 2001",
,,"                           All functions",,,,
"City","Population 2001/a","Total (direct and intergovernmental)","Direct expenditure only","Total general expenditure/b","All functions","General functions only/c"
,,,,,,
"Albuquerque, NM",448607,$795104.00,$795104.00,$679917.00,6781,5713
"Atlanta, GA",416474,$1383907.00,$1363432.00,$967177.00,8320,7282
"Austin, TX",656562,$1843376.00,$1843376.00,$878597.00,10640,8724
"Baltimore, MD",651154,$2453452.00,$2398872.00,$2099128.00,29045,28263
"Baton Rouge, LA",387784,$622047.00,$621976.00,$558089.00,6354,6198
"Boston, MA",589141,$2996784.00,$2740332.00,$2356172.00,22950,22674
,,,,,,
"Buffalo, NY",292648,$1119363.00,$1117371.00,$1099620.00,11826,11685
"Charlotte, NC",540828,$1025628.00,$1022981.00,$734355.00,5371,4833
"Chicago, IL",2896016,$6719862.00,$6628083.00,$5346456.00,40151,38115
"Cincinnati, OH",331285,$1022881.00,$985148.00,$758403.00,6631,6054
"Cleveland, OH",478403,$1295339.00,$1289217.00,$971896.00,9684,8020
"Columbus, OH",711470,$1167160.00,$1147040.00,$1028756.00,8753,8110
,,,,,,
"Dallas, TX",1188580,$2116416.00,$2084845.00,$1728844.00,15071,13989
"Denver, CO",554636,$2078576.00,$2027169.00,$1737103.00,12765,11726
"Detroit, MI",951270,$5116953.00,$5053861.00,$4140553.00,35851,32174
"El Paso, TX",563662,$575613.00,$575589.00,$430892.00,5913,5014
"Fort Worth, TX",534694,$811293.00,$811293.00,$546074.00,5777,5327
"Honolulu, HI",876156,$1504978.00,$1504978.00,$1150239.00,9139,8517
,,,,,,
"Houston, TX",1953631,$2960194.00,$2944801.00,$2499296.00,25360,24031
"Indianapolis, IN",791926,$2092185.00,$2081049.00,$1684091.00,12260,10763
"Jacksonville, FL",735617,$2433234.00,$2368488.00,$1314530.00,10428,8532
"Kansas City, MO",441545,$1093729.00,$1063758.00,$859322.00,6714,6138
"Long Beach, CA",461522,$914478.00,$914478.00,$741407.00,5785,4777
"Los Angeles, CA",3694820,$10602067.00,$10555639.00,$5916132.00,50930,43547
,,,,,,
"Memphis, TN",650100,$3067254.00,$3061205.00,$1706382.00,25070,21891
"Miami, FL",362470,$481417.00,$481417.00,$406778.00,3848,3848
"Milwaukee, WI",596974,$1041765.00,$1015554.00,$830190.00,7872,7491
"Minneapolis, MN",382618,$1020066.00,$987758.00,$783263.00,5827,5575
"Nashville, TN",569891,$2457542.00,$2457542.00,$1496998.00,19836,18339
"Newark, NJ",273546,$651123.00,$613035.00,$611888.00,5513,5369
,,,,,,
"New Orleans, LA",484674,$890082.00,$890082.00,$765526.00,9403,8636
"New York, NY",8008278,$68462403.00,$64382135.00,$51841050.00,415635,374174
"Oakland, CA",399484,$1148064.00,$1148064.00,$1083478.00,4480,4480
"Oklahoma City, OK",506132,$768935.00,$768935.00,$693386.00,4886,4425
"Omaha, NE",390007,$400729.00,$393999.00,$362250.00,3028,3028
"Philadelphia, PA",1517550,$5873146.00,$5794563.00,$4554305.00,30284,28627
,,,,,,
"Phoenix, AZ",1321045,$2249607.00,$2242208.00,$1785868.00,13035,12160
"Pittsburgh, PA",334563,$612111.00,$596616.00,$466737.00,4263,4263
"Portland, OR",529121,$1143983.00,$1133720.00,$948352.00,5542,4992
"St.Louis, MO",348189,$994507.00,$957658.00,$806635.00,7834,7423
"San Antonio, TX",1144646,$2453355.00,$2444074.00,$1144581.00,16041,11200
"San Diego, CA",1223400,$2485268.00,$2484207.00,$1913545.00,11775,9798
,,,,,,
"San Francisco, CA",776733,$6788906.00,$6646937.00,$5583297.00,29286,24173
"San Jose, CA",894943,$1490366.00,$1451305.00,$1328862.00,7185,7150
"Seattle, WA",563374,$2271051.00,$2158783.00,$1222470.00,10704,8124
"Toledo, OH",313619,$366197.00,$356067.00,$330818.00,2973,2650
"Tucson, AZ",486699,$699585.00,$699585.00,$511916.00,6018,5421
"Tulsa, OK",393049,$729208.00,$729208.00,$625141.00,4382,3886
"Washington, DC",572059,$5885444.00,$5688003.00,$5258039.00,35835,35420
,,,,,,
"Note: Jurisdictions without data did not report for 2001. ",,,,,,
