Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0205.csv,,,,,,,,,,,,,,,,,,,,,,
"table #:  5 Justice system employment and percent distribution of full-time equivalent employment,  by State and type of government, March 2002",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2002, NCJ 209179",,,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
authors:  Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
date of version:  6/29/2005,,,,,,,,,,,,,,,,,,,,,,

"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by State and type of government, March 2002",,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
,,Number of employees,,Full-time equivalent employment,,,Number of employees,,Full-time equivalent employment,,,Number of employees,,Full-time equivalent employment,,,Number of employees,,Full-time equivalent employment,,,
State and type of government,Total full-time equivalent employment/a,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,State and type of government

"States-local, total","15,698,208","2,094,680","1,921,204","1,994,120",12.7,%,"951,411","846,605","887,087",44.5,%,"428,808","386,572","404,741",20.3,%,"714,461","688,027","702,292",35.2,%,"States-local, total"
State,"4,222,751","735,951","712,053","725,270",17.2,,"106,536","103,244","104,436",14.4,,"164,167","154,427","160,022",22.1,,"465,248","454,382","460,812",63.5,,State
"Local, total","11,475,457","1,358,729","1,209,151","1,268,850",11.1,,"844,875","743,361","782,651",61.7,,"264,641","232,145","244,719",19.3,,"249,213","233,645","241,480",19,,"Local, total"
Counties,"2,461,567","651,469","599,799","622,772",25.3,,"235,853","216,090","223,689",35.9,,"201,777","184,267","192,423",30.9,,"213,839","199,442","206,660",33.2,,Counties
Municipalities,"2,917,268","707,260","609,352","646,078",22.1,,"609,022","527,271","558,962",86.5,,"62,864","47,878","52,296",8.1,,"35,374","34,203","34,820",5.4,,Municipalities
Alabama,"267,453","26,899","24,857","25,712",9.6,,"13,718","12,623","13,054",50.8,,"5,504","4,816","5,098",19.8,,"7,677","7,418","7,560",29.4,,Alabama
State,"85,665","9,528","9,340","9,469",11.1,,"1,398","1,375","1,384",14.6,,"3,547","3,391","3,505",37,,"4,583","4,574","4,580",48.4,,State
"Local, total","181,788","17,371","15,517","16,243",8.9,,"12,320","11,248","11,670",71.8,,"1,957","1,425","1,593",9.8,,"3,094","2,844","2,980",18.3,,"Local, total"
Counties,"19,555","6,577","6,035","6,262",32,,"2,832","2,669","2,726",43.5,,"1,005",854,898,14.3,,"2,740","2,512","2,638",42.1,,Counties
Municipalities,"38,659","10,794","9,482","9,981",25.8,,"9,488","8,579","8,944",89.6,,952,571,695,7,,354,332,342,3.4,,Municipalities
Alaska,"50,768","5,026","4,689","4,815",9.5,,"1,801","1,599","1,662",34.5,,"1,374","1,279","1,317",27.4,,"1,851","1,811","1,836",38.1,,Alaska
State,"24,811","3,568","3,379","3,447",13.9,,516,447,457,13.3,,"1,270","1,181","1,218",35.3,,"1,782","1,751","1,772",51.4,,State
"Local, total","25,957","1,458","1,310","1,368",5.3,,"1,285","1,152","1,205",88.1,,104,98,99,7.2,,69,60,64,4.7,,"Local, total"
Boroughs,"9,197",116,113,114,1.2,,83,83,83,72.8,,25,22,23,20.2,,8,8,8,7,,Boroughs
Municipalities,"16,225","1,342","1,197","1,254",7.7,,"1,202","1,069","1,122",89.5,,79,76,76,6.1,,61,52,56,4.5,,Municipalities
Arizona,"260,028","41,751","40,318","41,002",15.8,,"17,366","16,966","17,187",41.9,,"9,638","8,989","9,281",22.6,,"14,747","14,363","14,534",35.4,,Arizona
State,"66,387","12,906","12,700","12,804",19.3,,"1,880","1,875","1,878",14.7,,"1,449","1,347","1,395",10.9,,"9,577","9,478","9,531",74.4,,State
"Local, total","193,641","28,845","27,618","28,198",14.6,,"15,486","15,091","15,309",54.3,,"8,189","7,642","7,886",28,,"5,170","4,885","5,003",17.7,,"Local, total"
Counties,"32,237","15,766","15,052","15,363",47.7,,"4,262","4,196","4,227",27.5,,"6,353","5,989","6,151",40,,"5,151","4,867","4,985",32.4,,Counties
Municipalities,"41,689","13,079","12,566","12,835",30.8,,"11,224","10,895","11,082",86.3,,"1,836","1,653","1,735",13.5,,19,18,18,0.1,,Municipalities
Arkansas,"150,764","17,716","16,195","16,697",11.1,,"8,138","7,439","7,648",45.8,,"3,400","2,728","2,963",17.7,,"6,178","6,028","6,086",36.4,,Arkansas
State,"53,231","6,860","6,754","6,797",12.8,,"1,152","1,150","1,152",16.9,,"1,474","1,374","1,413",20.8,,"4,234","4,230","4,232",62.3,,State
"Local, total","97,533","10,856","9,441","9,900",10.2,,"6,986","6,289","6,496",65.6,,"1,926","1,354","1,550",15.7,,"1,944","1,798","1,854",18.7,,"Local, total"
Counties,"11,795","4,944","4,318","4,525",38.4,,"1,948","1,684","1,741",38.5,,"1,099",882,976,21.6,,"1,897","1,752","1,808",40,,Counties
Municipalities,"18,441","5,912","5,123","5,375",29.1,,"5,038","4,605","4,755",88.5,,827,472,574,10.7,,47,46,46,0.9,,Municipalities
California,"1,776,621","241,120","224,628","232,735",13.1,,"105,571","96,672","100,248",43.1,,"56,352","53,275","55,045",23.7,,"79,197","74,681","77,442",33.3,,California
State,"378,362","64,764","60,625","62,582",16.5,,"14,632","12,922","13,389",21.4,,"4,390","3,912","4,091",6.5,,"45,742","43,791","45,102",72.1,,State
"Local, total","1,398,259","176,356","164,003","170,153",12.2,,"90,939","83,750","86,859",51,,"51,962","49,363","50,954",29.9,,"33,455","30,890","32,340",19,,"Local, total"
Counties,"352,781","112,451","105,689","109,254",31,,"32,321","30,591","31,187",28.5,,"48,013","45,546","47,065",43.1,,"32,117","29,552","31,002",28.4,,Counties
Municipalities,"239,812","63,905","58,314","60,899",25.4,,"58,618","53,159","55,672",91.4,,"3,949","3,817","3,889",6.4,,"1,338","1,338","1,338",2.2,,Municipalities
Colorado,"240,915","29,814","27,877","28,833",12,,"13,038","12,527","12,726",44.1,,"6,567","5,331","5,981",20.7,,"10,209","10,019","10,126",35.1,,Colorado
State,"65,932","11,894","10,952","11,532",17.5,,"1,121","1,107","1,114",9.7,,"4,005","3,155","3,674",31.9,,"6,768","6,690","6,744",58.5,,State
"Local, total","174,983","17,920","16,925","17,301",9.9,,"11,917","11,420","11,612",67.1,,"2,562","2,176","2,307",13.3,,"3,441","3,329","3,382",19.5,,"Local, total"
Counties,"24,330","6,973","6,647","6,781",27.9,,"3,368","3,214","3,267",48.2,,"1,011",940,974,14.4,,"2,594","2,493","2,540",37.5,,Counties
Municipalities,"43,411","10,947","10,278","10,520",24.2,,"8,549","8,206","8,345",79.3,,"1,551","1,236","1,333",12.7,,847,836,842,8,,Municipalities
Connecticut,"181,583","23,623","22,088","22,685",12.5,,"11,197","9,934","10,332",45.5,,"4,399","4,210","4,352",19.2,,"8,027","7,944","8,001",35.3,,Connecticut
State,"66,869","14,101","13,818","14,030",21,,"1,881","1,835","1,864",13.3,,"4,193","4,039","4,165",29.7,,"8,027","7,944","8,001",57,,State
"Local, total","114,714","9,522","8,270","8,655",7.5,,"9,316","8,099","8,468",97.8,,206,171,187,2.2,,0,0,0,0,,"Local, total"
Municipalities,"105,303","9,522","8,270","8,655",8.2,,"9,316","8,099","8,468",97.8,,206,171,187,2.2,,0,0,0,0,,Municipalities
Delaware,"46,598","7,267","6,903","7,100",15.2,,"2,615","2,371","2,491",35.1,,"1,611","1,574","1,589",22.4,,"3,041","2,958","3,020",42.5,,Delaware
State,"24,826","5,448","5,339","5,412",21.8,,915,913,914,16.9,,"1,492","1,468","1,478",27.3,,"3,041","2,958","3,020",55.8,,State
"Local, total","21,772","1,819","1,564","1,688",7.8,,"1,700","1,458","1,577",93.4,,119,106,111,6.6,,0,0,0,0,,"Local, total"
Counties,"2,583",781,599,691,26.8,,703,521,613,88.7,,78,78,78,11.3,,0,0,0,0,,Counties
Municipalities,"2,935","1,038",965,997,34,,997,937,964,96.7,,41,28,33,3.3,,0,0,0,0,,Municipalities
District of Columbia,"44,030","6,422","6,271","6,348",14.4,,"4,389","4,243","4,317",68,,457,452,455,7.2,,"1,576","1,576","1,576",24.8,,District of Columbia
"Local, total","44,030","6,422","6,271","6,348",14.4,,"4,389","4,243","4,317",68,,457,452,455,7.2,,"1,576","1,576","1,576",24.8,,"Local, total"
Municipality,"35,040","6,422","6,271","6,348",18.1,,"4,389","4,243","4,317",68,,457,452,455,7.2,,"1,576","1,576","1,576",24.8,,Municipality
Florida,"788,804","135,669","128,521","131,541",16.7,,"62,664","56,986","59,231",45,,"31,358","30,145","30,772",23.4,,"41,647","41,390","41,538",31.6,,Florida
State,"184,793","48,724","48,244","48,519",26.3,,"4,134","4,110","4,122",8.5,,"18,197","17,782","18,019",37.1,,"26,393","26,352","26,378",54.4,,State
"Local, total","604,011","86,945","80,277","83,022",13.7,,"58,530","52,876","55,109",66.4,,"13,161","12,363","12,753",15.4,,"15,254","15,038","15,160",18.3,,"Local, total"
Counties,"152,312","58,086","54,064","55,626",36.5,,"31,317","28,227","29,338",52.7,,"12,227","11,511","11,840",21.3,,"14,542","14,326","14,448",26,,Counties
Municipalities,"100,947","28,859","26,213","27,396",27.1,,"27,213","24,649","25,771",94.1,,934,852,913,3.3,,712,712,712,2.6,,Municipalities
Georgia,"475,101","65,589","60,621","62,641",13.2,,"25,664","23,483","24,269",38.7,,"12,040","10,289","10,948",17.5,,"27,885","26,849","27,424",43.8,,Georgia
State,"122,825","24,653","23,995","24,351",19.8,,"2,359","2,342","2,351",9.7,,"2,337","2,322","2,330",9.6,,"19,957","19,331","19,670",80.8,,State
"Local, total","352,276","40,936","36,626","38,290",10.9,,"23,305","21,141","21,918",57.2,,"9,703","7,967","8,618",22.5,,"7,928","7,518","7,754",20.3,,"Local, total"
