Bureau of Justice Statistics,,,,,,,,,
filename:  cjee0206.csv,,,,,,,,,
"table #:  6 Percent distribution of justice system payrolls by State and type of government, March 2002",,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2002, NCJ 209179",,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,
author:  Steven W. Perry,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,
date of version:  6/29/2005,,,,,,,,,

"Table 6.   Percent distribution of justice system payrolls by State and type of government, March 2002",,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,

,Total,Total justice system,,Police protection,,Judicial and Legal,,Corrections,
State and type of government,March payrolls/a,March payrolls,Percent of total March payrolls/b,March payrolls,Percent of total March payrolls/b,March payrolls,Percent of total March payrolls/b,March payrolls,Percent of total March payrolls/b

"States-local, total","$52,610,297","$7,518,767",14.3,"$3,650,579",48.6,"$1,552,051",20.6,"$2,316,137",30.8
State,"$14,837,809","$2,586,862",17.4,"$428,996",16.6,"$664,170",25.7,"$1,493,697",57.7
"Local, total","$37,772,488","$4,931,904",13.1,"$3,221,584",65.3,"$887,881",18,"$822,440",16.7
Counties,"$7,902,083","$2,173,495",27.5,"$827,813",38.1,"$685,150",31.5,"$660,531",30.4
Municipalities,"$10,837,818","$2,758,410",25.5,"$2,393,770",86.8,"$202,731",7.3,"$161,909",5.9
Alabama,"$736,107","$76,460",10.4,"$37,968",49.7,"$16,368",21.4,"$22,124",28.9
State,"$271,342","$31,407",11.6,"$4,516",14.4,"$12,014",38.3,"$14,877",47.4
"Local, total","$464,765","$45,053",9.7,"$33,452",74.3,"$4,354",9.7,"$7,247",16.1
Counties,"$49,392","$16,077",32.5,"$7,570",47.1,"$2,282",14.2,"$6,225",38.7
Municipalities,"$104,138","$28,976",27.8,"$25,883",89.3,"$2,072",7.1,"$1,022",3.5
Alaska,"$192,956","$20,901",10.8,"$7,807",37.4,"$5,696",27.3,"$7,398",35.4
State,"$96,199","$14,461",15,"$2,114",14.6,"$5,185",35.9,"$7,161",49.5
"Local, total","$96,756","$6,440",6.7,"$5,692",88.4,$511,7.9,$237,3.7
Boroughs,"$32,968",$649,2,$480,73.9,$129,19.9,$41,6.3
Municipalities,"$61,810","$5,790",9.4,"$5,213",90,$382,6.6,$196,3.4
Arizona,"$813,760","$142,795",17.5,"$68,741",48.1,"$32,869",23,"$41,184",28.8
State,"$206,553","$39,947",19.3,"$6,960",17.4,"$6,040",15.1,"$26,947",67.5
"Local, total","$607,207","$102,848",16.9,"$61,781",60.1,"$26,829",26.1,"$14,238",13.8
Counties,"$94,710","$47,852",50.5,"$13,751",28.7,"$19,920",41.6,"$14,181",29.6
Municipalities,"$161,192","$54,996",34.1,"$48,029",87.3,"$6,909",12.6,$57,0.1
Arkansas,"$375,351","$40,487",10.8,"$19,406",47.9,"$8,079",20,"$13,002",32.1
State,"$152,887","$17,735",11.6,"$3,365",19,"$4,839",27.3,"$9,530",53.7
"Local, total","$222,464","$22,753",10.2,"$16,041",70.5,"$3,240",14.2,"$3,471",15.3
Counties,"$22,488","$8,865",39.4,"$3,621",40.8,"$1,855",20.9,"$3,389",38.2
Municipalities,"$46,510","$13,888",29.9,"$12,420",89.4,"$1,386",10,$83,0.6
California,"$7,525,955","$1,150,102",15.3,"$538,591",46.8,"$271,167",23.6,"$340,343",29.6
State,"$1,721,463","$287,306",16.7,"$64,747",22.5,"$23,353",8.1,"$199,205",69.3
"Local, total","$5,804,492","$862,796",14.9,"$473,844",54.9,"$247,814",28.7,"$141,138",16.4
Counties,"$1,492,718","$517,732",34.7,"$161,731",31.2,"$222,618",43,"$133,382",25.8
Municipalities,"$1,172,334","$345,064",29.4,"$312,113",90.5,"$25,195",7.3,"$7,756",2.2
Colorado,"$817,581","$117,594",14.4,"$56,172",47.8,"$24,687",21,"$36,734",31.2
State,"$255,227","$45,767",17.9,"$5,833",12.7,"$14,903",32.6,"$25,031",54.7
"Local, total","$562,354","$71,827",12.8,"$50,339",70.1,"$9,784",13.6,"$11,704",16.3
Counties,"$79,583","$25,159",31.6,"$12,568",50,"$4,055",16.1,"$8,536",33.9
Municipalities,"$170,175","$46,668",27.4,"$37,771",80.9,"$5,729",12.3,"$3,168",6.8
Connecticut,"$707,670","$95,248",13.5,"$48,125",50.5,"$16,929",17.8,"$30,195",31.7
State,"$273,570","$54,908",20.1,"$8,611",15.7,"$16,103",29.3,"$30,195",55
