Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,
filename:  cjee0208.csv,,,,,,,,,,,,,,,,,,,
"table #:  8 Per capita justice expenditure (fiscal 2002) and full-time equivalent justice employment per 10,000 population (March 2002) of State and local governments by activity and State",,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2002, NCJ 209179",,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,
author:  Steven W. Perry,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,
date of version:  6/29/2005,,,,,,,,,,,,,,,,,,,

"Table 8.   Per capita justice expenditure (fiscal 2002) and full-time equivalent justice employment per 10,000 population (March 2002) of State and local governments by activity and State",,,,,,,,,,,,,,,,,,,

,,"Per capita justice expenditure, fiscal 2002",,,,,,,,"Full-time equivalent justice employment per 10,000 population, March 2002",,,,,,,,,
,,,,,,,,,,,,,,Police protection,,,,,
State,Population 2002,Total justice system,,Police Protection,,Judicial and legal,,Corrections,,Total justice system,,Total,,Sworn only,,Judicial and legal,,Corrections,

Total,"287,975,763",524,"$151,000,000,000",225,"$64,876,584,000",109,"$31,294,415,000",191,"$54,860,987,000",69.5,"$20,004,680,000",31,"$8,914,040,000",23.1,"$6,646,980,000",14.1,"$4,051,960,000",24.4,"$7,038,680,000"

Alabama,"4,478,896",332,"$1,487,133,000",159,"$710,441,000",71,"$316,457,000",103,"$460,235,000",57.41,"$257,120,000",29.15,"$130,540,000",21.83,"$97,790,000",11.38,"$50,980,000",16.88,"$75,600,000"
Alaska,"641,482",889,"$570,594,000",412,"$264,272,000",204,"$131,049,000",273,"$175,273,000",75.06,"$48,150,000",25.91,"$16,620,000",15.96,"$10,240,000",20.53,"$13,170,000",28.62,"$18,360,000"
Arizona,"5,441,125",558,"$3,035,958,000",231,"$1,258,955,000",120,"$654,984,000",206,"$1,122,019,000",75.36,"$410,020,000",31.59,"$171,870,000",23.29,"$126,700,000",17.06,"$92,810,000",26.71,"$145,340,000"
Arkansas,"2,706,268",358,"$967,933,000",149,"$403,229,000",72,"$195,259,000",137,"$369,445,000",61.7,"$166,970,000",28.26,"$76,480,000",21.15,"$57,250,000",10.95,"$29,630,000",22.49,"$60,860,000"
California,"35,001,986",749,"$26,208,117,000",290,"$10,147,080,000",201,"$7,049,463,000",257,"$9,011,574,000",66.49,"$2,327,350,000",28.64,"$1,002,480,000",19.11,"$668,730,000",15.73,"$550,450,000",22.13,"$774,420,000"

Colorado,"4,501,051",514,"$2,313,314,000",238,"$1,071,991,000",86,"$385,613,000",190,"$855,710,000",64.06,"$288,330,000",28.27,"$127,260,000",20.6,"$92,740,000",13.29,"$59,810,000",22.5,"$101,260,000"
Connecticut,"3,458,587",550,"$1,902,173,000",226,"$780,782,000",140,"$483,494,000",184,"$637,897,000",65.59,"$226,850,000",29.87,"$103,320,000",23.45,"$81,120,000",12.58,"$43,520,000",23.13,"$80,010,000"
Delaware,"805,954",673,"$542,389,000",237,"$190,774,000",132,"$106,412,000",304,"$245,203,000",88.09,"$71,000,000",30.91,"$24,910,000",21.81,"$17,580,000",19.72,"$15,890,000",37.47,"$30,200,000"
District of Columbia,"570,898","2,162","$1,234,224,000","1,348","$769,380,000",205,"$117,208,000",609,"$347,636,000",222.39,"$126,960,000",151.24,"$86,340,000",124.75,"$71,220,000",15.94,"$9,100,000",55.21,"$31,520,000"
Florida,"16,691,701",563,"$9,403,902,000",263,"$4,392,951,000",99,"$1,645,988,000",202,"$3,364,963,000",78.81,"$1,315,410,000",35.49,"$592,310,000",22.9,"$382,290,000",18.44,"$307,720,000",24.89,"$415,380,000"

Georgia,"8,544,005",468,"$4,002,823,000",182,"$1,555,442,000",80,"$682,487,000",207,"$1,764,894,000",73.32,"$626,410,000",28.4,"$242,690,000",22.27,"$190,310,000",12.81,"$109,480,000",32.1,"$274,240,000"
Hawaii,"1,240,663",504,"$625,776,000",205,"$254,636,000",172,"$213,854,000",127,"$157,286,000",71.91,"$89,220,000",29.37,"$36,440,000",22.63,"$28,080,000",22.61,"$28,050,000",19.93,"$24,730,000"
Idaho,"1,343,124",442,"$593,029,000",179,"$240,794,000",92,"$123,058,000",171,"$229,177,000",62.71,"$84,230,000",28.06,"$37,690,000",20.28,"$27,240,000",12.5,"$16,790,000",22.15,"$29,750,000"
Illinois,"12,586,447",494,"$6,212,482,000",256,"$3,226,031,000",88,"$1,107,041,000",149,"$1,879,410,000",71.5,"$899,900,000",35.72,"$449,610,000",27.65,"$348,010,000",14.42,"$181,490,000",21.36,"$268,800,000"
Indiana,"6,156,913",344,"$2,120,127,000",145,"$895,372,000",62,"$383,985,000",137,"$840,770,000",57.44,"$353,640,000",25.86,"$159,240,000",18.81,"$115,800,000",10.14,"$62,460,000",21.43,"$131,940,000"

Iowa,"2,935,840",367,"$1,076,379,000",156,"$458,397,000",98,"$288,261,000",112,"$329,721,000",50.13,"$147,180,000",24.45,"$71,780,000",18.31,"$53,760,000",10.71,"$31,440,000",14.97,"$43,960,000"
Kansas,"2,711,769",396,"$1,074,566,000",176,"$477,726,000",87,"$235,564,000",133,"$361,276,000",66.91,"$181,450,000",31.65,"$85,820,000",22.7,"$61,570,000",13.1,"$35,520,000",22.17,"$60,110,000"
Kentucky,"4,089,822",357,"$1,458,516,000",133,"$542,715,000",77,"$316,310,000",147,"$599,491,000",55.12,"$225,430,000",23.46,"$95,950,000",16.9,"$69,100,000",14.81,"$60,560,000",16.85,"$68,920,000"
Louisiana,"4,476,192",471,"$2,107,569,000",199,"$889,447,000",99,"$443,778,000",173,"$774,344,000",83.52,"$373,850,000",35.86,"$160,500,000",26.97,"$120,720,000",17.17,"$76,840,000",30.5,"$136,510,000"
Maine,"1,294,894",314,"$406,412,000",140,"$180,762,000",62,"$80,024,000",112,"$145,626,000",46.98,"$60,830,000",24.87,"$32,200,000",18.5,"$23,960,000",7.26,"$9,400,000",14.85,"$19,230,000"

Maryland,"5,450,525",571,"$3,112,413,000",245,"$1,335,168,000",95,"$520,487,000",231,"$1,256,758,000",72.35,"$394,360,000",31.68,"$172,690,000",23.1,"$125,910,000",13.5,"$73,560,000",27.17,"$148,110,000"
Massachusetts,"6,421,800",515,"$3,308,516,000",224,"$1,441,460,000",116,"$742,547,000",175,"$1,124,509,000",67.57,"$433,940,000",37.23,"$239,060,000",31.51,"$202,380,000",14.53,"$93,320,000",15.81,"$101,560,000"
Michigan,"10,043,221",516,"$5,183,326,000",197,"$1,975,978,000",109,"$1,098,376,000",210,"$2,108,972,000",63.47,"$637,490,000",26.43,"$265,480,000",20.66,"$207,450,000",12.42,"$124,760,000",24.62,"$247,250,000"
Minnesota,"5,024,791",436,"$2,189,440,000",203,"$1,018,638,000",104,"$522,118,000",129,"$648,684,000",51.71,"$259,820,000",22.37,"$112,390,000",16.55,"$83,140,000",12.11,"$60,870,000",17.23,"$86,560,000"
Mississippi,"2,866,733",329,"$941,720,000",161,"$461,105,000",55,"$157,949,000",113,"$322,666,000",59.45,"$170,440,000",30.59,"$87,690,000",21.6,"$61,910,000",8.9,"$25,500,000",19.97,"$57,250,000"

Missouri,"5,669,544",389,"$2,207,140,000",180,"$1,017,884,000",66,"$373,616,000",144,"$815,640,000",70.43,"$399,300,000",31.9,"$180,870,000",22.68,"$128,570,000",13.02,"$73,810,000",25.51,"$144,620,000"
Montana,"910,372",405,"$368,512,000",187,"$170,135,000",84,"$76,468,000",134,"$121,909,000",54.1,"$49,250,000",25,"$22,760,000",16.63,"$15,140,000",12.02,"$10,940,000",17.08,"$15,550,000"
Nebraska,"1,727,564",369,"$636,613,000",155,"$267,521,000",65,"$111,545,000",149,"$257,547,000",57.84,"$99,930,000",27.06,"$46,750,000",20.18,"$34,870,000",10.59,"$18,300,000",20.19,"$34,880,000"
Nevada,"2,167,544",680,"$1,474,713,000",300,"$650,065,000",148,"$321,655,000",232,"$502,993,000",71.96,"$155,970,000",31.01,"$67,210,000",19.02,"$41,230,000",14.64,"$31,740,000",26.31,"$57,020,000"
New Hampshire,"1,274,405",333,"$423,984,000",166,"$211,965,000",76,"$97,175,000",90,"$114,844,000",52.35,"$66,710,000",27.4,"$34,920,000",21.06,"$26,840,000",9.2,"$11,720,000",15.75,"$20,070,000"

New Jersey,"8,575,252",596,"$5,108,651,000",282,"$2,419,342,000",126,"$1,082,487,000",187,"$1,606,822,000",86.39,"$740,830,000",41.22,"$353,460,000",29.72,"$254,840,000",25.2,"$216,110,000",19.97,"$171,260,000"
New Mexico,"1,852,044",525,"$972,289,000",221,"$409,744,000",103,"$191,129,000",201,"$371,416,000",79.39,"$147,030,000",31.07,"$57,550,000",22.14,"$41,000,000",18.01,"$33,350,000",30.31,"$56,130,000"
New York,"19,134,293",738,"$14,115,834,000",351,"$6,719,312,000",143,"$2,734,013,000",244,"$4,662,509,000",95.25,"$1,822,480,000",46.41,"$887,930,000",40.04,"$766,150,000",16.55,"$316,680,000",32.29,"$617,870,000"
North Carolina,"8,305,820",389,"$3,229,175,000",181,"$1,504,076,000",67,"$553,464,000",141,"$1,171,635,000",65.56,"$544,560,000",28.17,"$233,960,000",22.73,"$188,750,000",8.03,"$66,700,000",29.36,"$243,900,000"
North Dakota,"633,911",295,"$187,061,000",122,"$77,068,000",79,"$50,136,000",94,"$59,857,000",47.92,"$30,380,000",22.35,"$14,170,000",17.27,"$10,950,000",12.32,"$7,810,000",13.25,"$8,400,000"

Ohio,"11,408,699",490,"$5,590,723,000",212,"$2,413,629,000",119,"$1,362,648,000",159,"$1,814,446,000",69.86,"$796,990,000",29.48,"$336,350,000",22.08,"$251,850,000",17.84,"$203,580,000",22.53,"$257,060,000"
Oklahoma,"3,489,700",389,"$1,356,546,000",163,"$568,877,000",65,"$227,213,000",161,"$560,456,000",62.52,"$218,190,000",30.45,"$106,250,000",21.96,"$76,630,000",11.65,"$40,660,000",20.43,"$71,280,000"
Oregon,"3,520,355",568,"$1,999,667,000",219,"$771,954,000",114,"$399,736,000",235,"$827,977,000",64,"$225,300,000",25.2,"$88,700,000",17.38,"$61,170,000",13.64,"$48,020,000",25.16,"$88,580,000"
Pennsylvania,"12,328,827",490,"$6,042,329,000",199,"$2,447,631,000",93,"$1,143,618,000",199,"$2,451,080,000",63.23,"$779,540,000",25.74,"$317,360,000",20.83,"$256,800,000",14.29,"$176,150,000",23.2,"$286,030,000"
Rhode Island,"1,068,326",468,"$499,682,000",224,"$238,841,000",97,"$103,310,000",147,"$157,531,000",60.09,"$64,200,000",31.75,"$33,920,000",23.03,"$24,600,000",11.75,"$12,550,000",16.6,"$17,730,000"

South Carolina,"4,103,770",367,"$1,504,863,000",176,"$722,169,000",52,"$212,463,000",139,"$570,231,000",68.39,"$280,650,000",32.61,"$133,840,000",23.68,"$97,190,000",9.61,"$39,450,000",26.16,"$107,360,000"
South Dakota,"760,437",318,"$242,075,000",139,"$105,443,000",57,"$43,312,000",123,"$93,320,000",50.02,"$38,040,000",22.86,"$17,380,000",16.65,"$12,660,000",10.24,"$7,790,000",16.92,"$12,870,000"
Tennessee,"5,789,796",361,"$2,087,237,000",169,"$976,543,000",73,"$421,145,000",119,"$689,549,000",62.96,"$364,530,000",30.32,"$175,570,000",22.65,"$131,130,000",10.59,"$61,310,000",22.05,"$127,650,000"
Texas,"21,736,925",449,"$9,750,308,000",171,"$3,727,574,000",75,"$1,621,755,000",202,"$4,400,979,000",71.51,"$1,554,370,000",27.86,"$605,590,000",20.4,"$443,410,000",11.06,"$240,350,000",32.59,"$708,430,000"
Utah,"2,318,789",456,"$1,057,381,000",190,"$440,622,000",104,"$241,312,000",162,"$375,447,000",56.47,"$130,950,000",23.77,"$55,120,000",16.33,"$37,860,000",11.63,"$26,960,000",21.08,"$48,870,000"

Vermont,"616,408",347,"$214,139,000",149,"$91,960,000",69,"$42,624,000",129,"$79,555,000",45.16,"$27,840,000",19.14,"$11,800,000",14.54,"$8,960,000",10.22,"$6,300,000",15.8,"$9,740,000"
Virginia,"7,287,829",460,"$3,354,056,000",180,"$1,309,344,000",90,"$656,261,000",191,"$1,388,451,000",67.28,"$490,310,000",26.62,"$194,030,000",20.51,"$149,470,000",10.11,"$73,710,000",30.54,"$222,570,000"
Washington,"6,067,060",463,"$2,807,823,000",180,"$1,091,514,000",94,"$570,347,000",189,"$1,145,962,000",57.93,"$351,460,000",23.26,"$141,100,000",15.93,"$96,620,000",12.83,"$77,870,000",21.84,"$132,490,000"
West Virginia,"1,804,884",284,"$513,269,000",104,"$186,904,000",69,"$124,819,000",112,"$201,546,000",36.01,"$65,000,000",20.03,"$36,150,000",15.7,"$28,330,000",11.78,"$21,270,000",4.2,"$7,580,000"
Wisconsin,"5,439,692",537,"$2,920,922,000",234,"$1,271,605,000",87,"$473,407,000",216,"$1,175,910,000",63.4,"$344,900,000",29.73,"$161,720,000",22.88,"$124,440,000",10.71,"$58,260,000",22.96,"$124,920,000"
Wyoming,"498,830",578,"$288,163,000",243,"$121,336,000",114,"$56,991,000",220,"$109,836,000",79.43,"$39,620,000",36.53,"$18,220,000",25.1,"$12,520,000",14.93,"$7,450,000",27.97,"$13,950,000"

Note:  Local government data are estimates subject to variability.,,,,,,,,,,,,,,,,,,,
"Population figures are from the Bureau of the Census, Current Population Reports, Series P-25, No. 1045, July 2002.",,,,,,,,,,,,,,,,,,,
