Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
filename:  cjee0215.csv,,,,,,,,,,,,,,,,,,
"table #:  15 Justice system expenditure of 49 large city governments by activity and character and object, fiscal 2002",,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2002, NCJ 209179",,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,
author:  Steven W. Perry,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
date of version:  6/29/2005,,,,,,,,,,,,,,,,,,


"Table 15.  Justice system expenditure of 49 large city governments by activity and character and object, fiscal 2002",,,,,,,,,,,,,,,,,,
(Thousands of dollars.),,,,,,,,,,,,,,,,,,


,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,
,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure
City,Fiscal year ends in month of--,Total  ,Total,Direct current,Capital outlay,Intergovernmental expenditure total,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure total,Total ,Total,Direct current,Capital outlay,Intergovernmental expenditure total,Total ,Total,Direct current,Total capital outlay,Construction only,Intergovernmental expenditure total,City

"Albuquerque, NM",6,"$138,950 ","$138,950 ","$130,763 ","$8,187 ",$0 ,"$99,494 ","$99,494 ","$91,307 ","$8,187 ",$0 ,"$4,389 ","$4,389 ","$4,389 ",$0 ,$0 ,"$35,067 ","$35,067 ","$35,067 ",$0 ,$0 ,$0 ,"Albuquerque, NM"
"Atlanta, GA",12,"$196,641 ","$196,641 ","$192,701 ","$3,940 ",$0 ,"$132,802 ","$132,802 ","$129,959 ","$2,843 ",$0 ,"$29,909 ","$29,909 ","$28,924 ",$985 ,$0 ,"$33,930 ","$33,930 ","$33,818 ",$112 ,$0 ,$0 ,"Atlanta, GA"
"Austin, TX",9,"$139,489 ","$139,489 ","$138,244 ","$1,245 ",$0 ,"$123,008 ","$123,008 ","$121,842 ","$1,166 ",$0 ,"$16,481 ","$16,481 ","$16,402 ",$79 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Austin, TX"
"Baltimore, MD",6,"$300,442 ","$300,442 ","$294,178 ","$6,264 ",$0 ,"$255,372 ","$255,372 ","$249,799 ","$5,573 ",$0 ,"$45,070 ","$45,070 ","$44,379 ",$691 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Baltimore, MD"
"Baton Rouge, LA",12,"$115,509 ","$115,509 ","$106,481 ","$9,028 ",$0 ,"$52,489 ","$52,489 ","$45,265 ","$7,224 ",$0 ,"$45,015 ","$45,015 ","$44,293 ",$722 ,$0 ,"$18,005 ","$18,005 ","$16,923 ","$1,082 ",$0 ,$0 ,"Baton Rouge, LA"
"Boston, MA",6,"$376,753 ","$376,753 ","$372,411 ","$4,342 ",$0 ,"$257,405 ","$257,405 ","$253,159 ","$4,246 ",$0 ,"$10,057 ","$10,057 ","$9,961 ",$96 ,$0 ,"$109,291 ","$109,291 ","$109,291 ",$0 ,$0 ,$0 ,"Boston, MA"

"Buffalo, NY",6,"$70,700 ","$70,700 ","$69,574 ","$1,126 ",$0 ,"$68,355 ","$68,355 ","$67,231 ","$1,124 ",$0 ,"$2,345 ","$2,345 ","$2,343 ",$2 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Buffalo, NY"
"Charlotte, NC",6,"$143,439 ","$143,439 ","$126,694 ","$16,745 ",$0 ,"$142,104 ","$142,104 ","$125,368 ","$16,736 ",$0 ,"$1,335 ","$1,335 ","$1,326 ",$9 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Charlotte, NC"
"Chicago, IL",12,"$1,142,549 ","$1,142,549 ","$1,115,086 ","$27,463 ",$0 ,"$1,108,542 ","$1,108,542 ","$1,081,096 ","$27,446 ",$0 ,"$34,007 ","$34,007 ","$33,990 ",$17 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Chicago, IL"
"Cincinnati, OH",12,"$99,869 ","$99,869 ","$99,815 ",$54 ,$0 ,"$94,714 ","$94,714 ","$94,660 ",$54 ,$0 ,"$5,155 ","$5,155 ","$5,155 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Cincinnati, OH"
"Cleveland, OH",12,"$214,422 ","$214,206 ","$213,899 ",$307 ,$216 ,"$173,039 ","$173,039 ","$172,819 ",$220 ,$0 ,"$35,446 ","$35,446 ","$35,369 ",$77 ,$0 ,"$5,937 ","$5,721 ","$5,711 ",$10 ,$0 ,$216 ,"Cleveland, OH"
"Columbus, OH",12,"$246,830 ","$237,570 ","$233,787 ","$3,783 ","$9,260 ","$202,751 ","$202,751 ","$199,587 ","$3,164 ",$0 ,"$32,480 ","$32,480 ","$31,861 ",$619 ,$0 ,"$11,599 ","$2,339 ","$2,339 ",$0 ,$0 ,"$9,260 ","Columbus, OH"

"Dallas, TX",9,"$260,484 ","$254,578 ","$253,290 ","$1,288 ","$5,906 ","$232,820 ","$232,820 ","$231,691 ","$1,129 ",$0 ,"$21,758 ","$21,758 ","$21,599 ",$159 ,$0 ,"$5,906 ",$0 ,$0 ,$0 ,$0 ,"$5,906 ","Dallas, TX"
"Denver, CO",12,"$265,569 ","$265,569 ","$265,569 ",$0 ,$0 ,"$149,955 ","$149,955 ","$149,955 ",$0 ,$0 ,"$51,350 ","$51,350 ","$51,350 ",$0 ,$0 ,"$64,264 ","$64,264 ","$64,264 ",$0 ,$0 ,$0 ,"Denver, CO"
"Detroit, MI",6,"$415,442 ","$414,239 ","$393,653 ","$20,586 ","$1,203 ","$340,041 ","$340,041 ","$320,095 ","$19,946 ",$0 ,"$74,198 ","$74,198 ","$73,558 ",$640 ,$0 ,"$1,203 ",$0 ,$0 ,$0 ,$0 ,"$1,203 ","Detroit, MI"
"El Paso, TX",8,"$90,308 ","$90,308 ","$88,350 ","$1,958 ",$0 ,"$82,520 ","$82,520 ","$80,633 ","$1,887 ",$0 ,"$7,788 ","$7,788 ","$7,717 ",$71 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"El Paso, TX"
"Fort Worth, TX",9,"$132,787 ","$132,787 ","$129,948 ","$2,839 ",$0 ,"$120,985 ","$120,985 ","$118,312 ","$2,673 ",$0 ,"$11,802 ","$11,802 ","$11,636 ",$166 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Fort Worth, TX"
"Honolulu, HI",6,"$188,394 ","$188,394 ","$169,792 ","$18,602 ",$0 ,"$167,827 ","$167,827 ","$149,289 ","$18,538 ",$0 ,"$20,567 ","$20,567 ","$20,503 ",$64 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Honolulu, HI"

"Houston, TX",6,"$487,996 ","$487,996 ","$475,789 ","$12,207 ",$0 ,"$440,354 ","$440,354 ","$428,928 ","$11,426 ",$0 ,"$33,030 ","$33,030 ","$32,249 ",$781 ,$0 ,"$14,612 ","$14,612 ","$14,612 ",$0 ,$0 ,$0 ,"Houston, TX"
"Indianapolis, IN",12,"$271,521 ","$262,325 ","$250,274 ","$12,051 ","$9,196 ","$144,303 ","$144,303 ","$135,672 ","$8,631 ",$0 ,"$77,578 ","$77,578 ","$76,069 ","$1,509 ",$0 ,"$49,640 ","$40,444 ","$38,533 ","$1,911 ","$1,605 ","$9,196 ","Indianapolis, IN"
"Jacksonville, FL",9,"$225,649 ","$225,649 ","$222,809 ","$2,840 ",$0 ,"$148,746 ","$148,746 ","$147,006 ","$1,740 ",$0 ,"$29,113 ","$29,113 ","$28,013 ","$1,100 ",$0 ,"$47,790 ","$47,790 ","$47,790 ",$0 ,$0 ,$0 ,"Jacksonville, FL"
"Kansas City, MO",4,"$126,635 ","$126,635 ","$125,139 ","$1,496 ",$0 ,"$113,651 ","$113,651 ","$112,198 ","$1,453 ",$0 ,"$8,480 ","$8,480 ","$8,437 ",$43 ,$0 ,"$4,504 ","$4,504 ","$4,504 ",$0 ,$0 ,$0 ,"Kansas City, MO"
"Long Beach, CA",6,"$158,505 ","$158,505 ","$150,426 ","$8,079 ",$0 ,"$149,112 ","$149,112 ","$141,033 ","$8,079 ",$0 ,"$9,393 ","$9,393 ","$9,393 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Long Beach, CA"
"Los Angeles, CA",6,"$1,218,186 ","$1,217,328 ","$1,192,553 ","$24,775 ",$858 ,"$1,127,674 ","$1,127,674 ","$1,104,011 ","$23,663 ",$0 ,"$88,322 ","$88,322 ","$87,210 ","$1,112 ",$0 ,"$2,190 ","$1,332 ","$1,332 ",$0 ,$0 ,$858 ,"Los Angeles, CA"

"Memphis, TN",6,"$163,076 ","$163,076 ","$158,578 ","$4,498 ",$0 ,"$155,466 ","$155,466 ","$151,009 ","$4,457 ",$0 ,"$7,610 ","$7,610 ","$7,569 ",$41 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Memphis, TN"
"Miami, FL",9,"$103,236 ","$103,236 ","$97,590 ","$5,646 ",$0 ,"$99,701 ","$99,701 ","$94,055 ","$5,646 ",$0 ,"$3,535 ","$3,535 ","$3,535 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Miami, FL"
"Milwaukee, WI",12,"$208,579 ","$208,579 ","$186,007 ","$22,572 ",$0 ,"$198,322 ","$198,322 ","$175,945 ","$22,377 ",$0 ,"$10,257 ","$10,257 ","$10,062 ",$195 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Milwaukee, WI"
"Minneapolis, MN",12,"$101,848 ","$101,848 ","$101,848 ",$0 ,$0 ,"$91,944 ","$91,944 ","$91,944 ",$0 ,$0 ,"$9,386 ","$9,386 ","$9,386 ",$0 ,$0 ,$518 ,$518 ,$518 ,$0 ,$0 ,$0 ,"Minneapolis, MN"
"Nashville, TN",6,"$209,763 ","$209,763 ","$209,034 ",$729 ,$0 ,"$116,905 ","$116,905 ","$116,176 ",$729 ,$0 ,"$44,932 ","$44,932 ","$44,932 ",$0 ,$0 ,"$47,926 ","$47,926 ","$47,926 ",$0 ,$0 ,$0 ,"Nashville, TN"
"Newark, NJ",12,"$121,600 ","$121,600 ","$121,491 ",$109 ,$0 ,"$113,561 ","$113,561 ","$113,452 ",$109 ,$0 ,"$8,039 ","$8,039 ","$8,039 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Newark, NJ"

"New Orleans, LA",12,"$172,689 ","$172,689 ","$169,958 ","$2,731 ",$0 ,"$104,964 ","$104,964 ","$103,762 ","$1,202 ",$0 ,"$40,229 ","$40,229 ","$39,438 ",$791 ,$0 ,"$27,496 ","$27,496 ","$26,758 ",$738 ,$738 ,$0 ,"New Orleans, LA"
"New York, NY",6,"$5,624,384 ","$5,570,658 ","$5,337,767 ","$232,891 ","$53,726 ","$3,763,975 ","$3,763,975 ","$3,645,269 ","$118,706 ",$0 ,"$472,316 ","$472,316 ","$471,089 ","$1,227 ",$0 ,"$1,388,093 ","$1,334,367 ","$1,221,409 ","$112,958 ","$101,383 ","$53,726 ","New York, NY"
"Oakland, CA",6,"$128,531 ","$128,531 ","$128,080 ",$451 ,$0 ,"$121,883 ","$121,883 ","$121,432 ",$451 ,$0 ,"$6,648 ","$6,648 ","$6,648 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Oakland, CA"
"Oklahoma City, OK",6,"$121,398 ","$121,398 ","$116,701 ","$4,697 ",$0 ,"$109,929 ","$109,929 ","$105,273 ","$4,656 ",$0 ,"$11,469 ","$11,469 ","$11,428 ",$41 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Oklahoma City, OK"
"Omaha, NE",7,"$70,596 ","$70,596 ","$67,953 ","$2,643 ",$0 ,"$70,596 ","$70,596 ","$67,953 ","$2,643 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Omaha, NE"
"Philadelphia, PA",6,"$1,077,272 ","$1,077,272 ","$1,035,313 ","$41,959 ",$0 ,"$494,771 ","$494,771 ","$488,663 ","$6,108 ",$0 ,"$251,381 ","$251,381 ","$250,171 ","$1,210 ",$0 ,"$331,120 ","$331,120 ","$296,479 ","$34,641 ","$28,231 ",$0 ,"Philadelphia, PA"

"Phoenix, AZ",6,"$356,363 ","$346,170 ","$341,391 ","$4,779 ","$10,193 ","$301,378 ","$301,378 ","$297,145 ","$4,233 ",$0 ,"$44,792 ","$44,792 ","$44,246 ",$546 ,$0 ,"$10,193 ",$0 ,$0 ,$0 ,$0 ,"$10,193 ","Phoenix, AZ"
