Bureau of Justice Statistics,,,,,,,,,,,,,
filename:  cjee0217.csv,,,,,,,,,,,,,
"table #:  17 Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 49 large city governments, March 2002",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2002, NCJ 209179",,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,
author:  Steven W. Perry,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,
date of version:  6/29/2005,,,,,,,,,,,,,


"Table 17. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 49 large city governments, March 2002",,,,,,,,,,,,,
(Payroll amounts in thousands of dollars.),,,,,,,,,,,,,

,Sworn,,,,,,,Nonsworn,,,,,
,Number of employees,,Fulltime equivalent employment,,,,,,,,,,
City,Total,Fulltime only,Number,Percent of total police protection fulltime equivalent,,March payrolls ,Average earnings of fulltime employee (dollars),Total,Fulltime only ,Number,Percent of total police protection fulltime equivalent,,March payrolls

"Albuquerque, NM",912,912,912,64.4,%,"$3,587","$3,933",596,435,504,35.6,%,"$1,212"
"Atlanta, GA","2,216","1,978","2,033",90.2,,"$6,884","$3,424",220,220,220,9.8,,$443
"Austin, TX","1,219","1,219","1,219",66.6,,"$6,410","$5,258",780,579,612,33.4,,"$1,914"
"Baltimore, MD","3,299","3,299","3,299",80.6,,"$13,882","$4,208",964,598,793,19.4,,"$2,720"
"Baton Rouge, LA",908,908,908,70.9,,"$2,993","$3,297",457,312,372,29.1,,$924
"Boston, MA","2,159","2,159","2,159",74.3,,"$9,938","$4,603",861,658,745,25.7,,"$2,131"
"Buffalo, NY",925,925,925,75.9,,"$3,408","$3,684",395,215,294,24.1,,$903
"Charlotte, NC","1,482","1,466","1,477",81.2,,"$6,032","$4,094",409,339,342,18.8,,"$1,399"
"Chicago, IL","13,779","13,779","13,779",86.2,,"$60,162","$4,366","2,709","1,598","2,198",13.8,,"$7,817"
"Cincinnati, OH","1,121","1,121","1,121",82.1,,"$4,743","$4,231",250,239,244,17.9,,$858
"Cleveland, OH","1,948","1,948","1,948",76.8,,"$8,263","$4,242",923,512,590,23.2,,"$1,673"
"Columbus, OH","1,789","1,789","1,789",82.2,,"$9,859","$5,511",394,383,388,17.8,,"$1,250"
"Dallas, TX","2,905","2,905","2,905",82.1,,"$14,321","$4,930",967,609,635,17.9,,"$2,121"
"Denver, CO","1,504","1,504","1,504",82.1,,"$8,538","$5,677",330,327,329,17.9,,"$1,150"
"Detroit, MI","4,243","4,243","4,243",88.2,,"$17,467","$4,117",567,567,567,11.8,,"$1,695"
"El Paso, TX","1,098","1,098","1,098",74.5,,"$3,818","$3,477",378,374,375,25.5,,$853
"Fort Worth, TX","1,241","1,241","1,241",76.4,,"$6,022","$4,852",440,331,383,23.6,,"$1,038"
"Honolulu, HI","1,969","1,969","1,969",78.4,,"$8,696","$4,416",637,521,544,21.6,,"$1,715"
"Houston, TX","5,557","5,557","5,557",73.4,,"$21,389","$3,849","2,035","2,002","2,017",26.6,,"$4,774"
"Indianapolis, IN","1,930","1,897","1,899",73.6,,"$8,644","$4,553",772,673,680,26.4,,"$1,584"
"Jacksonville, FL","1,496","1,496","1,496",68.5,,"$6,004","$4,014",875,430,689,31.5,,"$1,737"
"Kansas City, MO","1,299","1,299","1,299",65.7,,"$5,839","$4,495",680,678,679,34.3,,"$2,138"
"Long Beach, CA",902,899,901,64.3,,"$6,361","$7,067",537,413,501,35.7,,"$1,840"
"Los Angeles, CA","8,853","8,853","8,853",74.3,,"$59,607","$6,733","3,090","3,040","3,063",25.7,,"$13,065"
"Memphis, TN","1,894","1,894","1,894",75,,"$7,318","$3,864",829,488,633,25,,"$2,128"
"Miami, FL","1,117","1,117","1,117",74.1,,"$6,210","$5,560",417,337,391,25.9,,"$1,219"
"Milwaukee, WI","2,102","2,102","2,102",79.5,,"$9,069","$4,315",646,511,541,20.5,,"$1,519"
"Minneapolis, MN",858,858,858,74.2,,"$4,460","$5,198",298,298,298,25.8,,"$1,290"
"Nashville, TN","1,301","1,301","1,301",72.9,,"$4,786","$3,679",614,393,484,27.1,,"$1,424"
"Newark, NJ","1,524","1,524","1,524",91.3,,"$9,839","$6,456",285,49,146,8.7,,$315
"New Orleans, LA","1,653","1,653","1,653",80.2,,"$5,128","$3,103",549,386,407,19.8,,$718
"New York, NY","50,906","44,283","48,805",92.3,,"$328,460","$6,977","4,248","3,692","4,083",7.7,,"$27,436"
"Oakland, CA",764,764,764,59.5,,"$5,449","$7,132",520,520,520,40.5,,"$2,729"
"Oklahoma City, OK","1,135","1,135","1,135",81.3,,"$4,851","$4,274",364,241,261,18.7,,$775
"Omaha, NE",743,732,738,80.8,,"$2,970","$4,041",178,171,175,19.2,,$545
"Philadelphia, PA","6,988","6,988","6,988",85.7,,"$33,045","$4,729","1,930",926,"1,168",14.3,,"$5,173"
"Phoenix, AZ","2,813","2,807","2,808",76.4,,"$14,227","$5,066",896,817,868,23.6,,"$3,558"
"Pittsburgh, PA","1,068","1,068","1,068",79.2,,"$4,247","$3,976",337,113,281,20.8,,$593
"Portland, OR","1,049","1,048","1,048",73.2,,"$5,720","$5,457",389,378,384,26.8,,"$1,531"
"St.Louis, MO","1,512","1,512","1,512",73.8,,"$6,619","$4,378",538,538,538,26.2,,"$1,931"
"San Antonio, TX","1,888","1,888","1,888",72.4,,"$9,579","$5,073",855,611,721,27.6,,"$1,555"
"San Diego, CA","2,072","2,072","2,072",73.9,,"$12,193","$5,885",821,689,731,26.1,,"$2,766"
"San Francisco, CA","2,251","2,251","2,251",84.1,,"$16,378","$7,276",424,424,424,15.9,,"$2,101"
"San Jose, CA","1,370","1,370","1,370",74.3,,"$10,527","$7,684",623,426,474,25.7,,"$1,352"
"Seattle, WA","1,285","1,285","1,285",70.6,,"$7,489","$5,828",593,504,536,29.4,,"$2,044"
"Toledo, OH",707,707,707,84.7,,"$3,295","$4,660",128,128,128,15.3,,$375
"Tucson, AZ",976,976,976,74.3,,"$4,538","$4,650",338,331,337,25.7,,"$1,074"
"Tulsa, OK",788,788,788,81.7,,"$3,245","$4,118",223,154,176,18.3,,$456
"Washington, DC","3,561","3,560","3,561",82.5,,"$18,389","$5,165",828,683,756,17.5,,"$2,863"

Note:  Payroll data shown here may not sum to equal police protection March payroll data in table 16 due to rounding.,,,,,,,,,,,,,
Jurisdictions without data did not report for 2002.,,,,,,,,,,,,,
