Bureau of Justice Statistics,,,,,,,,
filename:  cjee0218.csv,,,,,,,,
table #:  18 Supplemental data for State governments,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2002, NCJ 209179",,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,
author:  Steven W. Perry,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,
date of version:  6/29/2005,,,,,,,,


Table 18. Supplemental data for State governments,,,,,,,,

,,"Personal income, calendar year 2002/a",,"Expenditures, fiscal 2002 (thousands of dollars)",,,"Full-time equivalent employment, March 2002",
,,,,All functions,,,,
State,"Estimated population as of july 1, 2002 (thousands)",Amount (millions of dollars),Per capita,Total (direct and intergovernemental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c

Total,"287,405","$8,842,132 ","$30,765 ","$1,280,290,224 ","$915,500,744 ","$1,102,851,525 ","$4,222,751 ","$4,178,431 "

Alabama,"4,479","$113,647 ","$25,374 ","$17,996,418 ","$13,900,856 ","$16,160,326 ","$85,665 ","$85,023 "
Alaska,641,"$20,899 ","$32,579 ","$7,402,469 ","$6,346,873 ","$6,702,256 ","$24,811 ","$24,811 "
Arizona,"5,441","$143,680 ","$26,406 ","$18,118,531 ","$11,149,896 ","$16,246,271 ","$66,387 ","$66,377 "
Arkansas,"2,706","$63,505 ","$23,466 ","$11,520,781 ","$8,449,567 ","$10,634,159 ","$53,231 ","$53,231 "
California,"35,002","$1,149,144 ","$32,831 ","$184,927,602 ","$110,240,232 ","$157,805,545 ","$378,362 ","$378,362 "

Colorado,"4,501","$153,593 ","$34,124 ","$16,823,158 ","$12,527,919 ","$14,661,519 ","$65,932 ","$65,932 "
Connecticut,"3,459","$147,856 ","$42,750 ","$20,117,270 ","$16,382,308 ","$17,536,459 ","$66,869 ","$66,869 "
Delaware,806,"$26,183 ","$32,487 ","$4,646,009 ","$3,823,465 ","$4,229,991 ","$24,826 ","$24,227 "
Florida,"16,692","$492,218 ","$29,489 ","$51,833,803 ","$37,779,945 ","$47,124,617 ","$184,793 ","$184,240 "
Georgia,"8,544","$246,781 ","$28,884 ","$30,052,991 ","$21,408,164 ","$27,147,301 ","$122,825 ","$122,825 "

Hawaii,"1,241","$36,759 ","$29,629 ","$7,445,512 ","$7,315,125 ","$6,683,606 ","$55,972 ","$55,972 "
Idaho,"1,343","$33,963 ","$25,287 ","$5,234,047 ","$3,826,989 ","$4,624,686 ","$23,845 ","$23,676 "
Illinois,"12,586","$412,262 ","$32,754 ","$49,131,377 ","$36,040,401 ","$42,251,807 ","$146,669 ","$146,669 "
Indiana,"6,157","$171,841 ","$27,910 ","$22,205,168 ","$15,648,394 ","$20,584,712 ","$90,254 ","$90,254 "
Iowa,"2,936","$81,925 ","$27,905 ","$12,720,752 ","$9,394,253 ","$11,435,526 ","$52,261 ","$52,261 "

Kansas,"2,712","$78,290 ","$28,870 ","$10,591,633 ","$7,620,220 ","$9,617,322 ","$44,372 ","$44,372 "
Kentucky,"4,090","$104,055 ","$25,442 ","$18,407,007 ","$14,847,338 ","$16,345,159 ","$78,126 ","$78,126 "
Louisiana,"4,476","$113,277 ","$25,307 ","$18,319,273 ","$14,150,983 ","$16,162,265 ","$91,752 ","$91,752 "
Maine,"1,295","$36,295 ","$28,029 ","$6,264,883 ","$5,255,301 ","$5,670,144 ","$21,904 ","$21,837 "
Maryland,"5,451","$198,544 ","$36,427 ","$23,317,261 ","$18,081,755 ","$20,453,057 ","$92,244 ","$89,952 "

Massachusetts,"6,422","$249,889 ","$38,913 ","$32,847,974 ","$26,564,002 ","$27,577,018 ","$95,435 ","$94,805 "
Michigan,"10,043","$302,019 ","$30,072 ","$49,183,595 ","$30,116,537 ","$43,610,358 ","$142,860 ","$142,860 "
Minnesota,"5,025","$166,718 ","$33,179 ","$26,692,608 ","$18,421,146 ","$23,409,823 ","$75,725 ","$73,215 "
Mississippi,"2,867","$64,328 ","$22,439 ","$12,742,438 ","$9,285,850 ","$11,461,763 ","$56,952 ","$56,829 "
Missouri,"5,670","$160,962 ","$28,391 ","$20,840,783 ","$15,767,598 ","$18,676,853 ","$91,713 ","$91,713 "

Montana,910,"$22,526 ","$24,744 ","$4,265,076 ","$3,354,231 ","$3,781,055 ","$17,776 ","$17,738 "
Nebraska,"1,728","$49,872 ","$28,868 ","$6,536,970 ","$4,716,833 ","$6,214,230 ","$33,155 ","$33,155 "
