Bureau of Justice Statistics,,,,,,
filename:  cjee0219.csv,,,,,,
table #:  19 Supplemental data for 68 large county governments,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2002, NCJ 209179",,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,
authors:  Steven W. Perry,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,
date of version:  6/29/2005,,,,,,

Table 19. Supplemental data for 68 large county governments,,,,,,

,,"Expenditures, fiscal 2002 (thousands of dollars)",,,"Full-time equivalent employment, March 2002",
,,All functions,,,,
County,Population 2002/a,Total (direct and intergovernmental),Direct expenditure only ,Total general expenditure/b,All functions,General functions only/c
"Alameda, CA","1,472,310","$2,473,772","$2,368,037","$2,314,098","$11,269","$11,269"
"Allegheny, PA","1,269,904","$1,455,573","$1,364,965","$1,404,412","$7,047","$7,047"
"Baltimore, MD","770,298","$2,257,518","$2,113,166","$2,147,176","$22,222","$22,222"
"Bergen, NJ","895,091","$686,506","$655,719","$686,506","$4,703","$4,703"
"Bexar, TX","1,446,333","$878,907","$809,533","$878,907","$9,260","$9,260"
"Broward, FL","1,709,118","$1,757,747","$1,701,640","$1,605,769","$12,249","$11,187"
"Clark, NV","1,522,164","$2,898,431","$2,880,892","$2,472,330","$16,318","$15,039"
,,,,,,
"Contra Costa, CA","992,358","$1,844,877","$1,795,493","$1,706,623","$9,404","$9,404"
"Cook, IL","5,377,507","$2,905,978","$2,885,848","$2,694,118","$28,508","$28,508"
"Cuyahoga, OH","1,379,049","$1,805,772","$1,787,507","$1,805,772","$15,706","$15,706"
"Dade, FL","2,332,599","$5,280,802","$5,267,344","$4,726,328","$39,788","$35,892"
"Dallas, TX","2,283,953","$1,346,702","$1,339,985","$1,337,393","$13,749","$13,749"
"Dekalb, GA","676,996","$997,906","$954,289","$730,325","$6,609","$6,242"
"Delaware, PA","553,435","$436,052","$429,115","$418,188","$3,594","$3,594"
,,,,,,
"Du Page, IL","924,589","$436,925","$432,878","$435,419","$3,708","$3,690"
"Erie, NY","945,049","$1,512,188","$1,170,593","$1,432,135","$10,065","$9,805"
"Essex, NJ","798,301","$633,729","$587,994","$633,729","$5,943","$5,943"
"Fairfax, VA","997,580","$3,736,682","$3,662,273","$3,406,078","$36,201","$35,824"
"Franklin, OH","1,086,814","$1,032,337","$1,009,239","$1,030,738","$6,548","$6,548"
"Fresno, CA","834,632","$1,082,632","$1,075,688","$999,341","$8,680","$8,680"
"Fulton, GA","825,431","$1,031,890","$801,761","$880,886","$7,106","$7,063"
,,,,,,
"Hamilton, OH","833,721","$1,099,537","$940,452","$1,099,537","$6,178","$6,178"
"Harris, TX","3,557,055","$3,135,752","$3,135,752","$3,135,752","$21,567","$21,531"
"Hennepin, MN","1,122,259","$1,589,694","$1,584,499","$1,589,694","$11,238","$11,238"
"Hillsborough, FL","1,053,864","$1,291,511","$1,269,553","$1,057,543","$11,929","$11,629"
"Hudson, NJ","611,439","$451,551","$414,521","$451,551","$3,524","$3,524"
"Jackson, MO","660,773","$186,807","$183,483","$183,902","$1,950","$1,950"
"Jefferson, AL","661,153","$914,031","$914,031","$897,147","$4,837","$4,837"
,,,,,,
"Jefferson, KY","698,080","$465,740","$447,210","$465,740","$3,590","$3,590"
"King, WA","1,759,604","$2,024,812","$1,990,085","$1,613,166","$13,909","$9,820"
"Lake, IN","487,016","$277,261","$277,261","$277,261","$1,983","$1,983"
"Los Angeles, CA","9,806,577","$16,231,526","$15,127,733","$14,931,211","$99,475","$99,378"
"Macomb, WI","808,529","$448,127","$436,440","$428,870","$2,858","$2,858"
"Maricopa, AZ","3,303,876","$2,019,788","$1,794,856","$2,019,788","$14,887","$14,887"
