Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0305.csv,,,,,,,,,,,,,,,,,,,,,,
"table #:  5 Justice system employment and percent distribution of full-time equivalent employment, by State and type of government, March 2003",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2003, NCJ 212350",,,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
authors:  Kristen A. Hughes and Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
date of version:  1/12/2005,,,,,,,,,,,,,,,,,,,,,,

"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by State and type of government, March 2003",,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
,,Number of employees,,Full-time equivalent employment,,,Number of employees,,Full-time equivalent employment,,,Number of employees,,Full-time equivalent employment,,,Number of employees,,Full-time equivalent employment,,,
State and type of government,Total full-time equivalent employment/a,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,State and type of government

"States-local, total","15,760,451","2,107,826","1,929,659","2,002,706",12.7,%,"962,329","854,031","894,956",44.7,%,"432,023","390,247","407,726",20.4,%,"713,474","685,381","700,024",35,%,"States-local, total"
State,"4,190,667","733,570","709,835","722,875",17.2,,"105,933","103,152","104,127",14.4,,"164,051","154,537","159,849",22.1,,"463,586","452,146","458,899",63.5,,State
"Local, total","11,569,784","1,374,256","1,219,824","1,279,831",11.1,,"856,396","750,879","790,829",61.8,,"267,972","235,710","247,877",19.4,,"249,888","233,235","241,125",18.8,,"Local, total"
Counties,"2,484,513","657,734","605,297","627,825",25.3,,"242,339","221,277","229,100",36.5,,"201,897","185,717","193,156",30.8,,"213,498","198,303","205,569",32.7,,Counties
Municipalities,"2,937,058","716,522","614,527","652,006",22.2,,"614,057","529,602","561,729",86.2,,"66,075","49,993","54,721",8.4,,"36,390","34,932","35,556",5.5,,Municipalities

Alabama,"269,674","27,300","25,139","26,036",9.7,,"13,866","12,752","13,279",51,,"5,657","4,844","5,072",19.5,,"7,777","7,543","7,685",29.5,,Alabama
State,"85,518","9,399","9,316","9,355",10.9,,"1,199","1,199","1,199",12.8,,"3,464","3,389","3,421",36.6,,"4,736","4,728","4,735",50.6,,State
"Local, total","184,156","17,901","15,823","16,681",9.1,,"12,667","11,553","12,080",72.4,,"2,193","1,455","1,651",9.9,,"3,041","2,815","2,950",17.7,,"Local, total"
Counties,"19,558","6,455","5,939","6,192",31.7,,"2,769","2,632","2,701",43.6,,995,820,879,14.2,,"2,691","2,487","2,612",42.2,,Counties
Municipalities,"38,619","11,446","9,884","10,489",27.2,,"9,898","8,921","9,379",89.4,,"1,198",635,772,7.4,,350,328,338,3.2,,Municipalities

Alaska,"51,102","5,409","5,053","5,191",10.2,,"2,186","1,977","2,046",39.4,,"1,371","1,268","1,312",25.3,,"1,852","1,808","1,833",35.3,,Alaska
State,"24,837","3,570","3,370","3,447",13.9,,520,450,460,13.3,,"1,267","1,173","1,216",35.3,,"1,783","1,747","1,771",51.4,,State
"Local, total","26,265","1,839","1,683","1,744",6.6,,"1,666","1,527","1,586",90.9,,104,95,96,5.5,,69,61,62,3.6,,"Local, total"
Boroughs,"8,923",437,436,437,4.9,,405,405,405,92.7,,23,22,23,5.3,,9,9,9,2.1,,Boroughs
Municipalities,"16,844","1,402","1,247","1,307",7.8,,"1,261","1,122","1,181",90.4,,81,73,73,5.6,,60,52,53,4.1,,Municipalities

Arizona,"261,492","41,499","40,072","40,583",15.5,,"17,713","17,304","17,497",43.1,,"9,630","8,942","9,126",22.5,,"14,156","13,826","13,960",34.4,,Arizona
State,"65,372","12,520","12,371","12,454",19.1,,"2,012","2,011","2,012",16.2,,"1,336","1,258","1,302",10.5,,"9,172","9,102","9,140",73.4,,State
"Local, total","196,120","28,979","27,701","28,129",14.3,,"15,701","15,293","15,485",55,,"8,294","7,684","7,824",27.8,,"4,984","4,724","4,820",17.1,,"Local, total"
Counties,"32,285","15,639","14,960","15,232",47.2,,"4,325","4,216","4,253",27.9,,"6,345","6,034","6,173",40.5,,"4,969","4,710","4,806",31.6,,Counties
Municipalities,"41,765","13,340","12,741","12,897",30.9,,"11,376","11,077","11,232",87.1,,"1,949","1,650","1,651",12.8,,15,14,14,0.1,,Municipalities

Arkansas,"153,382","19,003","16,696","17,345",11.3,,"8,767","7,629","7,960",45.9,,"4,011","2,981","3,258",18.8,,"6,225","6,086","6,127",35.3,,Arkansas
State,"54,087","6,751","6,633","6,693",12.4,,"1,058","1,054","1,057",15.8,,"1,455","1,348","1,402",20.9,,"4,238","4,231","4,234",63.3,,State
"Local, total","99,295","12,252","10,063","10,652",10.7,,"7,709","6,575","6,903",64.8,,"2,556","1,633","1,856",17.4,,"1,987","1,855","1,893",17.8,,"Local, total"
Counties,"12,497","5,372","4,792","4,942",39.5,,"2,234","1,894","1,960",39.7,,"1,194","1,086","1,132",22.9,,"1,944","1,812","1,850",37.4,,Counties
Municipalities,"18,901","6,880","5,271","5,710",30.2,,"5,475","4,681","4,943",86.6,,"1,362",547,724,12.7,,43,43,43,0.8,,Municipalities

California,"1,805,446","247,110","230,389","238,806",13.2,,"106,869","98,292","101,739",42.6,,"55,519","53,058","54,457",22.8,,"84,722","79,039","82,610",34.6,,California
State,"389,345","69,898","65,212","67,790",17.4,,"14,449","13,155","13,459",19.9,,"4,322","3,943","4,108",6.1,,"51,127","48,114","50,223",74.1,,State
"Local, total","1,416,101","177,212","165,177","171,016",12.1,,"92,420","85,137","88,280",51.6,,"51,197","49,115","50,349",29.4,,"33,595","30,925","32,387",18.9,,"Local, total"
Counties,"354,001","112,436","106,003","109,200",30.8,,"32,878","31,063","31,635",29,,"47,296","45,348","46,511",42.6,,"32,262","29,592","31,054",28.4,,Counties
Municipalities,"247,825","64,776","59,174","61,816",24.9,,"59,542","54,074","56,645",91.6,,"3,901","3,767","3,838",6.2,,"1,333","1,333","1,333",2.2,,Municipalities

Colorado,"256,018","30,216","28,192","29,205",11.4,,"13,661","13,018","13,294",45.5,,"6,456","5,240","5,877",20.1,,"10,099","9,934","10,034",34.4,,Colorado
State,"67,406","11,634","10,762","11,351",16.8,,"1,191","1,183","1,187",10.5,,"3,778","2,992","3,518",31,,"6,665","6,587","6,646",58.5,,State
"Local, total","188,612","18,582","17,430","17,854",9.5,,"12,470","11,835","12,107",67.8,,"2,678","2,248","2,359",13.2,,"3,434","3,347","3,388",19,,"Local, total"
Counties,"24,963","7,273","6,773","6,975",27.9,,"3,905","3,547","3,682",52.8,,"1,061",997,"1,026",14.7,,"2,307","2,229","2,267",32.5,,Counties
Municipalities,"44,739","11,309","10,657","10,879",24.3,,"8,565","8,288","8,425",77.4,,"1,617","1,251","1,333",12.3,,"1,127","1,118","1,121",10.3,,Municipalities

Connecticut,"176,369","23,380","21,955","22,626",12.8,,"10,956","9,814","10,373",45.8,,"4,873","4,675","4,733",20.9,,"7,551","7,466","7,520",33.2,,Connecticut
State,"59,967","13,995","13,713","13,828",23.1,,"1,773","1,744","1,761",12.7,,"4,671","4,503","4,547",32.9,,"7,551","7,466","7,520",54.4,,State
"Local, total","116,402","9,385","8,242","8,798",7.6,,"9,183","8,070","8,612",97.9,,202,172,186,2.1,,0,0,0,0,,"Local, total"
Municipalities,"105,436","9,385","8,242","8,798",8.3,,"9,183","8,070","8,612",97.9,,202,172,186,2.1,,0,0,0,0,,Municipalities

Delaware,"45,947","7,100","6,756","6,926",15.1,,"2,656","2,431","2,558",36.9,,"1,599","1,566","1,579",22.8,,"2,845","2,759","2,789",40.3,,Delaware
State,"24,455","5,252","5,139","5,183",21.2,,918,912,917,17.7,,"1,489","1,468","1,477",28.5,,"2,845","2,759","2,789",53.8,,State
"Local, total","21,492","1,848","1,617","1,743",8.1,,"1,738","1,519","1,641",94.1,,110,98,102,5.9,,0,0,0,0,,"Local, total"
Counties,"2,513",714,538,632,25.1,,643,467,561,88.8,,71,71,71,11.2,,0,0,0,0,,Counties
Municipalities,"3,123","1,134","1,079","1,111",35.6,,"1,095","1,052","1,080",97.2,,39,27,31,2.8,,0,0,0,0,,Municipalities

District of Columbia,"44,271","6,950","6,792","6,870",15.5,,"4,398","4,263","4,331",63,,"1,500","1,481","1,489",21.7,,"1,052","1,048","1,050",15.3,,District of Columbia
"Local, total","44,271","6,950","6,792","6,870",15.5,,"4,398","4,263","4,331",63,,"1,500","1,481","1,489",21.7,,"1,052","1,048","1,050",15.3,,"Local, total"
Municipality,"34,925","6,950","6,792","6,870",19.7,,"4,398","4,263","4,331",63,,"1,500","1,481","1,489",21.7,,"1,052","1,048","1,050",15.3,,Municipality

Florida,"806,682","137,227","131,082","133,772",16.6,,"62,588","57,711","59,825",44.7,,"32,733","31,571","32,108",24,,"41,906","41,800","41,839",31.3,,Florida
State,"186,861","49,372","48,896","49,146",26.3,,"4,379","4,352","4,365",8.9,,"18,395","17,974","18,196",37,,"26,598","26,570","26,585",54.1,,State
"Local, total","619,821","87,855","82,186","84,626",13.7,,"58,209","53,359","55,460",65.5,,"14,338","13,597","13,912",16.4,,"15,308","15,230","15,254",18,,"Local, total"
Counties,"159,080","59,479","55,656","57,132",35.9,,"31,500","28,394","29,579",51.8,,"13,373","12,733","13,001",22.8,,"14,606","14,529","14,552",25.5,,Counties
Municipalities,"102,112","28,376","26,530","27,494",26.9,,"26,709","24,965","25,881",94.1,,965,864,911,3.3,,702,701,702,2.6,,Municipalities

Georgia,"484,515","67,058","62,741","64,637",13.3,,"26,539","24,732","25,451",39.4,,"12,803","11,337","11,907",18.4,,"27,716","26,672","27,279",42.2,,Georgia
State,"121,255","24,608","24,001","24,333",20.1,,"2,325","2,306","2,317",9.5,,"2,543","2,513","2,522",10.4,,"19,740","19,182","19,494",80.1,,State
