Bureau of Justice Statistics,,,,,,,,,,,,
filename:  cjee0310.csv,,,,,,,,,,,,
"table #:  10 Detail of direct expenditure for correctional activities of State governments by character and object, fiscal 2003",,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2003, NCJ 212350",,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,
authors:  Kristen A. Hughes and Steven W. Perry,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,
date of version:  1/12/2005,,,,,,,,,,,,

"Table 10.   Detail of direct expenditure for correctional activities of State governments by character and object, fiscal 2003",,,,,,,,,,,,
(Dollar amounts in thousands.),,,,,,,,,,,,

,,Institutions,,Capital outlay,,,,Other corrections,,,,
State,Total correction direct expenditure,Total,Direct current,Construction,Other,Percent of total corrections direct expenditure,,Total,Direct current,Capital outlay,Percent of total corrections direct expenditure,

Total,"$36,937,901 ","$30,150,005 ","$28,764,117 ","$1,113,775 ","$272,113 ",81.6,%,"$6,787,896 ","$6,568,472 ","$219,424 ",18.4,%

Alabama,"$350,522 ","$264,025 ","$260,480 ","$2,631 ",$914 ,75.3,,"$86,497 ","$85,660 ",$837 ,24.7
Alaska,"$182,046 ","$160,504 ","$159,384 ",$393 ,$727 ,88.2,,"$21,542 ","$21,505 ",$37 ,11.8
Arizona,"$640,641 ","$540,617 ","$534,974 ",$256 ,"$5,387 ",84.4,,"$100,024 ","$98,713 ","$1,311 ",15.6
Arkansas,"$305,360 ","$231,029 ","$214,775 ","$14,508 ","$1,746 ",75.7,,"$74,331 ","$74,217 ",$114 ,24.3
California,"$5,480,234 ","$4,912,734 ","$4,693,200 ","$184,850 ","$34,684 ",89.6,,"$567,500 ","$550,475 ","$17,025 ",10.4

Colorado,"$627,012 ","$451,600 ","$435,185 ","$13,101 ","$3,314 ",72,,"$175,412 ","$172,906 ","$2,506 ",28
Connecticut,"$613,787 ","$604,277 ","$567,386 ","$27,584 ","$9,307 ",98.5,,"$9,510 ","$9,442 ",$68 ,1.5
Delaware,"$206,085 ","$152,154 ","$151,491 ",$19 ,$644 ,73.8,,"$53,931 ","$53,388 ",$543 ,26.2
Florida,"$2,141,271 ","$1,558,334 ","$1,521,961 ","$28,707 ","$7,666 ",72.8,,"$582,937 ","$563,528 ","$19,409 ",27.2
Georgia,"$1,229,634 ","$771,908 ","$742,246 ","$25,470 ","$4,192 ",62.8,,"$457,726 ","$449,679 ","$8,047 ",37.2

Hawaii,"$135,034 ","$120,562 ","$118,947 ",$744 ,$871 ,89.3,,"$14,472 ","$14,045 ",$427 ,10.7
Idaho,"$162,852 ","$142,515 ","$135,017 ","$6,530 ",$968 ,87.5,,"$20,337 ","$19,879 ",$458 ,12.5
Illinois,"$1,310,404 ","$1,092,877 ","$1,000,760 ","$89,087 ","$3,030 ",83.4,,"$217,527 ","$209,843 ","$7,684 ",16.6
Indiana,"$626,889 ","$580,267 ","$551,340 ","$24,501 ","$4,426 ",92.6,,"$46,622 ","$46,375 ",$247 ,7.4
Iowa,"$239,166 ","$229,041 ","$228,465 ",$1 ,$575 ,95.8,,"$10,125 ","$10,103 ",$22 ,4.2

Kansas,"$282,338 ","$257,572 ","$218,869 ","$35,603 ","$3,100 ",91.2,,"$24,766 ","$24,708 ",$58 ,8.8
Kentucky,"$452,312 ","$407,301 ","$336,119 ","$67,107 ","$4,075 ",90,,"$45,011 ","$44,788 ",$223 ,10
Louisiana,"$469,176 ","$376,364 ","$356,647 ","$16,186 ","$3,531 ",80.2,,"$92,812 ","$91,373 ","$1,439 ",19.8
Maine,"$107,295 ","$72,030 ","$71,605 ",$53 ,$372 ,67.1,,"$35,265 ","$34,277 ",$988 ,32.9
Maryland,"$1,048,574 ","$589,106 ","$571,410 ","$16,191 ","$1,505 ",56.2,,"$459,468 ","$448,511 ","$10,957 ",43.8

Massachusetts,"$919,252 ","$553,406 ","$543,683 ","$4,146 ","$5,577 ",60.2,,"$365,846 ","$310,203 ","$55,643 ",39.8
Michigan,"$1,614,416 ","$1,538,736 ","$1,429,716 ","$87,586 ","$21,434 ",95.3,,"$75,680 ","$74,103 ","$1,577 ",4.7
Minnesota,"$327,367 ","$219,612 ","$213,662 ",$835 ,"$5,115 ",67.1,,"$107,755 ","$103,657 ","$4,098 ",32.9
Mississippi,"$272,188 ","$247,118 ","$234,068 ","$11,820 ","$1,230 ",90.8,,"$25,070 ","$24,906 ",$164 ,9.2
Missouri,"$652,336 ","$572,722 ","$539,412 ","$17,680 ","$15,630 ",87.8,,"$79,614 ","$78,909 ",$705 ,12.2

Montana,"$103,384 ","$57,203 ","$55,961 ",$891 ,$351 ,55.3,,"$46,181 ","$45,922 ",$259 ,44.7
Nebraska,"$181,453 ","$82,754 ","$77,246 ","$5,417 ",$91 ,45.6,,"$98,699 ","$97,718 ",$981 ,54.4
Nevada,"$214,757 ","$176,507 ","$172,841 ","$3,233 ",$433 ,82.2,,"$38,250 ","$38,125 ",$125 ,17.8
New Hampshire,"$94,421 ","$69,077 ","$68,501 ",$159 ,$417 ,73.2,,"$25,344 ","$25,253 ",$91 ,26.8
New Jersey,"$1,249,016 ","$924,349 ","$909,417 ","$13,457 ","$1,475 ",74,,"$324,667 ","$319,383 ","$5,284 ",26

New Mexico,"$264,715 ","$201,894 ","$200,973 ",$98 ,$823 ,76.3,,"$62,821 ","$62,169 ",$652 ,23.7
New York,"$2,412,677 ","$2,081,780 ","$1,863,404 ","$189,373 ","$29,003 ",86.3,,"$330,897 ","$327,443 ","$3,454 ",13.7
North Carolina,"$935,022 ","$791,890 ","$770,447 ","$17,323 ","$4,120 ",84.7,,"$143,132 ","$141,403 ","$1,729 ",15.3
North Dakota,"$43,067 ","$31,736 ","$30,628 ",$435 ,$673 ,73.7,,"$11,331 ","$11,331 ", $-   ,26.3
Ohio,"$1,541,075 ","$1,253,693 ","$1,211,349 ","$40,021 ","$2,323 ",81.4,,"$287,382 ","$248,990 ","$38,392 ",18.6

Oklahoma,"$469,830 ","$208,798 ","$206,384 ","$1,645 ",$769 ,44.4,,"$261,032 ","$257,407 ","$3,625 ",55.6
Oregon,"$433,804 ","$346,921 ","$307,480 ","$38,792 ",$649 ,80,,"$86,883 ","$86,392 ",$491 ,20
Pennsylvania,"$1,306,491 ","$1,229,185 ","$1,223,168 ","$6,017 ", $-   ,94.1,,"$77,306 ","$77,190 ",$116 ,5.9
Rhode Island,"$159,095 ","$148,075 ","$145,874 ","$1,433 ",$768 ,93.1,,"$11,020 ","$11,000 ",$20 ,6.9
South Carolina,"$424,750 ","$376,046 ","$365,569 ","$9,682 ",$795 ,88.5,,"$48,704 ","$48,587 ",$117 ,11.5

South Dakota,"$71,069 ","$36,877 ","$36,251 ",$390 ,$236 ,51.9,,"$34,192 ","$33,903 ",$289 ,48.1
Tennessee,"$412,165 ","$337,110 ","$330,529 ","$5,910 ",$671 ,81.8,,"$75,055 ","$73,902 ","$1,153 ",18.2
Texas,"$3,079,459 ","$2,778,036 ","$2,696,103 ","$29,020 ","$52,913 ",90.2,,"$301,423 ","$298,449 ","$2,974 ",9.8
Utah,"$261,283 ","$209,978 ","$209,135 ",$65 ,$778 ,80.4,,"$51,305 ","$51,071 ",$234 ,19.6
Vermont,"$81,372 ","$79,878 ","$79,411 ",$6 ,$461 ,98.2,,"$1,494 ","$1,480 ",$14 ,1.8

Virginia,"$933,315 ","$661,496 ","$642,389 ","$2,021 ","$17,086 ",70.9,,"$271,819 ","$255,779 ","$16,040 ",29.1
Washington,"$786,276 ","$551,907 ","$502,113 ","$41,532 ","$8,262 ",70.2,,"$234,369 ","$231,571 ","$2,798 ",29.8
West Virginia,"$182,064 ","$168,258 ","$166,283 ",$468 ,"$1,507 ",92.4,,"$13,806 ","$13,778 ",$28 ,7.6
Wisconsin,"$811,917 ","$631,393 ","$594,174 ","$30,218 ","$7,001 ",77.8,,"$180,524 ","$174,659 ","$5,865 ",22.2
Wyoming,"$89,233 ","$68,753 ","$67,685 ",$580 ,$488 ,77,,"$20,480 ","$20,374 ",$106 ,23
