Bureau of Justice Statistics,,,,,,,,
filename:  cjee0318.csv,,,,,,,,
table #:  18 Supplemental data for State governments,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2003, NCJ 212350",,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,
authors:  Kristen A. Hughes and Steven W. Perry,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,
date of version:  1/12/2005,,,,,,,,

Table 18. Supplemental data for State governments,,,,,,,,

,,"Personal income, calendar year 2003/a",,"Expenditures, fiscal 2003 (thousands of dollars)",,,"Full-time equivalent employment, March 2003",
,,,,All functions,,,,
State,"Estimated population as of july 1, 2002 (thousands)",Amount (millions of dollars),Per capita,Total (direct and intergovernemental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c

Total,"290,231","$9,124,679 ","$31,439 ","$1,359,048,379 ","$976,851,809 ","1,163,968,202","4,190,667","4,146,378"

Alabama,"4,504","$119,373 ","$26,505 ","$18,471,110 ","$14,397,105 ","17,009,944","85,518","84,870"
Alaska,648,"$21,531 ","$33,213 ","$8,121,540 ","$7,030,149 ","7,111,497","24,837","24,837"
Arizona,"5,579","$151,933 ","$27,232 ","$19,606,017 ","$12,669,264 ","17,503,052","65,372","65,362"
Arkansas,"2,728","$66,515 ","$24,384 ","$12,084,818 ","$8,874,236 ","11,081,356","54,087","54,087"
California,"35,463","$1,184,997 ","$33,415 ","$204,438,461 ","$119,969,614 ","173,158,060","389,345","389,345"

Colorado,"4,548","$157,171 ","$34,561 ","$17,690,925 ","$13,024,575 ","14,792,539","67,406","67,406"
Connecticut,"3,487","$149,843 ","$42,972 ","$20,721,194 ","$17,690,709 ","17,885,021","59,967","59,967"
Delaware,818,"$27,981 ","$34,200 ","$4,857,901 ","$3,954,425 ","4,376,306","24,455","23,843"
Florida,"16,999","$511,641 ","$30,098 ","$56,317,331 ","$41,856,609 ","50,217,755","186,861","186,281"
Georgia,"8,676","$251,621 ","$29,000 ","$32,526,824 ","$23,510,366 ","29,291,099","121,255","121,255"

Hawaii,"1,249","$38,013 ","$30,441 ","$7,611,286 ","$7,485,852 ","6,851,905","57,458","57,458"
Idaho,"1,367","$35,409 ","$25,902 ","$5,415,138 ","$3,966,062 ","4,759,455","23,320","23,156"
Illinois,"12,649","$416,978 ","$32,965 ","$51,291,090 ","$37,921,428 ","43,954,103","133,916","133,916"
