Bureau of Justice Statistics,,,,,,
filename:  cjee0319.csv,,,,,,
table #:  19 Supplemental data for 68 large county governments,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2003, NCJ 212350",,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,
authors:  Kristen A. Hughes and Steven W. Perry,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,
date of version:  1/12/2005,,,,,,

Table 19. Supplemental data for 68 large county governments,,,,,,

,,"Expenditures, fiscal 2003 (thousands of dollars)",,,"Full-time equivalent employment, March 2003",
,,All functions,,,,
County,Population 2002/a,Total (direct and intergovernmental),Direct expenditure only ,Total general expenditure/b,All functions,General functions only/c

"Alameda, CA","1,472,310","$2,603,703 ","$2,503,488 ","$2,441,710 ","12,024","12,024"
"Allegheny, PA","1,269,904","$1,348,085 ","$1,260,023 ","$1,298,261 ","7,099","7,099"
"Baltimore, MD","770,298","$2,220,228 ","$2,066,399 ","$2,105,310 ","22,671","22,671"
"Bergen, NJ","895,091","$713,360 ","$682,784 ","$713,360 ","4,602","4,602"
"Bexar, TX","1,446,333","$979,740 ","$903,894 ","$979,740 ","9,312","9,312"
"Broward, FL","1,709,118","$1,865,284 ","$1,810,438 ","$1,685,081 ","12,501","11,550"
"Clark, NV","1,522,164","$3,072,690 ","$3,056,240 ","$2,478,171 ","16,432","15,114"

"Contra Costa, CA","992,358","$1,980,098 ","$1,930,158 ","$1,838,695 ","9,070","9,070"
"Cook, IL","5,377,507","$3,060,867 ","$3,051,385 ","$2,730,147 ","27,251","27,251"
"Cuyahoga, OH","1,379,049","$1,743,110 ","$1,725,974 ","$1,743,110 ","14,883","14,883"
"Dade, FL","2,332,599","$5,841,074 ","$5,817,387 ","$5,270,060 ","41,189","37,134"
"Dallas, TX","2,283,953","$1,381,414 ","$1,381,414 ","$1,372,105 ","13,660","13,660"
"Dekalb, GA","676,996","$806,695 ","$763,272 ","$656,700 ","6,610","6,243"
"Delaware, PA","553,435","$489,500 ","$482,535 ","$478,037 ","3,681","3,681"

"Du Page, IL","924,589","$509,818 ","$505,638 ","$508,388 ","3,414","3,397"
"Erie, NY","945,049","$1,609,962 ","$1,236,559 ","$1,538,590 ","9,863","9,608"
"Essex, NJ","798,301","$618,474 ","$565,394 ","$618,474 ","5,063","5,063"
"Fairfax, VA","997,580","$3,860,037 ","$3,796,387 ","$3,415,140 ","37,380","36,998"
"Franklin, OH","1,086,814","$1,077,106 ","$1,049,241 ","$1,075,921 ","6,547","6,547"
"Fresno, CA","834,632","$1,252,523 ","$1,243,866 ","$1,158,013 ","8,603","8,603"
"Fulton, GA","825,431","$1,076,883 ","$871,649 ","$947,916 ","7,126","7,082"

"Hamilton, OH","833,721","$1,205,491 ","$1,034,189 ","$1,205,491 ","5,967","5,967"
"Harris, TX","3,557,055","$2,842,972 ","$2,842,972 ","$2,842,972 ","22,205","22,168"
"Hennepin, MN","1,122,259","$1,699,997 ","$1,695,389 ","$1,649,868 ","10,982","10,982"
"Hillsborough, FL","1,053,864","$1,399,733 ","$1,372,902 ","$1,254,841 ","11,929","11,617"
"Hudson, NJ","611,439","$445,989 ","$407,669 ","$445,989 ","3,745","3,745"
"Jackson, MO","660,773","$223,979 ","$220,231 ","$221,064 ","2,031","2,031"
"Jefferson, AL","661,153","$885,068 ","$885,068 ","$867,163 ","4,831","4,831"

"Jefferson, KY /d","698,080", $-   , $-   , $-   ,0,0
"King, WA","1,759,604","$2,200,752 ","$2,126,078 ","$1,770,082 ","13,838","9,466"
"Lake, IN","487,016","$368,092 ","$368,092 ","$368,092 ","2,082","2,082"
"Los Angeles, CA","9,806,577","$16,068,538 ","$15,476,987 ","$14,670,091 ","97,083","96,983"
