Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0405.csv,,,,,,,,,,,,,,,,,,,,,,
"table #:  5 Justice system employment and percent distribution of full-time equivalent employment,  by State and type of government, March 2004",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2004, NCJ 215648",,,,,,,,,,,,,,,,,,,,,,
data source:  U.S. Bureau of the Census' Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
date of version:  11/15/2006,,,,,,,,,,,,,,,,,,,,,,

"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by State and type of government, March 2004",,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,
,,,Full-time equivalent employment,,,,,,Full-time equivalent employment,,,,,Full-time equivalent employment,,,,,Full-time equivalent employment,,,
,,Number of employees,,,,,Number of employees,,,,,Number of employees,,,,,Number of employees,,,,,
State and type of government,Total full-time equivalent employment/a,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,State and type of government

"States-local, total","15,789,257","2,110,771","1,931,750","2,004,369",12.7,%,"959,967","853,246","892,436",44.5,%,"436,790","390,972","410,077",20.5,%,"714,014","687,532","701,856",35,%,"States-local, total"
State,"4,187,458","737,442","713,601","726,715",17.4,,"104,687","101,974","102,945",14.2,,"168,064","158,225","163,449",22.5,,"464,691","453,402","460,321",63.3,,State
"Local, total","11,601,799","1,373,329","1,218,149","1,277,654",11,,"855,280","751,272","789,491",61.8,,"268,726","232,747","246,628",19.3,,"249,323","234,130","241,535",18.9,,"Local, total"
Counties,"2,479,677","659,894","606,476","630,434",25.4,,"244,923","224,410","232,585",36.9,,"200,930","182,270","191,114",30.3,,"214,041","199,796","206,735",32.8,,Counties
Municipalities,"2,917,221","713,435","611,673","647,220",22.2,,"610,357","526,862","556,906",86,,"67,796","50,477","55,514",8.6,,"35,282","34,334","34,800",5.4,,Municipalities

Alabama,"270,582","26,647","24,295","25,200",9.3,,"13,503","12,177","12,706",50.4,,"5,162","4,412","4,627",18.4,,"7,982","7,706","7,867",31.2,,Alabama
State,"85,597","9,018","8,908","8,927",10.4,,"1,231","1,231","1,231",13.8,,"3,069","2,964","2,981",33.4,,"4,718","4,713","4,715",52.8,,State
"Local, total","184,985","17,629","15,387","16,273",8.8,,"12,272","10,946","11,475",70.5,,"2,093","1,448","1,646",10.1,,"3,264","2,993","3,152",19.4,,"Local, total"
Counties,"20,035","6,898","6,264","6,578",32.8,,"2,946","2,769","2,839",43.2,,"1,063",848,949,14.4,,"2,889","2,647","2,790",42.4,,Counties
Municipalities,"36,984","10,731","9,123","9,695",26.2,,"9,326","8,177","8,636",89.1,,"1,030",600,697,7.2,,375,346,362,3.7,,Municipalities

Alaska,"50,824","4,939","4,708","4,811",9.5,,"1,722","1,609","1,659",34.5,,"1,358","1,278","1,313",27.3,,"1,859","1,821","1,839",38.2,,Alaska
State,"24,640","3,565","3,406","3,465",14.1,,522,466,476,13.7,,"1,256","1,182","1,215",35.1,,"1,787","1,758","1,774",51.2,,State
"Local, total","26,184","1,374","1,302","1,346",5.1,,"1,200","1,143","1,183",87.9,,102,96,98,7.3,,72,63,65,4.8,,"Local, total"
Boroughs,"8,890",116,113,115,1.3,,79,79,79,68.7,,29,26,28,24.3,,8,8,8,7,,Boroughs
Municipalities,"16,742","1,258","1,189","1,231",7.4,,"1,121","1,064","1,104",89.7,,73,70,70,5.7,,64,55,57,4.6,,Municipalities

Arizona,"270,663","42,683","41,575","42,192",15.6,,"18,569","18,161","18,442",43.7,,"9,304","8,867","9,095",21.6,,"14,810","14,547","14,655",34.7,,Arizona
State,"65,970","13,274","13,123","13,209",20,,"2,014","2,013","2,014",15.2,,"1,339","1,243","1,300",9.8,,"9,921","9,867","9,895",74.9,,State
"Local, total","204,693","29,409","28,452","28,983",14.2,,"16,555","16,148","16,428",56.7,,"7,965","7,624","7,795",26.9,,"4,889","4,680","4,760",16.4,,"Local, total"
Counties,"32,084","15,199","14,666","14,903",46.4,,"4,404","4,335","4,353",29.2,,"5,924","5,668","5,807",39,,"4,871","4,663","4,743",31.8,,Counties
Municipalities,"47,222","14,210","13,786","14,080",29.8,,"12,151","11,813","12,075",85.8,,"2,041","1,956","1,988",14.1,,18,17,17,0.1,,Municipalities

Arkansas,"151,914","18,234","16,342","16,929",11.1,,"8,157","7,340","7,551",44.6,,"3,664","2,722","3,057",18.1,,"6,413","6,280","6,321",37.3,,Arkansas
State,"53,981","6,895","6,776","6,838",12.7,,"1,059","1,055","1,057",15.5,,"1,360","1,245","1,305",19.1,,"4,476","4,476","4,476",65.5,,State
"Local, total","97,933","11,339","9,566","10,091",10.3,,"7,098","6,285","6,494",64.4,,"2,304","1,477","1,752",17.4,,"1,937","1,804","1,845",18.3,,"Local, total"
Counties,"11,522","5,087","4,455","4,608",40,,"2,012","1,751","1,798",39,,"1,194",955,"1,020",22.1,,"1,881","1,749","1,790",38.8,,Counties
Municipalities,"18,340","6,252","5,111","5,483",29.9,,"5,086","4,534","4,696",85.6,,"1,110",522,732,13.4,,56,55,55,1,,Municipalities

California,"1,775,767","240,659","224,350","233,067",13.1,,"103,705","96,057","99,234",42.6,,"53,460","50,466","52,411",22.5,,"83,494","77,827","81,422",34.9,,California
State,"392,692","69,275","64,671","67,365",17.2,,"14,457","13,251","13,513",20.1,,"4,402","3,979","4,169",6.2,,"50,416","47,441","49,683",73.8,,State
"Local, total","1,383,075","171,384","159,679","165,702",12,,"89,248","82,806","85,721",51.7,,"49,058","46,487","48,242",29.1,,"33,078","30,386","31,739",19.2,,"Local, total"
Counties,"347,077","108,808","102,113","105,798",30.5,,"31,878","30,333","30,963",29.3,,"45,175","42,717","44,419",42,,"31,755","29,063","30,416",28.7,,Counties
Municipalities,"243,974","62,576","57,566","59,904",24.6,,"57,370","52,473","54,758",91.4,,"3,883","3,770","3,823",6.4,,"1,323","1,323","1,323",2.2,,Municipalities

Colorado,"248,757","30,260","28,092","29,050",11.7,,"13,668","13,111","13,373",46,,"6,585","5,158","5,755",19.8,,"10,007","9,823","9,922",34.2,,Colorado
State,"65,560","11,186","10,302","10,850",16.5,,"1,184","1,176","1,181",10.9,,"3,718","2,924","3,413",31.5,,"6,284","6,202","6,256",57.7,,State
"Local, total","183,197","19,074","17,790","18,200",9.9,,"12,484","11,935","12,192",67,,"2,867","2,234","2,342",12.9,,"3,723","3,621","3,666",20.1,,"Local, total"
Counties,"25,383","7,287","6,987","7,114",28,,"3,487","3,344","3,399",47.8,,"1,031",964,996,14,,"2,769","2,679","2,719",38.2,,Counties
Municipalities,"43,737","11,787","10,803","11,086",25.3,,"8,997","8,591","8,793",79.3,,"1,836","1,270","1,346",12.1,,954,942,947,8.5,,Municipalities

Connecticut,"181,600","24,454","22,166","22,901",12.6,,"12,162","10,335","10,910",47.6,,"4,759","4,443","4,519",19.7,,"7,533","7,388","7,472",32.6,,Connecticut
State,"58,631","14,093","13,614","13,786",23.5,,"2,011","1,962","1,990",14.4,,"4,549","4,264","4,324",31.4,,"7,533","7,388","7,472",54.2,,State
"Local, total","122,969","10,361","8,552","9,115",7.4,,"10,151","8,373","8,920",97.9,,210,179,195,2.1,,0,0,0,0,,"Local, total"
Municipalities,"112,783","10,361","8,552","9,115",8.1,,"10,151","8,373","8,920",97.9,,210,179,195,2.1,,0,0,0,0,,Municipalities

Delaware,"47,876","7,164","6,660","6,896",14.4,,"2,645","2,328","2,467",35.8,,"1,612","1,576","1,591",23.1,,"2,907","2,756","2,838",41.2,,Delaware
State,"24,251","5,338","5,157","5,253",21.7,,926,920,924,17.6,,"1,505","1,481","1,491",28.4,,"2,907","2,756","2,838",54,,State
"Local, total","23,625","1,826","1,503","1,643",7,,"1,719","1,408","1,543",93.9,,107,95,100,6.1,,0,0,0,0,,"Local, total"
