Bureau of Justice Statistics,,,,,,
filename:  cjee0419.csv,,,,,,
table #:  19 Supplemental data for 68 large county governments,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2004, NCJ 215648",,,,,,
data source:  U.S. Bureau of the Census' Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,
author:  Kristen Hughes,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,
date of version:  11/15/2006,,,,,,

Table 19. Supplemental data for 68 large county governments,,,,,,

,,"Expenditures, fiscal 2004 (thousands of dollars)",,,"Full-time equivalent employment, March 2004",
,,All functions,,,,
County,Population 2004/a,Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c

"Alameda, CA","1,452,096","$2,319,245 ","$2,284,334 ","$2,110,054 ","11,974","11,974"
"Allegheny, PA","1,247,512","$1,411,483 ","$1,323,145 ","$1,360,226 ","7,015","7,015"
"Baltimore, MD","781,171","$2,247,271 ","$2,083,258 ","$2,126,988 ","24,028","24,028"
"Bergen, NJ","901,745","$595,236 ","$563,953 ","$595,236 ",0,0
"Bexar, TX","1,492,361","$1,065,791 ","$1,041,721 ","$1,065,791 ",0,0
"Broward, FL","1,753,000","$1,980,554 ","$1,923,260 ","$1,793,169 ","12,837","11,738"
"Clark, NV","1,648,524","$3,558,050 ","$3,558,050 ","$3,005,470 ",0,0

"Contra Costa, CA","1,007,606","$2,056,115 ","$2,008,942 ","$1,891,130 ","8,793","8,793"
"Cook, IL","5,327,165","$2,929,976 ","$2,918,261 ","$2,639,889 ","26,354","26,354"
"Cuyahoga, OH","1,349,047","$1,960,751 ","$1,943,614 ","$1,960,751 ","15,134","15,134"
"Dade, FL","2,358,714","$6,304,577 ","$6,276,844 ","$5,749,439 ",0,0
"Dallas, TX","2,291,071","$1,473,867 ","$1,473,867 ","$1,462,807 ","14,062","14,062"
"Dekalb, GA","674,335","$938,141 ","$894,569 ","$733,305 ","6,872","6,469"
"Delaware, PA","554,426","$477,901 ","$470,297 ","$467,268 ",0,0

"Du Page, IL","928,126","$494,595 ","$490,404 ","$493,114 ","3,727","3,643"
"Erie, NY","935,946","$1,701,615 ","$1,349,187 ","$1,633,336 ","10,005","9,759"
