Bureau of Justice Statistics,,,,,,
filename:  cjee0420.csv,,,,,,
table #:  20 Supplemental data for 49 large city governments,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2004, NCJ 215648",,,,,,
data source:  U.S. Bureau of the Census' Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,
author:  Kristen Hughes,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,
date of version:  11/15/2006,,,,,,

Table 20.  Supplemental data for 49 large city governments,,,,,,

,,"Expenditures, fiscal year 2004 (thousands of dollars)",,,"Full-time equivalent employment, 3/1/2004",
,,All functions,,,,
City,"Population, 2004/a",Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functionsonly/c

"Albuquerque, NM","483,844","$788,563 ","$788,563 ","$697,118 ","6,198","5,421"
"Atlanta, GA","465,621","$1,773,548 ","$1,713,575 ","$1,323,612 ",0,0
"Austin, TX","680,748","$2,233,983 ","$2,233,983 ","$1,081,547 ",0,0
"Baltimore, MD","641,943","$2,966,363 ","$2,880,372 ","$2,623,777 ","27,269","26,419"
"Baton Rouge, LA","411,564","$785,435 ","$784,388 ","$717,851 ","6,365","6,185"
"Boston, MA","664,263","$2,985,564 ","$2,743,005 ","$2,560,954 ","20,875","20,642"

"Buffalo, NY","282,740","$1,185,936 ","$1,183,760 ","$1,161,575 ",0,0
"Charlotte, NC","598,206","$1,156,627 ","$1,156,627 ","$804,907 ","5,765","5,107"
"Chicago, IL","2,861,037","$7,063,564 ","$6,877,539 ","$5,648,166 ","40,080","38,462"
"Cincinnati, OH","313,860","$959,409 ","$917,024 ","$749,128 ","6,066","5,444"
"Cleveland, OH","458,080","$1,331,250 ","$1,325,640 ","$981,469 ","8,257","6,627"
"Columbus, OH","728,907","$1,063,661 ","$1,052,668 ","$922,098 ","8,141","7,488"

"Dallas, TX","1,208,829","$2,900,411 ","$2,888,795 ","$2,467,452 ","14,923","13,705"
"Denver, CO","555,991","$2,553,658 ","$2,496,514 ","$2,229,450 ","11,942","10,833"
"Detroit, MI","899,122","$6,147,411 ","$6,087,433 ","$5,041,127 ","34,425","30,812"
"El Paso, TX","591,748","$604,312 ","$604,312 ","$434,759 ","5,726","4,624"
"Fort Worth, TX","603,067","$880,530 ","$880,530 ","$624,550 ","5,638","5,141"
