Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0505.csv,,,,,,,,,,,,,,,,,,,,,,
"table #.  5 Justice system employment and percent distribution of full-time equivalent employment, by State and type of government, March 2005",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2005, NCJ 219370",,,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
date of version:  8/10/2007,,,,,,,,,,,,,,,,,,,,,,

"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by State and type of government, March 2005",,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
,,Number of employees,,,,,Number of employees,,,,,Number of employees,,,,,Number of employees,,,,,

State and type of government,Total full-time equivalent employment/a,Total,Full-time only,Full-time equivalent employment,Percent of total justice full-time equivalent employment/b,,Total,Full-time only,Full-time equivalent employment,Percent of total justice full-time equivalent employment/b,,Total,Full-time only,Full-time equivalent employment,Percent of total justice full-time equivalent employment/b,,Total,Full-time only,Full-time equivalent employment,Percent of total justice full-time equivalent employment/b,,State and type of government

"States-local, total","15,921,543","2,135,801","1,947,010","2,020,814",12.7,%,"973,563","861,441","902,367",44.7,%,"442,192","392,199","411,114",20.3,%,"720,046","693,370","707,333",35,%,"States-local, total"
State,"4,206,415","742,612","719,452","731,955",17.4,,"104,470","101,752","102,712",14,,"169,043","159,335","164,575",22.5,,"469,099","458,365","464,668",63.5,,State
"Local, total","11,715,128","1,393,189","1,227,558","1,288,859",11,,"869,093","759,689","799,655",62,,"273,149","232,864","246,539",19.1,,"250,947","235,005","242,665",18.8,,"Local, total"
Counties,"2,519,742","667,105","611,117","635,155",25.2,,"249,340","227,640","236,121",37.2,,"202,000","182,552","190,982",30.1,,"215,765","200,925","208,052",32.8,,Counties
Municipalities,"2,961,679","726,084","616,441","653,704",22.1,,"619,753","532,049","563,534",86.2,,"71,149","50,312","55,557",8.5,,"35,182","34,080","34,613",5.3,,Municipalities

Alabama,"273,634","27,518","25,161","26,030",9.5,,"14,096","12,784","13,295",51.1,,"5,357","4,686","4,853",18.6,,"8,065","7,691","7,882",30.3,,Alabama
State,"85,285","9,540","9,442","9,467",11.1,,"1,382","1,382","1,382",14.6,,"3,276","3,186","3,205",33.9,,"4,882","4,874","4,880",51.5,,State
"Local, total","188,349","17,978","15,719","16,563",8.8,,"12,714","11,402","11,913",71.9,,"2,081","1,500","1,648",9.9,,"3,183","2,817","3,002",18.1,,"Local, total"
Counties,"19,316","6,799","6,263","6,531",33.8,,"3,137","2,931","3,021",46.3,,996,897,939,14.4,,"2,666","2,435","2,571",39.4,,Counties
Municipalities,"37,396","11,179","9,456","10,032",26.8,,"9,577","8,471","8,892",88.6,,"1,085",603,709,7.1,,517,382,431,4.3,,Municipalities

Alaska,"51,708","4,992","4,720","4,833",9.3,,"1,775","1,627","1,686",34.9,,"1,408","1,329","1,360",28.1,,"1,809","1,764","1,787",37,,Alaska
State,"24,541","3,538","3,366","3,427",14,,499,436,446,13,,"1,305","1,232","1,262",36.8,,"1,734","1,698","1,719",50.2,,State
"Local, total","27,167","1,454","1,354","1,406",5.2,,"1,276","1,191","1,240",88.2,,103,97,98,7,,75,66,68,4.8,,"Local, total"
Boroughs,"9,283",114,101,110,1.2,,76,66,74,67.3,,29,26,27,24.5,,9,9,9,8.2,,Boroughs
Municipalities,"17,263","1,340","1,253","1,296",7.5,,"1,200","1,125","1,166",90,,74,71,71,5.5,,66,57,59,4.6,,Municipalities

Arizona,"281,743","46,235","45,057","45,627",16.2,,"19,907","19,521","19,731",43.2,,"10,859","10,324","10,571",23.2,,"15,469","15,212","15,325",33.6,,Arizona
State,"69,173","14,708","14,533","14,632",21.2,,"2,015","2,013","2,014",13.8,,"2,358","2,250","2,314",15.8,,"10,335","10,270","10,304",70.4,,State
"Local, total","212,570","31,527","30,524","30,995",14.6,,"17,892","17,508","17,717",57.2,,"8,501","8,074","8,257",26.6,,"5,134","4,942","5,021",16.2,,"Local, total"
Counties,"33,659","16,468","15,890","16,136",47.9,,"4,917","4,844","4,864",30.1,,"6,436","6,122","6,269",38.9,,"5,115","4,924","5,003",31,,Counties
Municipalities,"51,190","15,059","14,634","14,859",29,,"12,975","12,664","12,853",86.5,,"2,065","1,952","1,988",13.4,,19,18,18,0.1,,Municipalities

Arkansas,"160,090","18,770","17,135","17,675",11,,"8,686","7,893","8,091",45.8,,"3,670","2,979","3,273",18.5,,"6,414","6,263","6,311",35.7,,Arkansas
State,"54,160","7,052","6,938","7,002",12.9,,"1,087","1,087","1,087",15.5,,"1,502","1,388","1,452",20.7,,"4,463","4,463","4,463",63.7,,State
"Local, total","105,930","11,718","10,197","10,673",10.1,,"7,599","6,806","7,004",65.6,,"2,168","1,591","1,821",17.1,,"1,951","1,800","1,848",17.3,,"Local, total"
Counties,"11,896","5,173","4,608","4,765",40.1,,"2,104","1,904","1,957",41.1,,"1,180",965,"1,021",21.4,,"1,889","1,739","1,787",37.5,,Counties
Municipalities,"19,763","6,545","5,589","5,908",29.9,,"5,495","4,902","5,047",85.4,,988,626,800,13.5,,62,61,61,1,,Municipalities

