Bureau of Justice Statistics,,,,,,,,,,,,
filename:  cjee0506.csv,,,,,,,,,,,,
"table #.  6 Percent distribution of justice system payrolls, by State and type of government, March 2005",,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2005, NCJ 219370",,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,
date of version:  8/10/2007,,,,,,,,,,,,

"Table 6.   Percent distribution of justice system payrolls, by State and type of government, March 2005",,,,,,,,,,,,

(Payroll amounts in thousands of dollars),,,,,,,,,,,,

,,Total justice system,,,Police protection,,,Judicial and Legal,,,Corrections,

State and type of government,Total March payrolls/a,March payrolls,Percent of total March payrolls/b,,March payrolls,Percent of total March payrolls/b,,March payrolls,Percent of total March payrolls/b,,March payrolls,Percent of total March payrolls/b

"States-local, total","$58,123,072 ","$8,192,686 ",14.1,%,"$3,986,252 ",48.7,%,"$1,715,235 ",20.9,%,"$2,491,199 ",30.4,%
State,"$16,061,355 ","$2,808,011 ",17.5,,"$460,668 ",16.4,,"$735,490 ",26.2,,"$1,611,853 ",57.4,
"Local, total","$42,061,717 ","$5,384,674 ",12.8,,"$3,525,583 ",65.5,,"$979,745 ",18.2,,"$879,346 ",16.3,
Counties,"$8,948,567 ","$2,433,694 ",27.2,,"$950,234 ",39,,"$752,741 ",30.9,,"$730,720 ",30,
Municipalities,"$11,967,487 ","$2,950,980 ",24.7,,"$2,575,350 ",87.3,,"$227,004 ",7.7,,"$148,627 ",5,

Alabama,"$801,426 ","$80,948 ",10.1,,"$40,986 ",50.6,,"$17,095 ",21.1,,"$22,867 ",28.2,
State,"$295,489 ","$32,615 ",11,,"$5,233 ",16,,"$12,356 ",37.9,,"$15,025 ",46.1,
"Local, total","$505,936 ","$48,333 ",9.6,,"$35,752 ",74,,"$4,738 ",9.8,,"$7,842 ",16.2,
Counties,"$53,707 ","$18,608 ",34.6,,"$9,139 ",49.1,,"$2,590 ",13.9,,"$6,879 ",37,
Municipalities,"$106,889 ","$29,725 ",27.8,,"$26,613 ",89.5,,"$2,149 ",7.2,,$963 ,3.2,

Alaska,"$209,367 ","$21,984 ",10.5,,"$8,382 ",38.1,,"$6,170 ",28.1,,"$7,433 ",33.8,
State,"$100,811 ","$14,946 ",14.8,,"$2,173 ",14.5,,"$5,612 ",37.5,,"$7,161 ",47.9,
"Local, total","$108,556 ","$7,038 ",6.5,,"$6,208 ",88.2,,$558 ,7.9,,$272 ,3.9,
Boroughs,"$35,429 ",$533 ,1.5,,$329 ,61.7,,$157 ,29.5,,$47 ,8.8
Municipalities,"$70,577 ","$6,506 ",9.2,,"$5,880 ",90.4,,$401 ,6.2,,$225 ,3.5

Arizona,"$984,120 ","$172,714 ",17.6,,"$88,261 ",51.1,,"$39,686 ",23,,"$44,766 ",25.9
State,"$233,480 ","$46,598 ",20,,"$8,318 ",17.9,,"$9,117 ",19.6,,"$29,163 ",62.6
"Local, total","$750,640 ","$126,115 ",16.8,,"$79,943 ",63.4,,"$30,569 ",24.2,,"$15,603 ",12.4
