Bureau of Justice Statistics,,,,,,,,,,
filename:  cjee0507.csv,,,,,,,,,,
"table #.  7 Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment, by State and type of government, March 2005",,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2005, NCJ 219370",,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,
date of version:  8/10/2007,,,,,,,,,,

"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment, by State and type of government, March 2005",,,,,,,,,,

(Payroll amounts in thousands of dollars),,,,,,,,,,

,,Sworn,,,,,,Nonsworn,,
,,Number of employees,,Full-time equivalent employment,,,,Number of employees,,Full-time equivalent employment

State and type of government,Total police protection full-time equivalent employment,Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls,Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls

"States-local, total","902,367","698,544","655,965","671,713",74.4,%,"$3,207,232 ","275,019","205,476","230,654",25.6,%,"$779,020 "
State,"102,712","63,460","62,716","62,824",61.2,,"$312,808 ","41,010","39,036","39,888",38.8,,"$147,860 "
"Local, total","799,655","635,084","593,249","608,889",76.1,,"$2,894,423 ","234,009","166,440","190,766",23.9,,"$631,160 "
Counties,"236,121","168,299","161,737","164,116",69.5,,"$712,453 ","81,041","65,903","72,005",30.5,,"$237,781 "
Municipalities,"563,534","466,785","431,512","444,773",78.9,,"$2,181,971 ","152,968","100,537","118,761",21.1,,"$393,379 "

Alabama,"13,295","10,207","9,588","9,838",74,,"$32,752 ","3,889","3,196","3,457",26,,"$8,233 "
State,"1,382",754,754,754,54.6,,"$3,482 ",628,628,628,45.4,,"$1,751 "
"Local, total","11,913","9,453","8,834","9,084",76.3,,"$29,270 ","3,261","2,568","2,829",23.7,,"$6,482 "
Counties,"3,021","2,242","2,175","2,211",73.2,,"$7,385 ",895,756,810,26.8,,"$1,754 "
Municipalities,"8,892","7,211","6,659","6,873",77.3,,"$21,886 ","2,366","1,812","2,019",22.7,,"$4,727 "

Alaska,"1,686","1,118","1,097","1,131",67.1,,"$6,259 ",657,530,555,32.9,,"$2,122 "
State,446,280,280,280,62.8,,"$1,631 ",219,156,166,37.2,,$542 
"Local, total","1,240",838,817,851,68.6,,"$4,628 ",438,374,389,31.4,,"$1,580 "
Boroughs,74,38,38,38,51.4,,$201 ,38,28,36,48.6,,$127 
Municipalities,"1,166",800,779,813,69.7,,"$4,427 ",400,346,353,30.3,,"$1,453 "

Arizona,"19,731","14,716","14,582","14,646",74.2,,"$68,893 ","5,191","4,939","5,085",25.8,,"$19,368 "
State,"2,014","1,122","1,122","1,122",55.7,,"$4,791 ",893,891,892,44.3,,"$3,527 "
