Bureau of Justice Statistics,,,,,,,,,,
filename:  cjee0514.csv,,,,,,,,,,
"table #.  14 Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 68 large county governments, March 2005",,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2005, NCJ 219370",,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,
refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
date of version:  8/10/2007,,,,,,,,,,

"Table 14.  Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 68 large county governments, March 2005",,,,,,,,,,

(Payroll amounts in thousands of dollars),,,,,,,,,,

,Sworn,,,,,,,Nonsworn,,
,Number of employees,,Full-time equivalent employment,,,,,Number of employees,,Full-time equivalent employment

County,Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls,Average earnings of full-time employees (dollars),Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls

"Alameda, CA",375,375,375,41,%,"$3,547 ","$9,459 ",541,540,540,59,%,"$2,345 "
"Allegheny, PA",335,335,335,60.4,,"$1,643 ","$4,904 ",220,220,220,39.6,,$681 
"Baltimore, MD","1,800","1,800","1,800",78.8,,"$8,652 ","$4,806 ",665,388,484,21.2,,"$1,359 "
"Bergen, NJ",126,126,126,64,,"$1,003 ","$7,964 ",76,69,71,36,,$290 
"Bexar, TX",426,424,424,63.9,,"$1,597 ","$3,766 ",242,240,240,36.1,,$627 
"Broward, FL","1,587","1,587","1,587",48.3,,"$8,330 ","$5,249 ","1,759","1,650","1,701",51.7,,"$5,573 "
"Clark, NV",--,--,--,--,--,--,--,--,--,--,--,--,--

"Contra Costa, CA",504,503,504,71.8,,"$3,687 ","$7,325 ",198,198,198,28.2,,$858 
"Cook, IL",568,540,546,66.6,,"$2,623 ","$4,836 ",274,274,274,33.4,,"$1,244 "
"Cuyahoga, OH",163,163,163,32.1,,$692 ,"$4,245 ",345,345,345,67.9,,"$1,084 "
"Dade, FL",--,--,--,--,--,--,--,--,--,--,--,--,--
"Dallas, TX",330,330,330,40,,"$1,540 ","$4,668 ",494,494,494,60,,"$2,066 "
"Dekalb, GA","1,066","1,066","1,066",75.1,,"$4,543 ","$4,262 ",437,310,353,24.9,,"$1,150 "
"Delaware, PA",43,43,43,75.4,,$134 ,"$3,108 ",14,14,14,24.6,,$37 

"Du Page, IL",440,440,440,65.7,,"$2,269 ","$5,157 ",237,227,230,34.3,,"$1,336 "
"Erie, NY",--,--,--,--,--,--,--,--,--,--,--,--,--
"Essex, NJ",185,185,185,68,,"$1,150 ","$6,218 ",87,87,87,32,,$307 
"Fairfax, VA","1,338","1,336","1,337",75.2,,"$8,487 ","$6,349 ",495,418,440,24.8,,"$2,068 "
"Franklin, OH",362,362,362,69.2,,"$1,733 ","$4,787 ",161,161,161,30.8,,$543 
"Fresno, CA",541,541,541,67.8,,"$2,464 ","$4,554 ",276,225,257,32.2,,"$1,034 "
"Fulton, GA",--,--,--,--,--,--,--,--,--,--,--,--,--

"Hamilton, OH",239,239,239,57.2,,"$1,116 ","$4,668 ",186,176,179,42.8,,$732 
"Harris, TX",998,964,968,63.7,,"$4,000 ","$4,121 ",551,551,551,36.3,,"$1,612 "
"Hennepin, MN",--,--,--,--,--,--,--,--,--,--,--,--,--
"Hillsborough, FL",--,--,--,--,--,--,--,--,--,--,--,--,--
"Hudson, NJ",214,214,214,76.2,,$811 ,"$3,791 ",67,67,67,23.8,,$169 
"Jackson, MO",85,85,85,70.8,,$325 ,"$3,826 ",35,35,35,29.2,,$78 
"Jefferson, AL",399,393,397,97.1,,"$1,938 ","$4,908 ",13,12,12,2.9,,$73 

"King, WA",679,679,679,65.4,,"$4,698 ","$6,919 ",361,354,360,34.6,,"$1,678 "
"Lake, IN",--,--,--,--,--,--,--,--,--,--,--,--,--
"Los Angeles, CA","6,155","5,868","5,900",72.5,,"$35,650 ","$6,055 ","2,342","2,226","2,237",27.5,,"$13,888 "
"Macomb, MI",201,201,201,90.5,,"$1,129 ","$5,615 ",21,21,21,9.5,,$88 
"Maricopa, AZ","2,854","2,813","2,817",97.5,,"$10,344 ","$3,668 ",78,68,73,2.5,,$309 
"Middlesex, NJ",149,143,144,91.1,,$731 ,"$5,096 ",14,14,14,8.9,,$65 
"Milwaukee, WI",--,--,--,--,--,--,--,--,--,--,--,--,--

"Monmouth, NJ",110,110,110,47.4,,$643 ,"$5,844 ",142,115,122,52.6,,$478 
"Monroe, NY",258,223,242,38.4,,"$1,203 ","$5,238 ",427,349,389,61.6,,"$1,565 "
"Montgomery, MD","1,090","1,079","1,087",64.5,,"$6,641 ","$6,124 ",702,506,597,35.5,,"$2,821 "
"Montgomery, OH",422,371,394,84.4,,"$1,616 ","$3,941 ",77,70,73,15.6,,$338 
"Montgomery, PA",--,--,--,--,--,--,--,--,--,--,--,--,--
"Multnomah, OR",103,103,103,34.3,,$483 ,"$4,693 ",200,193,197,65.7,,$656 
"Nassau, NY","2,643","2,640","2,641",75.8,,"$18,649 ","$7,061 ","1,087",608,845,24.2,,"$3,128 "

"Norfolk, MA",--,--,--,--,--,--,--,--,--,--,--,--,--
"Oakland, MI",351,337,342,69.8,,"$1,761 ","$5,124 ",160,137,148,30.2,,$604 
"Oklahoma, OK",209,156,175,40.8,,$420 ,"$2,473 ",255,251,254,59.2,,$641 
"Orange, CA",--,--,--,--,--,--,--,--,--,--,--,--,--
"Orange, FL","1,280","1,280","1,280",61.8,,"$5,374 ","$4,199 ","1,004",648,791,38.2,,"$2,504 "
"Palm Beach, FL","1,245","1,245","1,245",58.1,,"$6,831 ","$5,487 ","1,283",701,899,41.9,,"$3,018 "
"Pima, AZ",511,509,510,75.6,,"$2,225 ","$4,364 ",168,160,165,24.4,,$565 

"Pinellas, FL",757,757,757,43.1,,"$3,826 ","$5,054 ","1,163",952,999,56.9,,"$3,517 "
"Prince Georges, MD","1,244","1,244","1,244",60,,"$7,602 ","$6,111 ",876,728,830,40,,"$4,021 "
"Riverside, CA","1,550","1,532","1,541",83.1,,"$10,373 ","$6,744 ",314,314,314,16.9,,"$1,558 "
"Sacramento, CA",688,680,685,55.9,,"$4,991 ","$7,308 ",540,540,540,44.1,,"$3,442 "
"St. Louis, MO",747,746,746,79.2,,"$3,206 ","$4,296 ",199,189,196,20.8,,$766 
"Salt Lake, UT",269,269,269,55.7,,"$1,076 ","$4,000 ",310,135,214,44.3,,$561 
"San Bernadino, CA","1,185","1,163","1,171",57.6,,"$7,981 ","$6,838 ",881,847,861,42.4,,"$3,672 "

"San Diego, CA","1,777","1,768","1,772",55.8,,"$9,113 ","$5,136 ","1,420","1,382","1,401",44.2,,"$5,086 "
"San Mateo, CA",306,292,305,63.8,,"$2,546 ","$8,566 ",176,144,173,36.2,,$798 
"Santa Clara, CA",445,445,445,65.1,,"$3,445 ","$7,741 ",260,222,239,34.9,,"$1,133 "
"Shelby, TN",388,388,388,61.3,,"$1,943 ","$5,008 ",296,238,245,38.7,,$937 
"Suffolk, NY","2,847","2,839","2,843",77.2,,"$21,742 ","$7,652 ","1,056",673,841,22.8,,"$3,153 "
"Summit, OH",--,--,--,--,--,--,--,--,--,--,--,--,--

"Tarrant, TX",310,301,306,52.8,,"$1,455 ","$4,795 ",273,273,273,47.2,,"$1,108 "
"Travis, TX",547,547,547,97.5,,"$2,226 ","$4,069 ",15,12,14,2.5,,$38 
"Union, NJ",--,--,--,--,--,--,--,--,--,--,--,--,--
"Ventura, CA",515,501,509,70.9,,"$3,872 ","$7,691 ",216,201,209,29.1,,"$1,186 "
"Wayne, MI",386,386,386,73.5,,"$1,752 ","$4,539 ",139,139,139,26.5,,$558 
"Westchester, NY",--,--,--,--,--,--,--,--,--,--,--,--,--

Notes: Payroll data shown here may not sum to equal police protection March payroll data in table 13 due to rounding.
Jurisdictions without data did not report for 2005
