Bureau of Justice Statistics,,,,,,,,,,
filename:  cjee0517.csv,,,,,,,,,,
"table #. 17 Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 49 large city governments, March 2005",,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2005, NCJ 219370",,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,
refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
date of version:  8/10/2007,,,,,,,,,,

"Table 17. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 49 large city governments, March 2005",,,,,,,,,,

(Payroll amounts in thousands of dollars.),,,,,,,,,,

,Sworn,,,,,,,Nonsworn,,
,Number of employees,,Full-time equivalent employment,,,,,Number of employees,,Full-time equivalent employment

City,Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls,Average earnings of full-time employees (dollars),Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls

"Albuquerque, NM","1,042","1,041","1,041",72,%,"$4,351 ","$4,179 ",504,332,405,28,%,"$1,130 "
"Atlanta, GA",--,--,--,--,,--,--,--,--,--,--,,--
"Austin, TX","1,339","1,339","1,339",68.5,,"$8,706 ","$6,502 ",780,582,615,31.5,,"$1,990 "
"Baltimore, MD","3,171","3,171","3,171",81,,"$15,749 ","$4,967 ",915,516,744,19,,"$2,873 "
"Baton Rouge, LA",852,852,852,69.3,,"$2,724 ","$3,198 ",460,316,377,30.7,,"$1,051 "
"Boston, MA","2,020","2,020","2,020",74.3,,"$11,179 ","$5,534 ",816,612,699,25.7,,"$2,598 "

"Buffalo, NY",--,--,--,--,,--,--,--,--,--,--,,--
"Charlotte, NC","1,502","1,489","1,501",80.9,,"$6,868 ","$4,597 ",400,342,355,19.1,,"$1,244 "
"Chicago, IL","15,893","15,893","15,893",86.2,,"$54,810 ","$3,449 ","3,001","1,943","2,539",13.8,,"$8,437 "
"Cincinnati, OH",--,--,--,--,,--,--,--,--,--,--,,--
"Cleveland, OH","1,570","1,570","1,570",83,,"$7,284 ","$4,640 ",321,321,321,17,,$754 
"Columbus, OH","1,820","1,820","1,820",83.9,,"$9,545 ","$5,244 ",357,342,350,16.1,,"$1,321 "

"Dallas, TX","2,929","2,929","2,929",80,,"$16,575 ","$5,659 ",925,529,733,20,,"$1,942 "
"Denver, CO",--,--,--,--,,--,--,--,--,--,--,,--
"Detroit, MI","3,759","3,759","3,759",86.6,,"$21,543 ","$5,731 ",581,581,581,13.4,,"$1,774 "
"El Paso, TX","1,079","1,079","1,079",74.5,,"$4,191 ","$3,884 ",373,369,370,25.5,,$873 
"Fort Worth, TX","1,361","1,361","1,361",76.5,,"$6,852 ","$5,035 ",569,339,417,23.5,,"$1,204 "
"Honolulu, HI","1,971","1,971","1,971",78.5,,"$9,619 ","$4,880 ",619,519,539,21.5,,"$1,931 "

"Houston, TX","4,943","4,943","4,943",82.1,,"$22,830 ","$4,619 ","1,080","1,075","1,077",17.9,,"$2,867 "
"Indianapolis, IN",--,--,--,--,,--,--,--,--,--,--,,--
"Jacksonville, FL",--,--,--,--,,--,--,--,--,--,--,,--
"Kansas City, MO",--,--,--,--,,--,--,--,--,--,--,,--
"Long Beach, CA",991,986,988,69.7,,"$6,590 ","$6,672 ",477,332,430,30.3,,"$1,626 "
"Los Angeles, CA","9,053","9,053","9,053",75.6,,"$70,114 ","$7,745 ","2,945","2,913","2,919",24.4,,"$14,946 "

"Memphis, TN",--,--,--,--,,--,--,--,--,--,--,,--
"Miami, FL","1,021","1,021","1,021",73.2,,"$5,841 ","$5,721 ",397,347,373,26.8,,"$1,343 "
"Milwaukee, WI","1,995","1,995","1,995",76.3,,"$9,155 ","$4,589 ",709,499,621,23.7,,"$1,968 "
"Minneapolis, MN",771,771,771,75,,"$4,409 ","$5,719 ",257,257,257,25,,$968 
"Nashville, TN","1,238","1,237","1,238",76.9,,"$5,010 ","$4,048 ",492,300,372,23.1,,$990 
"Newark, NJ",--,--,--,--,,--,--,--,--,--,--,,--

"New Orleans, LA",--,--,--,--,,--,--,--,--,--,--,,--
"New York, NY","48,783","42,443","45,711",92.8,,"$260,510 ","$5,774 ","3,763","3,271","3,532",7.2,,"$20,091 "
"Oakland, CA",--,--,--,--,,--,--,--,--,--,--,,--
"Oklahoma City, OK",961,961,961,75,,"$5,013 ","$5,217 ",423,297,321,25,,"$1,308 "
"Omaha, NE",750,750,750,78.9,,"$3,811 ","$5,081 ",224,169,201,21.1,,$632 
"Philadelphia, PA","6,708","6,708","6,708",85.8,,"$34,035 ","$5,074 ","1,824",855,"1,110",14.2,,"$3,885 "

"Phoenix, AZ","3,039","3,037","3,038",77,,"$17,691 ","$5,822 ",938,852,906,23,,"$4,156 "
"Pittsburgh, PA",846,846,846,80.2,,"$3,894 ","$4,603 ",257,57,209,19.8,,$455 
"Portland, OR",983,970,977,72.6,,"$5,926 ","$6,079 ",373,363,368,27.4,,"$1,523 "
"St.Louis, MO",--,--,--,--,,--,--,--,--,--,--,,--
"San Antonio, TX",--,--,--,--,,--,--,--,--,--,--,,--
"San Diego, CA","2,043","2,043","2,043",76.2,,"$13,563 ","$6,639 ",729,596,638,23.8,,"$3,324 "

"San Francisco, CA",--,--,--,--,,--,--,--,--,--,--,,--
"San Jose, CA",--,--,--,--,,--,--,--,--,--,--,,--
"Seattle, WA","1,499","1,499","1,499",74.5,,"$8,607 ","$5,742 ",564,484,513,25.5,,"$2,189 "
"Toledo, OH",--,--,--,--,,--,--,--,--,--,--,,--
"Tucson, AZ",997,995,997,75.2,,"$5,289 ","$5,310 ",334,322,328,24.8,,"$1,367 "
"Tulsa, OK",--,--,--,--,,--,--,--,--,--,--,,--
"Washington, DC","3,860","3,753","3,807",88.9,,"$20,463 ","$5,422 ",536,428,477,11.1,,"$2,099 "

Note:  Payroll data shown here may not sum to equal police protection March payroll data in table 16 due to rounding.  Jurisdictions without data did not report for 2005.,,,,,,,,,,,,,
