Bureau of Justice Statistics,,,,,,,,
filename:  cjee0518.csv,,,,,,,,
table #.  18 Supplemental data for State governments,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2005, NCJ 219370",,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,
author:  Kristen Hughes,,,,,,,,
refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
date of version:  8/10/2007,,,,,,,,

Table 18. Supplemental data for State governments,,,,,,,,

,,"Personal income, calendar year 2005/a",,"Expenditures, fiscal 2005 (thousands of dollars), All functions ",,,"Full-time equivalent employment, March-05",
State,"Estimated population as of July 1, 2005 (thousands)",Amount (millions of dollars),Per capita,Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c

Total,"295,860","$10,221,364 ","$34,548 ","$1,470,456,615 ","$1,066,989,405 ","$1,275,615,110 ","$4,206,415 ","$1,176,525 "

Alabama,"4,558","$132,796 ","$29,136 ","$21,046,841 ","$16,552,496 ","$19,110,685 ","$85,285 ",--
Alaska,664,"$23,634 ","$35,612 ","$8,055,975 ","$6,910,816 ","$7,115,082 ","$24,541 ",--
Arizona,"5,939","$179,765 ","$30,267 ","$23,957,058 ","$15,887,597 ","$21,622,931 ","$69,173 ","$69,163 "
Arkansas,"2,779","$74,687 ","$26,874 ","$13,634,214 ","$9,764,814 ","$12,665,618 ","$54,160 ",--
California,"36,132","$1,338,181 ","$37,036 ","$209,771,313 ","$128,822,882 ","$176,668,037 ","$386,717 ",--
,,,,,,,,--
Colorado,"4,665","$177,025 ","$37,946 ","$18,769,570 ","$13,581,771 ","$15,683,419 ","$65,947 ",--
Connecticut,"3,510","$167,858 ","$47,819 ","$20,203,170 ","$16,690,131 ","$17,475,204 ","$59,791 ",--
Delaware,844,"$31,265 ","$37,065 ","$5,904,256 ","$4,958,306 ","$5,414,897 ","$24,547 ","$23,915 "
Florida,"17,790","$590,954 ","$33,219 ","$70,417,744 ","$53,089,226 ","$62,345,083 ","$185,872 ","$185,124 "
Georgia,"9,073","$282,347 ","$31,121 ","$33,806,582 ","$24,285,463 ","$30,459,661 ","$120,763 ",--
,,,,,,,,--
Hawaii,"1,275","$44,044 ","$34,539 ","$8,405,444 ","$8,258,243 ","$7,619,876 ","$54,249 ",--
Idaho,"1,429","$40,241 ","$28,158 ","$6,137,489 ","$4,617,835 ","$5,480,890 ","$22,877 ",--
Illinois,"12,763","$461,014 ","$36,120 ","$55,666,989 ","$41,454,190 ","$48,299,478 ","$132,936 ",--
Indiana,"6,272","$196,160 ","$31,276 ","$26,451,543 ","$18,458,254 ","$24,562,092 ","$92,847 ",--
Iowa,"2,966","$95,858 ","$32,315 ","$14,142,676 ","$10,500,341 ","$12,734,926 ","$52,881 ",--
,,,,,,,,--
Kansas,"2,745","$90,126 ","$32,837 ","$11,765,208 ","$8,483,991 ","$10,708,221 ","$44,274 ",--
Kentucky,"4,173","$118,998 ","$28,513 ","$20,091,176 ","$16,175,898 ","$17,675,294 ","$79,220 ",--
Louisiana,"4,524","$112,275 ","$24,820 ","$21,402,115 ","$16,813,367 ","$18,809,752 ","$90,843 ",--
Maine,"1,322","$41,300 ","$31,252 ","$7,484,638 ","$6,391,611 ","$6,882,857 ","$21,132 ",--
Maryland,"5,600","$233,874 ","$41,760 ","$26,803,282 ","$21,002,232 ","$23,626,132 ","$90,494 ","$88,232 "

Massachusetts,"6,399","$283,391 ","$44,289 ","$38,025,089 ","$31,549,569 ","$34,000,844 ","$88,521 ","$88,004 "
Michigan,"10,121","$335,164 ","$33,116 ","$51,408,421 ","$32,728,673 ","$45,665,210 ","$131,115 ",--
Minnesota,"5,133","$191,830 ","$37,373 ","$30,169,448 ","$20,060,635 ","$26,872,992 ","$74,683 ","$72,214 "
Mississippi,"2,921","$73,955 ","$25,318 ","$14,704,763 ","$10,698,977 ","$13,171,652 ","$56,534 ","$56,515 "
Missouri,"5,800","$185,026 ","$31,899 ","$23,147,448 ","$17,661,750 ","$20,676,629 ","$91,746 ",--
,,,,,,,,--
