Bureau of Justice Statistics,,,,,,
filename:  cjee0519.csv,,,,,,
table #.  19 Supplemental data for 68 large county governments,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2005, NCJ 219370",,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,
author:  Kristen Hughes,,,,,,
refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
date of version:  8/10/2007,,,,,,

Table 19. Supplemental data for 68 large county governments,,,,,,

,,"Expenditures, fiscal 2005 (thousands of dollars), All functions",,,"Full-time equivalent employment, March-05",
County,Population 2005/a,Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c

"Alameda, CA","1,448,905","$2,448,479 ","$2,444,992 ","$2,219,517 ","10,791","10,791"
"Allegheny, PA","1,235,841","$1,436,930 ","$1,347,891 ","$1,381,287 ","6,708",--
"Baltimore, MD","786,113","$2,500,162 ","$2,329,878 ","$2,366,392 ","22,771",--
"Bergen, NJ","902,561","$615,927 ","$583,250 ","$615,927 ","4,871","4,871"
"Bexar, TX","1,518,370","$1,066,317 ","$1,042,247 ","$1,066,317 ","9,589",--
"Broward, FL","1,777,638","$1,988,969 ","$1,950,833 ","$1,845,425 ","12,561","11,440"
"Clark, NV","1,710,551","$4,027,626 ","$3,983,189 ","$3,451,904 ",--,--

"Contra Costa, CA","1,017,787","$2,175,329 ","$2,121,803 ","$1,980,250 ","8,735","8,735"
"Cook, IL","5,303,683","$3,175,062 ","$3,164,089 ","$2,800,936 ","27,733",--
"Cuyahoga, OH","1,335,317","$2,003,660 ","$1,984,202 ","$2,003,660 ","15,118",--
"Dade, FL","2,376,014","$6,513,034 ","$6,488,928 ","$5,965,400 ",--,--
"Dallas, TX","2,305,454","$1,535,971 ","$1,535,971 ","$1,523,290 ","14,250",--
"Dekalb, GA","677,959","$827,288 ","$792,039 ","$657,733 ","6,924","6,567"
"Delaware, PA","555,648","$497,235 ","$489,284 ","$485,367 ","3,341",--

"Du Page, IL","929,113","$407,378 ","$402,397 ","$407,378 ","3,405","3,375"
"Erie, NY","930,703","$1,564,649 ","$1,162,283 ","$1,474,862 ",--,--
"Essex, NJ","791,057","$728,803 ","$678,593 ","$728,803 ","4,694",--
"Fairfax, VA","1,006,529","$4,398,764 ","$4,270,289 ","$3,957,179 ","38,059","37,685"
"Franklin, OH","1,090,771","$1,081,656 ","$1,050,584 ","$1,079,147 ","6,387",--
"Fresno, CA","877,584","$1,327,923 ","$1,309,993 ","$1,204,917 ","8,547","8,547"
