Bureau of Justice Statistics,,,,,,,,,
Filename:  cjee0602.csv,,,,,,,,,
"Table #:  2 Percent distribution of employment and payrolls for the justice system by level of government, March 2006",,,,,,,,,
"Series title:  Justice Expenditure and Employment Statistical Extracts 2006, NCJ 224394",,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,
Author:  Steven W. Perry,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,
Date of version:  08/29/2008,,,,,,,,,

"Table 2.   Percent distribution of employment and payrolls for the justice system by level of government, March 2006",,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,

,,,,,Percent distribution,,,,
Activity,All governments,Federal government,State governments,Local governments,Federal government,,State governments,,Local governments

Total justice system:,,,,,,,,,
Total employees,"2,427,452","255,812","752,799","1,418,841",10.5,%,31,%,58.4,%
Full time employees,-,-,"729,845","1,252,087",-,,36.8,,63.2,
Full-time eqivalent employment,-,-,"742,436","1,314,035",-,,36.1,,63.9,
March payrolls,"$10,186,230 ","$1,556,755 ","$2,958,349 ","$5,671,126 ",15.3,,29,,55.7,

Police protection:,,,,,,,,,,
Total employees,"1,154,193","161,013","106,377","886,803",14,,9.2,,76.8,
Full time employees,-,-,"103,446","774,564",-,,11.8,,88.2,
Full-time equivalent employment,-,-,"104,524","814,750",-,,11.4,,88.6,
March payrolls,"$5,080,922 ","$890,830 ","$482,249 ","$3,707,842 ",17.5,,9.5,,73,

Judicial and legal:,,,,,,,,,,
Total employees,"507,793","58,903","174,675","274,215",11.6,,34.4,,54,
Full time employees,-,-,"164,827","235,753",-,,41.1,,58.9,
Full-time equivalent employment,-,-,"170,416","249,733",-,,40.6,,59.4,
March payrolls,"$2,301,650 ","$485,997 ","$783,830 ","$1,031,823 ",21.1,,34.1,,44.8,

Corrections:,,,,,,,,,
Total employees,"765,466","35,896","471,747","257,823",4.7,,61.6,,33.7
Full time employees,-,-,"461,572","241,770",-,,65.6,,34.4
Full-time equivalent employment,-,-,"467,496","249,552",-,,65.2,,34.8
March payrolls,"$2,803,658 ","$179,927 ","$1,692,270 ","$931,460 ",6.4,,60.4,,33.2

Notes:  Local government data are estimates subject to sampling variability.,,,,,,,,,
The Federal Budget source provides only total employment for the Federal Government;,,,,,,,,,
that figure is included in the denominator used to compute the percent distribution of full time,,,,,,,,,
employees and full time equivalent employment for State and local governments.,,,,,,,,,
