Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename:  cjee0613.csv,,,,,,,,,,,,,,,,
"Table #:  13 Justice system employment and payrolls of 68 large county governments by activity, March 2006",,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Statistical Extracts 2006, NCJ 224394",,,,,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,
Author:  Steven W. Perry,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,
Date of version:  08/29/2008,,,,,,,,,,,,,,,,


"Table 13.  Justice system employment and payrolls of 68 large county governments by activity, March 2006",,,,,,,,,,,,,,,,

(Payroll amounts in thousands of dollars),,,,,,,,,,,,,,,,


,Total justice system,,,,,Police Protection,,,,,Judicial and Legal,,,,,Corrections
,Employment,,,,,Employment,,,,,Employment,,,,,Employment,,,,,
County,Total ,Full-tme employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total ,Full-tme employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total ,Full-tme employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total ,Full-tme employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),County

"Alameda, CA","2,737","2,648","2,715","$20,013 ","$7,452 ",938,938,938,"$6,579 ","$7,014 ",742,717,735,"$5,889 ","$8,113 ","1,057",993,"1,042","$7,546 ","$7,389 ","Alameda, CA"
"Allegheny, PA","3,382","3,325","3,347","$11,975 ","$3,588 ",797,786,789,"$3,115 ","$3,954 ","1,788","1,753","1,769","$5,745 ","$3,260 ",797,786,789,"$3,115 ","$3,954 ","Allegheny, PA"
"Baltimore, MD","3,440","3,084","3,205","$14,002 ","$4,454 ","2,622","2,307","2,398","$11,195 ","$4,777 ",384,356,375,"$1,458 ","$3,913 ",434,421,432,"$1,349 ","$3,143 ","Baltimore, MD"
"Bergen, NJ",982,972,975,"$6,601 ","$6,766 ",169,168,169,"$1,264 ","$7,510 ",513,504,506,"$3,459 ","$6,818 ",300,300,300,"$1,878 ","$6,261 ","Bergen, NJ"
"Bexar, TX","3,826","3,777","3,782","$11,766 ","$3,110 ",685,681,681,"$2,361 ","$3,464 ","1,121","1,076","1,081","$3,756 ","$3,473 ","2,020","2,020","2,020","$5,649 ","$2,797 ","Bexar, TX"
"Broward, FL","5,207","5,082","5,162","$21,720 ","$4,246 ","3,037","2,926","3,002","$12,951 ","$4,380 ","1,062","1,048","1,052","$2,749 ","$2,616 ","1,108","1,108","1,108","$6,020 ","$5,433 ","Broward, FL"
"Clark, NV","6,458","5,603","5,870","$34,645 ","$6,002 ","3,804","3,194","3,350","$20,877 ","$6,340 ","1,318","1,194","1,256","$6,947 ","$5,640 ","1,336","1,215","1,264","$6,820 ","$5,470 ","Clark, NV"

"Contra Costa, CA","1,747","1,744","1,745","$9,249 ","$5,301 ",722,721,722,"$4,892 ","$6,782 ",511,511,511,"$2,514 ","$4,920 ",514,512,512,"$1,842 ","$3,596 ","Contra Costa, CA"
"Cook, IL","14,798","14,765","14,772","$62,075 ","$4,203 ",789,756,763,"$3,741 ","$4,931 ","8,235","8,235","8,235","$33,253 ","$4,038 ","5,774","5,774","5,774","$25,081 ","$4,344 ","Cook, IL"
"Cuyahoga, OH","3,439","3,439","3,439","$11,544 ","$3,357 ",514,514,514,"$1,851 ","$3,601 ","1,900","1,900","1,900","$6,314 ","$3,323 ","1,025","1,025","1,025","$3,379 ","$3,296 ","Cuyahoga, OH"
"Dade, FL","10,182","9,633","9,937","$49,465 ","$5,058 ","4,823","4,352","4,594","$26,649 ","$5,988 ","2,380","2,319","2,367","$10,579 ","$4,511 ","2,979","2,962","2,976","$12,237 ","$4,120 ","Dade, FL"
"Dallas, TX","4,447","4,169","4,243","$18,549 ","$4,381 ",846,846,846,"$3,921 ","$4,634 ","1,308","1,175","1,235","$5,722 ","$4,660 ","2,293","2,148","2,162","$8,906 ","$4,129 ","Dallas, TX"
"Dekalb, GA","3,107","2,944","3,004","$12,736 ","$4,265 ","1,568","1,438","1,483","$6,081 ","$4,179 ",911,878,893,"$3,866 ","$4,280 ",628,628,628,"$2,789 ","$4,441 ","Dekalb, GA"
"Delaware, PA",808,755,791,"$2,333 ","$3,043 ",45,45,45,$143 ,"$3,185 ",755,702,738,"$2,151 ","$3,014 ",8,8,8,$39 ,"$4,832 ","Delaware, PA"

"Du Page, IL","1,380","1,346","1,362","$6,934 ","$5,102 ",665,655,657,"$3,763 ","$5,722 ",455,445,452,"$1,932 ","$4,291 ",260,246,253,"$1,238 ","$4,918 ","Du Page, IL"
"Erie, NY","1,624","1,565","1,584","$6,755 ","$4,276 ",347,326,332,"$1,386 ","$4,184 ",352,347,348,"$1,735 ","$4,993 ",925,892,904,"$3,634 ","$4,031 ","Erie, NY"
"Essex, NJ","1,538","1,527","1,534","$8,389 ","$5,471 ",266,265,265,"$1,455 ","$5,487 ",452,442,449,"$2,638 ","$5,890 ",820,820,820,"$4,296 ","$5,239 ","Essex, NJ"
"Fairfax, VA","3,134","2,960","3,025","$18,060 ","$5,986 ","1,874","1,788","1,814","$11,641 ","$6,431 ",546,498,523,"$2,624 ","$5,020 ",714,674,688,"$3,795 ","$5,521 ","Fairfax, VA"
"Franklin, OH","2,434","2,349","2,403","$8,780 ","$3,669 ",525,525,525,"$2,375 ","$4,523 ","1,522","1,437","1,491","$4,845 ","$3,260 ",387,387,387,"$1,561 ","$4,033 ","Franklin, OH"
"Fresno, CA","2,688","2,526","2,588","$12,035 ","$4,629 ",845,756,793,"$4,041 ","$5,122 ",930,906,918,"$4,120 ","$4,471 ",913,864,877,"$3,874 ","$4,364 ","Fresno, CA"
"Fulton, GA","3,255","2,929","3,188","$13,511 ","$4,370 ",511,478,497,"$2,044 ","$4,060 ","1,585","1,474","1,573","$7,190 ","$4,669 ","1,159",977,"1,118","$4,277 ","$4,072 ","Fulton, GA"

"Hamilton, OH","2,687","2,553","2,601","$9,403 ","$3,583 ",427,415,418,"$1,898 ","$4,533 ","1,114","1,016","1,049","$3,987 ","$3,748 ","1,146","1,122","1,134","$3,518 ","$3,081 ","Hamilton, OH"
"Harris, TX","5,973","5,634","5,698","$22,598 ","$3,924 ","1,832","1,832","1,832","$6,477 ","$3,535 ","2,036","1,766","1,799","$9,545 ","$5,193 ","2,105","2,036","2,067","$6,576 ","$3,173 ","Harris, TX"
