Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename:  cjee0615.csv,,,,,,,,,,,,,,,,,
"Table #:  15 Justice system expenditure of 49 large city governments by activity and character and object, fiscal year 2006",,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Statistical Extracts 2006, NCJ 224394",,,,,,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,
Author:  Steven W. Perry,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version:  08/29/2008,,,,,,,,,,,,,,,,,


"Table 15.  Justice system expenditure of 49 large city governments by activity and character and object, fiscal year 2006",,,,,,,,,,,,,,,,,

(Thousands of dollars.),,,,,,,,,,,,,,,,,


,,Total justice system,,,,,Police Protection,,,,,Judicial and Legal,,,,,Corrections
City,Fiscal year ends in month of_,Total,Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure Total,Total,Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure Total,Total,Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure Total,Total,Direct expenditure Total,Direct current,Capital outlay,Construction only,Intergovernmental expenditure Total,City

"Albuquerque, NM",6,"$177,059 ","$177,059 ","$176,149 ",$910 ,$0 ,"$121,503 ","$121,503 ","$120,890 ",$613 ,$0 ,"$7,041 ","$7,041 ","$7,041 ",$0 ,$0 ,"$48,515 ","$48,515 ","$48,218 ",$297 ,$297 ,$0 ,"Albuquerque, NM"
"Atlanta, GA",12,"$213,577 ","$213,577 ","$209,909 ","$3,668 ",$0 ,"$151,573 ","$151,573 ","$147,973 ","$3,600 ",$0 ,"$26,124 ","$26,124 ","$26,124 ",$0 ,$0 ,"$35,880 ","$35,880 ","$35,812 ",$68 ,$0 ,$0 ,"Atlanta, GA"
"Austin, TX",9,"$195,684 ","$195,684 ","$186,918 ","$8,766 ",$0 ,"$175,712 ","$175,712 ","$167,298 ","$8,414 ",$0 ,"$19,972 ","$19,972 ","$19,620 ",$352 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Austin, TX"
"Baltimore, MD",6,"$401,436 ","$401,436 ","$400,704 ",$732 ,$0 ,"$347,506 ","$347,506 ","$346,774 ",$732 ,$0 ,"$53,930 ","$53,930 ","$53,930 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Baltimore, MD"
"Baton Rouge, LA",12,"$139,715 ","$139,715 ","$135,577 ","$4,138 ",$0 ,"$80,905 ","$80,905 ","$80,414 ",$491 ,$0 ,"$32,878 ","$32,878 ","$30,517 ","$2,361 ",$0 ,"$25,932 ","$25,932 ","$24,646 ","$1,286 ",$953 ,$0 ,"Baton Rouge, LA"
"Boston, MA",6,"$399,754 ","$399,754 ","$393,913 ","$5,841 ",$0 ,"$278,857 ","$278,857 ","$273,034 ","$5,823 ",$0 ,"$14,627 ","$14,627 ","$14,609 ",$18 ,$0 ,"$106,270 ","$106,270 ","$106,270 ",$0 ,$0 ,$0 ,"Boston, MA"

"Buffalo, NY",6,"$68,946 ","$68,946 ","$64,712 ","$4,234 ",$0 ,"$66,538 ","$66,538 ","$62,304 ","$4,234 ",$0 ,"$2,408 ","$2,408 ","$2,408 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Buffalo, NY"
"Charlotte, NC",6,"$152,553 ","$152,553 ","$146,703 ","$5,850 ",$0 ,"$150,815 ","$150,815 ","$144,974 ","$5,841 ",$0 ,"$1,738 ","$1,738 ","$1,729 ",$9 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Charlotte, NC"
"Chicago, IL",12,"$1,208,715 ","$1,208,715 ","$1,196,733 ","$11,982 ",$0 ,"$1,175,031 ","$1,175,031 ","$1,163,049 ","$11,982 ",$0 ,"$33,684 ","$33,684 ","$33,684 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Chicago, IL"
"Cincinnati, OH",12,"$116,385 ","$116,385 ","$116,280 ",$105 ,$0 ,"$110,003 ","$110,003 ","$109,898 ",$105 ,$0 ,"$6,382 ","$6,382 ","$6,382 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"Cincinnati, OH"
