Bureau of Justice Statistics,,,,,,,,,,
Filename:  cjee0617.csv,,,,,,,,,,
"Table #:  17 Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 49 large city governments, March 2006",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Statistical Extracts 2006, NCJ 224394",,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,
Author:  Steven W. Perry,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  08/29/2008,,,,,,,,,,

"Table 17. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 49 large city governments, March 2006",,,,,,,,,,

(Payroll amounts in thousands of dollars.),,,,,,,,,,


,Sworn,,Fulltime equivalent employment,,,,,Nonsworn,,Fulltime equivalent employment
,Number of employees,,,,,,,Number of employees,,
City,Total,Fulltime only,Number,Percent of total police protection fulltime equivalent,,March payrolls,Average earnings of fulltime employees (dollars),Total,Fulltime only,Number,Percent of total police protection fulltime equivalent,,March payrolls

"Albuquerque, NM","1,029","1,028","1,029",71.6,%,"$4,637 ","$4,509 ",505,328,409,28.4,%,"$1,213 "
"Atlanta, GA","1,943","1,805","1,831",79.9,,"$7,964 ","$4,372 ",461,461,461,20.1,,"$1,681 "
"Austin, TX","1,341","1,341","1,341",67.1,,"$9,255 ","$6,902 ",700,633,657,32.9,,"$2,095 "
"Baltimore, MD","3,182","3,182","3,182",82.2,,"$16,131 ","$5,070 ",860,518,690,17.8,,"$2,934 "
"Baton Rouge, LA",852,852,852,69.3,,"$2,792 ","$3,276 ",460,316,378,30.7,,"$1,078 "
"Boston, MA","2,042","2,042","2,042",74.4,,"$11,658 ","$5,709 ",827,611,704,25.6,,"$2,412 "

"Buffalo, NY",779,779,779,78,,"$4,817 ","$6,183 ",308,147,220,22,,$827 
"Charlotte, NC","1,554","1,535","1,548",80.8,,"$7,368 ","$4,773 ",439,353,368,19.2,,"$1,352 "
"Chicago, IL","15,893","15,893","15,893",86.4,,"$57,057 ","$3,590 ","2,998","1,943","2,495",13.6,,"$8,823 "
"Cincinnati, OH","1,033","1,033","1,033",79.8,,"$5,782 ","$5,597 ",261,260,261,20.2,,$919 
"Cleveland, OH","1,549","1,549","1,549",83,,"$7,419 ","$4,790 ",317,317,317,17,,$768 
"Columbus, OH","1,833","1,833","1,833",84.2,,"$10,114 ","$5,518 ",351,339,345,15.8,,"$1,316 "

"Dallas, TX","2,962","2,962","2,962",80.8,,"$17,242 ","$5,821 ",930,540,704,19.2,,"$2,015 "
"Denver, CO","1,479","1,479","1,479",81.5,,"$8,951 ","$6,052 ",336,336,336,18.5,,"$1,293 "
"Detroit, MI","3,269","3,269","3,269",90.1,,"$14,461 ","$4,424 ",361,361,361,9.9,,"$1,320 "
"El Paso, TX","1,067","1,067","1,067",74.5,,"$4,314 ","$4,043 ",367,363,365,25.5,,$878 
"Fort Worth, TX","1,385","1,385","1,385",76.4,,"$7,266 ","$5,246 ",596,350,428,23.6,,"$1,251 "
"Honolulu, HI","2,007","2,007","2,007",78.5,,"$9,984 ","$4,975 ",623,530,550,21.5,,"$2,036 "

"Houston, TX","4,865","4,865","4,865",81,,"$23,132 ","$4,755 ","1,144","1,144","1,144",19,,"$3,124 "
"Indianapolis, IN","2,020","1,987","1,987",60.1,,"$9,278 ","$4,669 ","1,520","1,283","1,317",39.9,,"$3,432 "
"Jacksonville, FL","1,578","1,578","1,578",73.5,,"$8,212 ","$5,204 ",748,508,568,26.5,,"$1,778 "
"Kansas City, MO","1,333","1,333","1,333",65.5,,"$6,769 ","$5,078 ",701,700,701,34.5,,"$2,490 "
"Long Beach, CA",997,992,993,73.8,,"$7,033 ","$7,085 ",434,322,352,26.2,,"$1,381 "
"Los Angeles, CA","9,220","9,220","9,220",74.9,,"$74,071 ","$8,034 ","3,159","3,076","3,092",25.1,,"$15,972 "

"Memphis, TN","1,982","1,982","1,982",73.5,,"$6,124 ","$3,090 ","1,018",519,715,26.5,,"$2,644 "
"Miami, FL","1,139","1,139","1,139",73.3,,"$6,719 ","$5,899 ",440,387,415,26.7,,"$1,543 "
"Milwaukee, WI","1,994","1,994","1,994",76.5,,"$9,440 ","$4,734 ",705,499,613,23.5,,"$2,011 "
"Minneapolis, MN",792,792,792,71.2,,"$4,697 ","$5,931 ",320,320,320,28.8,,"$1,314 "
"Nashville, TN","1,238","1,237","1,238",77.1,,"$5,074 ","$4,100 ",480,300,368,22.9,,$998 
"Newark, NJ","1,584","1,584","1,584",86.7,,"$11,620 ","$7,336 ",539,50,244,13.3,,$775 

"New Orleans, LA","1,666","1,666","1,666",80.3,,"$3,749 ","$2,250 ",556,391,409,19.7,,"$1,031 "
"New York, NY","49,263","42,609","46,055",92.8,,"$242,540 ","$5,301 ","3,799","3,283","3,558",7.2,,"$18,704 "
"Oakland, CA",833,833,833,59.5,,"$7,302 ","$8,766 ",567,567,567,40.5,,"$3,657 "
"Oklahoma City, OK",970,970,970,74.8,,"$5,291 ","$5,454 ",437,300,326,25.2,,"$1,388 "
"Omaha, NE",775,775,775,79.6,,"$4,265 ","$5,504 ",228,179,199,20.4,,$649 
"Philadelphia, PA","6,620","6,620","6,620",85.9,,"$35,561 ","$5,372 ","1,816",839,"1,087",14.1,,"$4,191 "

"Phoenix, AZ","3,221","3,220","3,221",77.7,,"$19,215 ","$5,966 ",940,903,927,22.3,,"$4,475 "
"Pittsburgh, PA",852,852,852,86.7,,"$4,055 ","$4,759 ",152,57,131,13.3,,$311 
"Portland, OR","1,015",993,"1,007",74.2,,"$6,291 ","$6,296 ",355,348,351,25.8,,"$1,552 "
"St.Louis, MO","1,342","1,334","1,339",71.9,,"$5,784 ","$4,328 ",524,524,524,28.1,,"$1,822 "
"San Antonio, TX","1,934","1,934","1,934",74,,"$11,310 ","$5,848 ",825,573,678,26,,"$1,603 "
"San Diego, CA","2,070","2,070","2,070",76.2,,"$13,196 ","$6,375 ",716,604,646,23.8,,"$3,223 "

"San Francisco, CA","2,111","2,111","2,111",86.1,,"$20,899 ","$9,900 ",341,341,341,13.9,,"$1,925 "
"San Jose, CA","1,353","1,353","1,353",77,,"$11,672 ","$8,627 ",535,349,404,23,,"$2,236 "
"Seattle, WA","1,602","1,599","1,601",75.1,,"$8,870 ","$5,539 ",579,502,531,24.9,,"$2,347 "
"Toledo, OH",682,682,682,84.7,,"$3,618 ","$5,305 ",123,123,123,15.3,,$412 
"Tucson, AZ","1,005","1,004","1,005",73.6,,"$5,892 ","$5,866 ",367,353,361,26.4,,"$1,522 "
"Tulsa, OK",753,753,753,80.8,,"$3,639 ","$4,833 ",249,146,179,19.2,,$507 
"Washington, DC","3,741","3,740","3,741",85.7,,"$23,742 ","$6,347 ",693,570,622,14.3,,"$2,898 "

Note:  Payroll data shown here may not sum to equal police protection March payroll data in table 16 due to rounding.,,,,,,,,,,,,,
Jurisdictions without data did not report for 2006.,,,,,,,,,,,,,
