Bureau of Justice Statistics,,,,,,
Filename:  cjee0619.csv,,,,,,
Table #:  19 Supplemental data for 68 large county governments,,,,,,
"Series title:  Justice Expenditure and Employment Statistical Extracts 2006, NCJ 224394",,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,
Author:  Steven W. Perry,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version:  08/29/2008,,,,,,

Table 19. Supplemental data for 68 large county governments,,,,,,



,,"Expenditures, fiscal 2006 (thousands of dollars) All functions",,,"Full-time equivalent employment, March 2006",

County,Population 2006/a,Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c

"Alameda, CA","1,457,426","$2,563,347 ","$2,559,037 ","$2,303,213 ","11,016","11,016"
"Allegheny, PA","1,223,411","$1,476,588 ","$1,385,211 ","$1,416,407 ","6,972","6,972"
"Baltimore, MD","787,384","$2,577,137 ","$2,378,354 ","$2,436,532 ","24,509","24,509"
"Bergen, NJ","904,037","$671,417 ","$639,007 ","$671,417 ","5,000","5,000"
"Bexar, TX","1,555,592","$1,029,127 ","$1,003,609 ","$1,029,127 ","9,866","9,866"
"Broward, FL","1,787,636","$2,215,029 ","$2,159,966 ","$2,068,107 ","12,463","11,359"
"Clark, NV","1,777,539","$4,012,859 ","$3,952,587 ","$3,486,876 ","17,144","15,768"

"Contra Costa, CA","1,024,319","$2,252,944 ","$2,197,573 ","$2,054,022 ","8,983","8,983"
"Cook, IL","5,288,655","$3,048,067 ","$3,036,282 ","$2,664,867 ","26,393","26,393"
"Cuyahoga, OH","1,314,241","$2,131,390 ","$2,112,442 ","$2,131,390 ","15,263","15,263"
"Dade, FL","2,402,208","$6,930,876 ","$6,920,555 ","$6,344,026 ","43,844","39,512"
"Dallas, TX","2,345,815","$1,546,747 ","$1,546,747 ","$1,533,371 ","14,689","14,689"
"Dekalb, GA","723,602","$1,053,119 ","$1,018,477 ","$884,353 ","7,227","6,870"
"Delaware, PA","555,996","$544,984 ","$544,494 ","$524,455 ","3,240","3,240"

"Du Page, IL","932,670","$431,865 ","$426,646 ","$431,865 ","3,338","3,309"
"Erie, NY","921,390","$1,416,830 ","$1,072,160 ","$1,311,991 ","10,273","10,026"
"Essex, NJ","786,147","$760,869 ","$707,038 ","$760,869 ","4,746","4,746"
"Fairfax, VA","1,010,443","$4,831,211 ","$4,759,280 ","$4,327,865 ","43,509","43,108"
"Franklin, OH","1,095,662","$1,163,808 ","$1,126,032 ","$1,160,397 ","6,252","6,252"
"Fresno, CA","891,756","$1,417,398 ","$1,401,161 ","$1,288,509 ","8,583","8,583"
"Fulton, GA","960,009","$1,110,848 ","$908,558 ","$952,207 ","7,583","7,537"

"Hamilton, OH","822,596","$954,681 ","$824,165 ","$954,681 ","5,948","5,948"
"Harris, TX","3,886,207","$3,206,887 ","$3,206,829 ","$3,206,887 ","21,011","20,991"
