Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename:  cjee0705.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by state and type of government, March 2007",,,,,,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2007, NCJ 231540",,,,,,,,,,,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version:  9/14/2010,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by state and type of government, March 2007",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
,,Number of employees,,,,,Number of employees,,,,,Number of employees,,,,,Number of employees,,,,,
,,,,,,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,,State and type of government
,,,,,,,,,,,,,,,,,,,,,,
"States-local, total","16,453,570","2,186,355","2,014,786","2,085,559",12.6,%,"996,968","892,911","932,995",44.7,%,"448,243","406,021","423,428",20.3,%,"741,144","715,854","729,136",35,%,"States-local, total"
State,"4,306,623","761,201","737,394","750,080",17.4,,"108,647","105,462","106,595",14.2,,"177,530","167,530","173,021",23.1,,"475,024","464,402","470,464",62.7,,State
"Local, total","12,146,947","1,425,154","1,277,392","1,335,479",10.9,,"888,321","787,449","826,400",61.9,,"270,713","238,491","250,407",18.8,,"266,120","251,452","258,672",19.4,,"Local, total"
Counties,"2,648,648","701,047","649,171","672,340",25.4,,"263,994","243,120","251,762",37.4,,"205,533","188,180","195,928",29.1,,"231,520","217,871","224,650",33.4,,Counties
Municipalities,"2,966,514","724,107","628,221","663,139",22.4,,"624,327","544,329","574,638",86.7,,"65,180","50,311","54,479",8.2,,"34,600","33,581","34,022",5.1,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Alabama,"284,680","28,010","26,130","26,849",9.3,,"14,246","13,110","13,556",50.5,,"5,501","4,976","5,118",19.1,,"8,263","8,044","8,175",30.4,,Alabama
State,"88,617","10,149","10,064","10,088",11.4,,"1,560","1,560","1,560",15.5,,"3,608","3,533","3,553",35.2,,"4,981","4,971","4,975",49.3,,State
"Local, total","196,063","17,861","16,066","16,761",8.4,,"12,686","11,550","11,996",71.6,,"1,893","1,443","1,565",9.3,,"3,282","3,073","3,200",19.1,,"Local, total"
Counties,"19,910","7,124","6,485","6,764",34,,"3,154","2,920","3,018",44.6,,"1,000",781,843,12.5,,"2,970","2,784","2,903",42.9,,Counties
Municipalities,"38,981","10,737","9,581","9,997",25.6,,"9,532","8,630","8,978",89.8,,893,662,722,7.2,,312,289,297,3,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Alaska,"52,173","5,163","4,896","5,004",9.4,,"1,781","1,631","1,683",33.6,,"1,499","1,432","1,462",29.2,,"1,883","1,833","1,859",37.2,,Alaska
State,"25,653","3,665","3,495","3,556",13.9,,456,390,403,11.3,,"1,396","1,338","1,362",38.3,,"1,813","1,767","1,791",50.4,,State
"Local, total","26,520","1,498","1,401","1,448",5.2,,"1,325","1,241","1,280",88.4,,103,94,100,6.9,,70,66,68,4.7,,"Local, total"
Boroughs,"9,357",131,122,124,1.3,,95,90,90,72.6,,27,23,25,20.2,,9,9,9,7.3,,Boroughs
Municipalities,"16,537","1,367","1,279","1,324",8,,"1,230","1,151","1,190",89.9,,76,71,75,5.7,,61,57,59,4.5,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Arizona,"300,564","48,347","46,953","47,622",14.9,,"21,026","20,594","20,809",43.7,,"12,155","11,509","11,813",24.8,,"15,166","14,850","15,000",31.5,,Arizona
State,"68,224","13,488","13,197","13,335",19.5,,"2,049","1,966","2,002",15,,"2,449","2,316","2,379",17.8,,"8,990","8,915","8,954",67.1,,State
"Local, total","232,340","34,859","33,756","34,287",13.7,,"18,977","18,628","18,807",54.9,,"9,706","9,193","9,434",27.5,,"6,176","5,935","6,046",17.6,,"Local, total"
Counties,"37,306","19,623","18,945","19,272",51.7,,"5,873","5,772","5,817",30.2,,"7,664","7,326","7,498",38.9,,"6,086","5,847","5,957",30.9,,Counties
Municipalities,"49,601","15,236","14,811","15,015",30.3,,"13,104","12,856","12,990",86.5,,"2,042","1,867","1,936",12.9,,90,88,89,0.6,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Arkansas,"165,666","19,226","17,942","18,384",11.2,,"8,422","7,842","8,040",43.7,,"3,464","2,867","3,063",16.7,,"7,340","7,233","7,281",39.6,,Arkansas
State,"59,386","7,849","7,721","7,787",13.1,,"1,193","1,193","1,193",15.3,,"1,543","1,417","1,482",19,,"5,113","5,111","5,112",65.6,,State
"Local, total","106,280","11,377","10,221","10,597",10.1,,"7,229","6,649","6,847",64.6,,"1,921","1,450","1,581",14.9,,"2,227","2,122","2,169",20.5,,"Local, total"
