Bureau of Justice Statistics,,,,,,,,,,,,,
Filename:  cjee0706.csv,,,,,,,,,,,,,
"Table 6.  Percent distribution of justice system payrolls by state and type of government, March 2007",,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2007, NCJ 231540",,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,
Date of version:  9/14/2010,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by state and type of government, March 2007",,,,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Total justice system,,,Police protection,,,Judicial and Legal,,,Corrections,,
,,,,,,,,,,,,,
State and type of government,Total March payrolls/a,March payrolls,Percent of total March payrolls/b,,March payrolls,Percent of total March payrolls/b,,March payrolls,Percent of total March payrolls/b,,March payrolls,Percent of total March payrolls/b,
,,,,,,,,,,,,,
"States-local, total","$64,156,490 ","$9,106,720 ",14.2,%,"$4,403,282 ",48.4,%,"$1,897,645 ",20.8,%,"$2,805,793 ",30.8,%
State,"$17,788,745 ","$3,144,489 ",17.7,,"$512,653 ",16.3,,"$823,435 ",26.2,,"$1,808,401 ",57.5,
"Local, total","$46,367,745 ","$5,962,231 ",12.9,,"$3,890,629 ",65.3,,"$1,074,210 ",18,,"$997,392 ",16.7,
Counties,"$10,093,126 ","$2,808,145 ",27.8,,"$1,125,334 ",40.1,,"$833,325 ",29.7,,"$849,485 ",30.3,
Municipalities,"$12,717,946 ","$3,154,086 ",24.8,,"$2,765,295 ",87.7,,"$240,885 ",7.6,,"$147,907 ",4.7,
,,,,,,,,,,,,,
Alabama,"$909,021 ","$89,788 ",9.9,,"$46,564 ",51.9,,"$19,976 ",22.2,,"$23,248 ",25.9,
State,"$324,869 ","$35,198 ",10.8,,"$6,070 ",17.2,,"$14,940 ",42.4,,"$14,188 ",40.3,
"Local, total","$584,152 ","$54,590 ",9.3,,"$40,494 ",74.2,,"$5,036 ",9.2,,"$9,060 ",16.6,
Counties,"$59,504 ","$21,005 ",35.3,,"$10,234 ",48.7,,"$2,543 ",12.1,,"$8,228 ",39.2,
Municipalities,"$122,280 ","$33,585 ",27.5,,"$30,260 ",90.1,,"$2,493 ",7.4,,$832 ,2.5,
,,,,,,,,,,,,,
Alaska,"$227,334 ","$24,396 ",10.7,,"$8,832 ",36.2,,"$7,285 ",29.9,,"$8,279 ",33.9,
State,"$114,168 ","$16,811 ",14.7,,"$2,115 ",12.6,,"$6,682 ",39.7,,"$8,013 ",47.7,
"Local, total","$113,166 ","$7,585 ",6.7,,"$6,716 ",88.5,,$603 ,8,,$266 ,3.5,
Boroughs,"$37,845 ",$690 ,1.8,,$483 ,70,,$162 ,23.4,,$45 ,6.5,
Municipalities,"$72,807 ","$6,895 ",9.5,,"$6,233 ",90.4,,$442 ,6.4,,$221 ,3.2,
,,,,,,,,,,,,,
Arizona,"$1,170,638 ","$219,985 ",18.8,,"$115,964 ",52.7,,"$50,521 ",23,,"$53,500 ",24.3,
State,"$259,357 ","$48,867 ",18.8,,"$9,090 ",18.6,,"$10,129 ",20.7,,"$29,647 ",60.7,
"Local, total","$911,281 ","$171,119 ",18.8,,"$106,873 ",62.5,,"$40,392 ",23.6,,"$23,853 ",13.9,
Counties,"$147,901 ","$81,833 ",55.3,,"$28,664 ",35,,"$29,658 ",36.2,,"$23,510 ",28.7,
Municipalities,"$262,002 ","$89,286 ",34.1,,"$78,209 ",87.6,,"$10,734 ",12,,$343 ,0.4,
,,,,,,,,,,,,,
Arkansas,"$480,819 ","$49,695 ",10.3,,"$23,459 ",47.2,,"$8,590 ",17.3,,"$17,646 ",35.5,
State,"$191,039 ","$21,638 ",11.3,,"$3,828 ",17.7,,"$4,644 ",21.5,,"$13,166 ",60.8,
"Local, total","$289,780 ","$28,057 ",9.7,,"$19,631 ",70,,"$3,946 ",14.1,,"$4,480 ",16,
Counties,"$27,475 ","$11,301 ",41.1,,"$4,765 ",42.2,,"$2,181 ",19.3,,"$4,355 ",38.5,
Municipalities,"$56,630 ","$16,756 ",29.6,,"$14,866 ",88.7,,"$1,765 ",10.5,,$125 ,0.7,
,,,,,,,,,,,,,
California,"$9,506,914 ","$1,538,196 ",16.2,,"$702,450 ",45.7,,"$319,986 ",20.8,,"$515,761 ",33.5,
State,"$2,118,773 ","$443,373 ",20.9,,"$72,486 ",16.3,,"$27,521 ",6.2,,"$343,367 ",77.4,
"Local, total","$7,388,141 ","$1,094,822 ",14.8,,"$629,964 ",57.5,,"$292,465 ",26.7,,"$172,393 ",15.7,
Counties,"$1,822,997 ","$636,383 ",34.9,,"$212,006 ",33.3,,"$261,670 ",41.1,,"$162,707 ",25.6,
Municipalities,"$1,523,626 ","$458,439 ",30.1,,"$417,958 ",91.2,,"$30,795 ",6.7,,"$9,686 ",2.1,
,,,,,,,,,,,,,
Colorado,"$1,029,817 ","$142,028 ",13.8,,"$68,441 ",48.2,,"$30,077 ",21.2,,"$43,510 ",30.6,
State,"$301,751 ","$51,372 ",17,,"$5,741 ",11.2,,"$18,004 ",35,,"$27,627 ",53.8,
"Local, total","$728,066 ","$90,656 ",12.5,,"$62,700 ",69.2,,"$12,073 ",13.3,,"$15,883 ",17.5,
Counties,"$100,678 ","$32,920 ",32.7,,"$15,763 ",47.9,,"$5,437 ",16.5,,"$11,720 ",35.6,
Municipalities,"$201,272 ","$57,736 ",28.7,,"$46,938 ",81.3,,"$6,636 ",11.5,,"$4,163 ",7.2,
,,,,,,,,,,,,,
Connecticut,"$857,954 ","$117,895 ",13.7,,"$57,291 ",48.6,,"$23,265 ",19.7,,"$37,339 ",31.7,
State,"$308,094 ","$70,891 ",23,,"$11,163 ",15.7,,"$22,389 ",31.6,,"$37,339 ",52.7,
"Local, total","$549,861 ","$47,004 ",8.5,,"$46,127 ",98.1,,$876 ,1.9,,$1 ,0,
Municipalities,"$507,021 ","$47,004 ",9.3,,"$46,127 ",98.1,,$876 ,1.9,,$1 ,0,
,,,,,,,,,,,,,
Delaware,"$199,416 ","$35,101 ",17.6,,"$15,490 ",44.1,,"$7,972 ",22.7,,"$11,640 ",33.2,
State,"$105,524 ","$25,123 ",23.8,,"$5,860 ",23.3,,"$7,624 ",30.3,,"$11,640 ",46.3,
"Local, total","$93,892 ","$9,978 ",10.6,,"$9,630 ",96.5,,$348 ,3.5,,$0 ,0,
Counties,"$11,056 ","$2,853 ",25.8,,"$2,550 ",89.4,,$303 ,10.6,,$0 ,0,
Municipalities,"$16,679 ","$7,125 ",42.7,,"$7,079 ",99.4,,$45 ,0.6,,$0 ,0,
,,,,,,,,,,,,,
District of Columbia,"$238,890 ","$41,803 ",17.5,,"$26,148 ",62.6,,"$11,125 ",26.6,,"$4,530 ",10.8,
"Local, total","$238,890 ","$41,803 ",17.5,,"$26,148 ",62.6,,"$11,125 ",26.6,,"$4,530 ",10.8,
Municipality,"$185,226 ","$41,803 ",22.6,,"$26,148 ",62.6,,"$11,125 ",26.6,,"$4,530 ",10.8,
,,,,,,,,,,,,,
Florida,"$3,282,667 ","$605,280 ",18.4,,"$305,948 ",50.5,,"$137,635 ",22.7,,"$161,697 ",26.7,
State,"$691,312 ","$188,304 ",27.2,,"$16,715 ",8.9,,"$83,165 ",44.2,,"$88,425 ",47,
"Local, total","$2,591,355 ","$416,976 ",16.1,,"$289,233 ",69.4,,"$54,471 ",13.1,,"$73,272 ",17.6,
Counties,"$747,411 ","$283,771 ",38,,"$161,830 ",57,,"$50,803 ",17.9,,"$71,138 ",25.1,
Municipalities,"$445,386 ","$133,205 ",29.9,,"$127,403 ",95.6,,"$3,667 ",2.8,,"$2,135 ",1.6,
,,,,,,,,,,,,,
Georgia,"$1,704,035 ","$232,680 ",13.7,,"$95,702 ",41.1,,"$54,725 ",23.5,,"$82,253 ",35.4,
State,"$441,675 ","$76,174 ",17.2,,"$7,190 ",9.4,,"$17,001 ",22.3,,"$51,983 ",68.2,
"Local, total","$1,262,360 ","$156,506 ",12.4,,"$88,512 ",56.6,,"$37,724 ",24.1,,"$30,270 ",19.3,
Counties,"$217,704 ","$99,821 ",45.9,,"$41,643 ",41.7,,"$31,777 ",31.8,,"$26,400 ",26.4,
Municipalities,"$157,659 ","$56,685 ",36,,"$46,869 ",82.7,,"$5,946 ",10.5,,"$3,870 ",6.8,
,,,,,,,,,,,,,
Hawaii,"$287,915 ","$42,526 ",14.8,,"$18,725 ",44,,"$13,168 ",31,,"$10,633 ",25,
State,"$224,849 ","$21,128 ",9.4,,$0 ,0,,"$10,495 ",49.7,,"$10,633 ",50.3,
"Local, total","$63,066 ","$21,398 ",33.9,,"$18,725 ",87.5,,"$2,673 ",12.5,,$0 ,0,
Counties,"$23,840 ","$7,070 ",29.7,,"$5,846 ",82.7,,"$1,224 ",17.3,,$0 ,0,
Municipalities,"$38,635 ","$14,328 ",37.1,,"$12,879 ",89.9,,"$1,450 ",10.1,,$0 ,0,
,,,,,,,,,,,,,
Idaho,"$257,764 ","$33,646 ",13.1,,"$15,250 ",45.3,,"$7,739 ",23,,"$10,657 ",31.7,
State,"$83,182 ","$12,001 ",14.4,,"$1,803 ",15,,"$3,380 ",28.2,,"$6,818 ",56.8,
"Local, total","$174,583 ","$21,645 ",12.4,,"$13,447 ",62.1,,"$4,358 ",20.1,,"$3,840 ",17.7,
Counties,"$39,668 ","$13,474 ",34,,"$5,832 ",43.3,,"$3,803 ",28.2,,"$3,840 ",28.5,
Municipalities,"$27,040 ","$8,171 ",30.2,,"$7,615 ",93.2,,$556 ,6.8,,$0 ,0,
,,,,,,,,,,,,,
Illinois,"$2,590,290 ","$384,408 ",14.8,,"$211,782 ",55.1,,"$75,267 ",19.6,,"$97,359 ",25.3,
State,"$556,184 ","$97,839 ",17.6,,"$21,909 ",22.4,,"$19,720 ",20.2,,"$56,211 ",57.5,
"Local, total","$2,034,106 ","$286,569 ",14.1,,"$189,874 ",66.3,,"$55,548 ",19.4,,"$41,148 ",14.4,
Counties,"$238,857 ","$118,251 ",49.5,,"$25,706 ",21.7,,"$51,528 ",43.6,,"$41,017 ",34.7,
Municipalities,"$462,907 ","$168,318 ",36.4,,"$164,168 ",97.5,,"$4,019 ",2.4,,$131 ,0.1,
,,,,,,,,,,,,,
Indiana,"$1,122,673 ","$126,983 ",11.3,,"$62,383 ",49.1,,"$27,148 ",21.4,,"$37,452 ",29.5,
State,"$317,085 ","$36,260 ",11.4,,"$6,802 ",18.8,,"$8,234 ",22.7,,"$21,225 ",58.5,
"Local, total","$805,588 ","$90,723 ",11.3,,"$55,582 ",61.3,,"$18,915 ",20.8,,"$16,227 ",17.9,
Counties,"$153,479 ","$37,388 ",24.4,,"$12,445 ",33.3,,"$11,958 ",32,,"$12,984 ",34.7,
Municipalities,"$174,025 ","$53,336 ",30.6,,"$43,137 ",80.9,,"$6,956 ",13,,"$3,243 ",6.1,
,,,,,,,,,,,,,
Iowa,"$648,532 ","$62,373 ",9.6,,"$29,432 ",47.2,,"$14,831 ",23.8,,"$18,111 ",29,
State,"$239,303 ","$29,591 ",12.4,,"$4,812 ",16.3,,"$11,182 ",37.8,,"$13,597 ",46,
"Local, total","$409,229 ","$32,783 ",8,,"$24,620 ",75.1,,"$3,649 ",11.1,,"$4,514 ",13.8,
Counties,"$81,206 ","$15,700 ",19.3,,"$8,024 ",51.1,,"$3,173 ",20.2,,"$4,504 ",28.7,
Municipalities,"$80,726 ","$17,082 ",21.2,,"$16,596 ",97.2,,$476 ,2.8,,$10 ,0.1,
,,,,,,,,,,,,,
Kansas,"$600,359 ","$67,542 ",11.3,,"$34,315 ",50.8,,"$13,638 ",20.2,,"$19,589 ",29,
State,"$163,014 ","$23,146 ",14.2,,"$4,621 ",20,,"$7,996 ",34.5,,"$10,529 ",45.5,
"Local, total","$437,345 ","$44,395 ",10.2,,"$29,694 ",66.9,,"$5,642 ",12.7,,"$9,060 ",20.4,
