Bureau of Justice Statistics,,,,,,,,,,
Filename:  cjee0708.csv,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal year 2007) and full-time equivalent justice employment per 10,000 population (July 2007) of state and local governments by activity and state",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2007, NCJ 231540",,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  9/14/2010,,,,,,,,,,
,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal year 2007) and full-time equivalent justice employment per 10,000 population (July 2007) of state and local governments by activity and state",,,,,,,,,,
,,,,,,,,,,
,,"Per capita justice expenditure, fiscal year 2007",,,,"Full-time equivalent justice employment per 10,000 population, March 2007",,,,
,,,,,,,,,,
,,,,,,,Police protection,,,
State,"Population, 2007",Total justice system,Police protection,Judicial and legal,Corrections,Total justice system,Total,Sworn only,Judicial and legal,Corrections
,,,,,,,,,,
Total,"301,290,756",$633 ,$279 ,$129 ,$225 ,69,31,23,14,24
,,,,,,,,,,
Alabama,"4,626,595",$463 ,$211 ,$87 ,$165 ,58,29,22,11,18
Alaska,"681,111",$980 ,$347 ,$280 ,$353 ,73,25,16,21,27
Arizona,"6,353,421",$709 ,$322 ,$143 ,$243 ,75,33,24,19,24
Arkansas,"2,830,557",$400 ,$169 ,$73 ,$158 ,65,28,21,11,26
California,"36,377,534",$963 ,$381 ,$236 ,$347 ,68,29,19,14,24
,,,,,,,,,,
Colorado,"4,842,770",$618 ,$278 ,$98 ,$243 ,64,29,21,13,22
Connecticut,"3,489,868",$626 ,$259 ,$177 ,$189 ,66,31,24,14,22
Delaware,"861,953",$835 ,$346 ,$181 ,$309 ,107,53,18,21,33
District of Columbia,"588,292","$1,373 ",$851 ,$139 ,$384 ,113,68,57,30,15
Florida,"18,199,526",$697 ,$345 ,$119 ,$232 ,80,36,23,19,25
,,,,,,,,,,
Georgia,"9,523,297",$552 ,$224 ,$96 ,$232 ,74,29,23,14,31
Hawaii,"1,277,356",$613 ,$239 ,$220 ,$154 ,71,29,23,23,18
Idaho,"1,496,145",$483 ,$200 ,$102 ,$180 ,60,27,19,12,22
Illinois,"12,825,809",$566 ,$317 ,$104 ,$146 ,68,38,30,13,17
Indiana,"6,335,862",$400 ,$175 ,$71 ,$154 ,60,27,19,12,21
,,,,,,,,,,
Iowa,"2,983,360",$444 ,$197 ,$101 ,$146 ,50,24,18,11,15
Kansas,"2,777,382",$480 ,$244 ,$98 ,$138 ,70,33,23,13,23
Kentucky,"4,236,308",$402 ,$148 ,$98 ,$155 ,58,24,18,15,18
Louisiana,"4,373,310",$647 ,$277 ,$128 ,$242 ,82,38,29,16,28
Maine,"1,315,398",$397 ,$176 ,$79 ,$142 ,47,24,18,8,15
,,,,,,,,,,
Maryland,"5,618,899",$744 ,$317 ,$132 ,$296 ,76,34,24,15,28
Massachusetts,"6,467,915",$634 ,$282 ,$153 ,$199 ,67,37,31,16,14
Michigan,"10,049,790",$572 ,$233 ,$104 ,$236 ,57,23,18,12,22
Minnesota,"5,182,360",$555 ,$272 ,$121 ,$162 ,54,22,17,13,19
Mississippi,"2,921,030",$416 ,$196 ,$72 ,$148 ,58,30,22,9,19
,,,,,,,,,,
Missouri,"5,878,399",$452 ,$238 ,$78 ,$136 ,71,31,23,13,27
Montana,"956,624",$539 ,$215 ,$134 ,$189 ,62,26,18,16,19
Nebraska,"1,769,473",$471 ,$202 ,$85 ,$184 ,62,28,20,11,24
Nevada,"2,554,344",$803 ,$385 ,$159 ,$259 ,70,30,19,14,26
New Hampshire,"1,312,256",$443 ,$225 ,$93 ,$125 ,54,28,21,10,15
,,,,,,,,,,
New Jersey,"8,653,126",$747 ,$353 ,$159 ,$235 ,87,42,32,26,20
New Mexico,"1,964,402",$686 ,$304 ,$143 ,$239 ,82,32,23,18,33
New York,"19,429,316",$861 ,$393 ,$176 ,$291 ,94,46,39,17,31
North Carolina,"9,041,594",$485 ,$225 ,$67 ,$193 ,66,29,23,8,29
North Dakota,"637,904",$402 ,$166 ,$96 ,$140 ,52,23,18,13,16
,,,,,,,,,,
Ohio,"11,477,641",$538 ,$258 ,$139 ,$142 ,69,28,21,18,22
Oklahoma,"3,608,123",$467 ,$200 ,$83 ,$185 ,63,31,22,12,20
Oregon,"3,735,549",$628 ,$259 ,$104 ,$265 ,59,24,16,13,23
Pennsylvania,"12,419,930",$579 ,$215 ,$119 ,$245 ,66,27,21,15,24
Rhode Island,"1,053,136",$640 ,$311 ,$120 ,$209 ,62,33,25,12,16
,,,,,,,,,,
South Carolina,"4,404,914",$416 ,$205 ,$61 ,$150 ,63,30,24,9,24
