Bureau of Justice Statistics,,,,,,,,
Filename:  cjee0718.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2007, NCJ 231540",,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version:  9/14/2010,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
,,,,,,,,
,,"Personal income, calendar year 2007/a",,"Expenditures, all functions fiscal year 2007 (thousands of dollars)",,,"Full-time equivalent employment, March 2007",
,,,,,,,,
State,"Estimated population as of July 1, 2007 (thousands)",Amount (millions),Per capita,Total (direct and intergovernmental),Direct expenditure only,Total general expenditures/b,All functions,General functions only/c
,,,,,,,,
Total,"300,702","$11,842,259 ","$39,382 ","$1,624,042,332 ","$1,159,783,896 ","$1,414,543,227 ","$4,306,623 ","$4,260,987 "
,,,,,,,,
Alabama,"4,627","$152,136 ","$32,883 ","$22,948,086 ","$16,804,486 ","$20,429,798 ","$88,617 ","$87,873 "
Alaska,681,"$28,029 ","$41,152 ","$9,036,305 ","$7,736,704 ","$8,143,127 ","$25,653 ","$25,653 "
Arizona,"6,353","$218,639 ","$34,413 ","$28,624,180 ","$18,229,259 ","$25,767,765 ","$68,224 ","$68,215 "
Arkansas,"2,831","$89,576 ","$31,646 ","$14,782,551 ","$10,448,600 ","$13,595,947 ","$59,386 ","$59,386 "
California,"36,378","$1,572,270 ","$43,221 ","$232,005,675 ","$138,444,425 ","$197,392,875 ","$387,168 ","$387,168 "
,,,,,,,,
Colorado,"4,843","$205,547 ","$42,444 ","$21,136,027 ","$15,074,024 ","$17,895,100 ","$67,784 ","$67,784 "
Connecticut,"3,490","$194,068 ","$55,609 ","$22,040,785 ","$18,112,744 ","$18,935,111 ","$61,823 ","$61,823 "
Delaware,862,"$34,536 ","$40,067 ","$6,674,771 ","$5,504,060 ","$6,152,664 ","$26,148 ","$25,447 "
Florida,"18,200","$713,489 ","$39,204 ","$72,083,895 ","$52,025,470 ","$65,048,933 ","$188,772 ","$188,163 "
Georgia,"9,523","$329,983 ","$34,650 ","$41,538,682 ","$30,893,902 ","$37,444,068 ","$126,420 ","$126,420 "
,,,,,,,,
Hawaii,"1,277","$52,253 ","$40,907 ","$9,758,136 ","$9,596,767 ","$8,879,670 ","$57,210 ","$57,210 "
Idaho,"1,496","$49,230 ","$32,905 ","$6,792,462 ","$4,846,205 ","$6,042,757 ","$22,190 ","$21,986 "
Illinois,"12,826","$533,161 ","$41,569 ","$59,037,806 ","$44,449,995 ","$50,772,467 ","$125,015 ","$125,015 "
Indiana,"6,336","$213,874 ","$33,756 ","$28,568,754 ","$20,305,350 ","$26,281,664 ","$89,558 ","$89,558 "
Iowa,"2,983","$106,503 ","$35,699 ","$15,275,874 ","$11,326,821 ","$13,656,686 ","$53,427 ","$53,427 "
,,,,,,,,
