Bureau of Justice Statistics,,,,,,
Filename:  cjee0719.csv,,,,,,
Table 19. Supplemental data for 68 large county governments,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2007, NCJ 231540",,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,
Author: Tracey Kyckelhahn,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version:  9/14/2010,,,,,,
,,,,,,
Table 19. Supplemental data for 68 large county governments,,,,,,
,,,,,,
,,"Expenditures all functions, fiscal 2007 (thousands of dollars)",,,"Full-time equivalent employment, March 2007",
County,Population 2007/a,Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c
,,,,,,
"Alameda, CA","1,464,202","$2,723,561 ","$2,701,364 ","$2,641,455 ","11,292","11,292"
"Allegheny, PA","1,219,210","$1,586,705 ","$1,503,992 ","$1,503,992 ","6,893","6,893"
"Baltimore, MD","788,994","$2,904,916 ","$2,697,016 ","$2,697,016 ","24,737","24,737"
"Bergen, NJ","895,744","$971,159 ","$931,939 ","$931,939 ","4,856","4,856"
"Bexar, TX","1,594,493","$1,142,791 ","$1,122,270 ","$1,122,270 ","10,247","10,247"
"Broward, FL","1,759,591","$2,276,739 ","$2,148,655 ","$1,964,826 ","13,377","12,245"
"Clark, NV","1,836,333","$4,531,449 ","$4,487,477 ","$3,945,639 ","18,848","17,298"
,,,,,,
"Contra Costa, CA","1,019,640","$2,392,000 ","$2,335,274 ","$2,334,463 ","9,112","9,112"
"Cook, IL","5,285,107","$3,256,694 ","$3,245,143 ","$3,245,143 ","25,676","25,676"
"Cuyahoga, OH","1,295,958","$2,283,816 ","$2,267,567 ","$2,267,567 ","15,441","15,441"
"Dade, FL","2,387,170","$8,200,355 ","$8,032,560 ","$7,301,915 ","46,737","42,129"
"Dallas, TX","2,366,511","$1,639,922 ","$1,639,922 ","$1,639,922 ","15,212","15,212"
"Dekalb, GA","737,093","$1,081,750 ","$1,053,151 ","$944,708 ","7,249","6,886"
"Delaware, PA","554,399","$613,044 ","$604,763 ","$604,763 ","3,589","3,589"
,,,,,,
"Du Page, IL","929,192","$432,153 ","$426,310 ","$424,153 ","3,510","3,480"
"Erie, NY","913,338","$1,570,564 ","$1,208,535 ","$1,104,730 ","10,144","9,893"
"Essex, NJ","776,087","$871,801 ","$806,702 ","$805,399 ","4,791","4,791"
"Fairfax, VA","1,010,241","$4,994,567 ","$4,905,752 ","$4,665,927 ","38,997","38,606"
"Franklin, OH","1,118,107","$1,175,660 ","$1,131,050 ","$1,128,436 ","6,306","6,306"
"Fresno, CA","899,348","$1,524,680 ","$1,480,623 ","$1,474,215 ","8,491","8,491"
"Fulton, GA","992,137","$1,198,690 ","$916,135 ","$816,572 ","7,915","7,868"
,,,,,,
"Hamilton, OH","842,369","$1,126,433 ","$1,121,189 ","$1,121,189 ","5,918","5,918"
"Harris, TX","3,935,855","$3,930,216 ","$3,930,151 ","$3,930,151 ","22,607","22,587"
"Hennepin, MN","1,136,599","$1,840,996 ","$1,831,858 ","$1,822,043 ","10,347","10,347"
