Bureau of Justice Statistics,,,,,,
Filename:  cjee0720.csv,,,,,,
Table 20.  Supplemental data for 49 large city governments,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2007, NCJ 231540",,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,
Author: Tracey Kyckelhahn,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version:  9/14/2010,,,,,,
,,,,,,
Table 20.  Supplemental data for 49 large city governments,,,,,,
,,,,,,
,,"Expenditures all functions, fiscal year 2007 (thousands)",,,"Full-time equivalent employment, March 2007",
,,,,,,
City,"Population, 2007/a",Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c
,,,,,,
"Albuquerque, NM","518,271","$1,040,365 ","$1,040,365 ","$769,791 ","7,612","6,596"
"Atlanta, GA","519,145","$2,454,517 ","$2,401,575 ","$1,923,936 ","9,612","9,168"
"Austin, TX","743,074","$2,440,467 ","$2,440,467 ","$1,284,664 ","11,918","10,006"
"Baltimore, MD","637,455","$3,183,209 ","$3,105,124 ","$3,006,196 ","27,592","26,710"
"Baton Rouge, LA","227,071","$832,576 ","$831,385 ","$815,552 ","6,622","6,455"
"Boston, MA","599,351","$3,343,900 ","$3,099,570 ","$2,951,166 ","20,312","20,087"
,,,,,,
"Buffalo, NY","272,632","$1,317,542 ","$1,315,247 ","$1,299,094 ","11,528","11,396"
"Charlotte, NC","671,588","$1,662,828 ","$1,654,955 ","$1,195,797 ","6,301","5,298"
"Chicago, IL","2,836,658","$8,493,418 ","$8,411,715 ","$8,142,451 ","39,508","37,869"
"Cincinnati, OH","332,458","$1,043,894 ","$995,706 ","$929,876 ","5,810","5,222"
"Cleveland, OH","438,042","$1,406,598 ","$1,398,504 ","$959,632 ","7,602","6,087"
"Columbus, OH","747,755","$1,237,162 ","$1,231,024 ","$1,091,550 ","8,388","7,980"
,,,,,,
"Dallas, TX","1,240,499","$3,061,780 ","$3,052,823 ","$2,780,789 ","14,891","13,675"
"Denver, CO","588,349","$2,418,047 ","$2,367,593 ","$2,200,211 ","12,590","11,544"
"Detroit, MI","916,952","$3,456,611 ","$3,345,995 ","$2,747,911 ","13,738","10,683"
"El Paso, TX","606,913","$827,723 ","$827,723 ","$599,348 ","5,742","4,982"
