"Bureau of Justice Statistics",,,,,,,,,,,,,
"filename:  cjee9406.csv",,,,,,,,,,,,,
"table#:  06",,,,,,,,,,,,,
"NCJ #:  175706",,,,,,,,,,,,,
"data source:  1994 Criminal Justice Expenditure and Employment Extracts",,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,
"date of version: 5/3/99",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 6.  Percent distribution of justice system payrolls by State and type of government, October 1994",,,,,,,,,,,,,
,,,,,,,,,,,,,
"(Payroll amounts in thousands of dollars)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,"         Total justice system",,,"            Police protection",,,"        Judicial and Legal",,,"              Corrections",
,,,,,,,,,,,,,
,"Total",,,"Percent of",,,"Percent of",,,"Percent of",,,"Percent of"
"State and type","October",,"October","total October",,"October","total October",,"October","total October",,"October","total October"
"of government","payrolls/a",,"payrolls","payrolls/b",,"payrolls","payrolls/b",,"payrolls","payrolls/b",,"payrolls","payrolls/b"
,,,,,,,,,,,,,
"States-local, total",$36022610,,$4742806,13.2,,$2311379,48.7,,$939423,19.8,,$1492004,31.5
"     State",10666148,,1632246,15.3,,268925,16.5,,396719,24.3,,966602,59.2
"     Local, total",26064700,,3110560,11.9,,2042455,65.7,,542703,17.4,,525402,16.9
"        Counties",5297298,,1343227,25.4,,522612,38.9,,411404,30.6,,409211,30.5
"        Municipalities",7515415,,1767333,23.5,,1519843,86,,131300,7.4,,116191,6.6
,,,,,,,,,,,,,
"Alabama",507954,,49338,9.7,,23849,48.3,,10897,22.1,,14591,29.6
"     State",196421,,21079,10.7,,2877,13.6,,7856,37.3,,10346,49.1
"     Local, total",601398,,28259,4.7,,20972,74.2,,3041,10.8,,4246,15
"        Counties",33680,,10377,30.8,,4867,46.9,,1877,18.1,,3633,35
"        Municipalities",68307,,17882,26.2,,16104,90.1,,1164,6.5,,613,3.4
,,,,,,,,,,,,,
"Alaska",177305,,18315,10.3,,8577,46.8,,4822,26.3,,4917,26.8
"     State",81254,,11113,13.7,,1947,17.5,,4366,39.3,,4800,43.2
"     Local, total",96051,,7202,7.5,,6630,92.1,,456,6.3,,117,1.6
"        Boroughs",35625,,617,1.7,,443,71.8,,135,21.9,,40,6.5
"        Municipalities",56969,,6585,11.6,,6187,94,,321,4.9,,77,1.2
,,,,,,,,,,,,,
"Arizona",528275,,78954,14.9,,34810,44.1,,19137,24.2,,25007,31.7
"     State",138667,,23472,16.9,,5051,21.5,,3856,16.4,,14565,62.1
"     Local, total",389608,,55482,14.2,,29759,53.6,,15281,27.5,,10442,18.8
"        Counties",64471,,28533,44.3,,6474,22.7,,11617,40.7,,10442,36.6
"        Municipalities",87710,,26949,30.7,,23285,86.4,,3664,13.6,,"-","-"
,,,,,,,,,,,,,
"Arkansas",267221,,22928,8.6,,11550,50.4,,4166,18.2,,7212,31.5
"     State",115973,,9378,8.1,,2233,23.8,,1515,16.2,,5629,60
"     Local, total",151248,,13551,9,,9317,68.8,,2651,19.6,,1583,11.7
"        Counties",18503,,5540,29.9,,2196,39.6,,1885,34,,1459,26.3
"        Municipalities",30119,,8011,26.6,,7121,88.9,,766,9.6,,124,1.5
,,,,,,,,,,,,,
"California",4742283,,719349,15.2,,357262,49.7,,144982,20.2,,217106,30.2
"     State",1109652,,175423,15.8,,36976,21.1,,10712,6.1,,127736,72.8
"     Local, total",3632632,,543926,15,,320286,58.9,,134270,24.7,,89370,16.4
"        Counties",981106,,319774,32.6,,113962,35.6,,120156,37.6,,85655,26.8
"        Municipalities",804780,,224152,27.9,,206324,92,,14114,6.3,,3715,1.7
,,,,,,,,,,,,,
"Colorado",509170,,62247,12.2,,29409,47.2,,14561,23.4,,18277,29.4
"     State",171006,,22867,13.4,,2954,12.9,,9011,39.4,,10901,47.7
"     Local, total",338164,,39380,11.6,,26455,67.2,,5550,14.1,,7376,18.7
"        Counties",42762,,12884,30.1,,5894,45.7,,2476,19.2,,4515,35
"        Municipalities",103953,,26496,25.5,,20561,77.6,,3074,11.6,,2861,10.8
,,,,,,,,,,,,,
"Connecticut",564323,,70008,12.4,,35259,50.4,,10484,15,,24264,34.7
"     State",203851,,39694,19.5,,5630,14.2,,9800,24.7,,24264,61.1
"     Local, total",360472,,30314,8.4,,29629,97.7,,684,2.3,,"-","-"
"        Municipalities",336644,,30314,9,,29629,97.7,,684,2.3,,"-","-"
,,,,,,,,,,,,,
"Delaware",100707,,13542,13.4,,6096,45,,3743,27.6,,3703,27.3
"     State",52025,,9490,18.2,,2450,25.8,,3337,35.2,,3703,39
"     Local, total",48681,,4052,8.3,,3646,90,,406,10,,"-","-"
"        Counties",5866,,1661,28.3,,1470,88.5,,191,11.5,,"-","-"
"        Municipalities",6698,,2391,35.7,,2176,91,,215,9,,"-","-"
,,,,,,,,,,,,,
"District of Columbia",176892,,43970,24.9,,20733,47.2,,6487,14.8,,16750,38.1
"     Local, total",176892,,43970,24.9,,20733,47.2,,6487,14.8,,16750,38.1
"        Municipality",142303,,43970,30.9,,20733,47.2,,6487,14.8,,16750,38.1
,,,,,,,,,,,,,
"Florida",1631963,,288468,17.7,,144050,49.9,,56442,19.6,,87976,30.5
"     State",378024,,99100,26.2,,11792,11.9,,31981,32.3,,55327,55.8
"     Local, total",1253938,,189368,15.1,,132258,69.8,,24461,12.9,,32649,17.2
"        Counties",328968,,113558,34.5,,60058,52.9,,22590,19.9,,30910,27.2
"        Municipalities",243421,,75810,31.1,,72200,95.2,,1871,2.5,,1740,2.3
,,,,,,,,,,,,,
"Georgia",916879,,110439,12,,44137,40,,18066,16.4,,48235,43.7
"     State",258082,,44933,17.4,,4456,9.9,,4018,8.9,,36459,81.1
"     Local, total",658796,,65506,9.9,,39682,60.6,,14047,21.4,,11776,18
"        Counties",104832,,41674,39.8,,19504,46.8,,12446,29.9,,9724,23.3
"        Municipalities",77081,,23832,30.9,,20178,84.7,,1602,6.7,,2052,8.6
,,,,,,,,,,,,,
"Hawaii",178881,,24929,13.9,,11085,44.5,,8560,34.3,,5284,21.2
"     State",136824,,11832,8.6,,"-","-",,6549,55.3,,5284,44.7
"     Local, total",42057,,13096,31.1,,11085,84.6,,2011,15.4,,"-","-"
"        Counties",13339,,4032,30.2,,3229,80.1,,803,19.9,,"-","-"
"        Municipalities",28706,,9064,31.6,,7856,86.7,,1208,13.3,,"-","-"
,,,,,,,,,,,,,
"Idaho",137827,,15471,11.2,,7805,50.4,,3491,22.6,,4174,27
"     State",47867,,5849,12.2,,1443,24.7,,1516,25.9,,2890,49.4
"     Local, total",89960,,9621,10.7,,6362,66.1,,1975,20.5,,1284,13.3
"        Counties",17534,,6091,34.7,,3029,49.7,,1781,29.2,,1281,21
"        Municipalities",13497,,3530,26.2,,3333,94.4,,194,5.5,,3,0.1
,,,,,,,,,,,,,
"Illinois",1596637,,244993,15.3,,148454,60.6,,41767,17,,54772,22.4
"     State",375004,,59907,16,,12679,21.2,,12874,21.5,,34354,57.3
"     Local, total",1221633,,185085,15.2,,135775,73.4,,28893,15.6,,20417,11
"        Counties",136840,,60275,44,,13215,21.9,,26650,44.2,,20411,33.9
"        Municipalities",317916,,124810,39.3,,122561,98.2,,2243,1.8,,7,"-"
,,,,,,,,,,,,,
"Indiana",713630,,63418,8.9,,31844,50.2,,11735,18.5,,19838,31.3
"     State",241613,,21669,9,,4288,19.8,,3740,17.3,,13640,62.9
"     Local, total",472017,,41749,8.8,,27556,66,,7995,19.2,,6198,14.8
"        Counties",75542,,16841,22.3,,6027,35.8,,5554,33,,5261,31.2
