"Bureau of Justice Statistics",,,,,,,,,,,,,,
"filename:  cjee9410.csv",,,,,,,,,,,,,,
"table#:  10",,,,,,,,,,,,,,
"NCJ #:  175706",,,,,,,,,,,,,,
"data source:  1994 Criminal Justice Expenditure and Employment Extracts",,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,
"date of version:  5/3/99",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 10. Detail of direct expenditure for correctional activities of State governments by character and object, fiscal 1994",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"(Dollar amounts in thousands)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"","",,"                                                            Institutions",,,,,,,,"                                        Other corrections",,,
"","",,,,,,,,,,,,,
"","",,"","",,"          Capital outlay",,,"Percent",,"","",,"Percent"
"","Total",,"","",,,,,"of total",,"","",,"of total"
"","corrections",,"","",,"","",,"corrections",,"","","","corrections"
,"direct",,"","Direct",,"","",,"direct",,"","Direct","Capital","direct"
"State","expenditure",,"Total","current",,"Construction","Other",,"expenditure",,"Total","current","outlay","expenditure"
,,,,,,,,,,,,,,
"Total",$21266053,,$17741937,$15776174,,$1695718,$270045,,83.4,,$3524116,$3319462,$204654,16.6
,,,,,,,,,,,,,,
"Alabama",213003,,162072,158310,,399,3363,,76.1,,50931,45868,5063,23.9
"Alaska",138149,,123664,118649,,3636,1379,,89.5,,14485,14446,39,10.5
"Arizona",345456,,320560,313766,,2063,4731,,92.8,,24896,24434,462,7.2
"Arkansas",129618,,119155,114582,,1901,2672,,91.9,,10463,9420,1043,8.1
"California",3312414,,2983375,2569995,,377781,35599,,90.1,,329039,318949,10090,9.9
,,,,,,,,,,,,,,
"Colorado",275494,,197604,168959,,8110,20535,,71.7,,77890,76434,1456,28.3
"Connecticut",465293,,389632,324759,,55911,8962,,83.7,,75661,74898,763,16.3
"Delaware",84344,,67042,66275,,501,266,,79.5,,17302,17031,271,20.5
"Florida",1246462,,811012,725369,,67350,18293,,65.1,,435450,420648,14802,34.9
"Georgia",648496,,454717,415909,,33233,5575,,70.1,,193779,185643,8136,29.9
,,,,,,,,,,,,,,
"Hawaii",109208,,93665,85170,,7197,1298,,85.8,,15543,14930,613,14.2
"Idaho",69022,,58448,46248,,9890,2310,,84.7,,10574,10261,313,15.3
"Illinois",703866,,641556,609589,,26921,5046,,91.1,,62310,60182,2128,8.9
"Indiana",305458,,290166,272745,,10754,6667,,95.0,,15292,14558,734,5.0
"Iowa",124973,,119712,118427,,14,1271,,95.8,,5261,5248,13,4.2
,,,,,,,,,,,,,,
"Kansas",167693,,139013,132808,,4747,1458,,82.9,,28680,28135,545,17.1
"Kentucky",191630,,158583,135421,,20379,2783,,82.8,,33047,29502,3545,17.2
