"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9511.csv",,,,,,,,,,,,,,,,,,,,,,,,,
"table #:  11 Justice system employment and payrolls of State governments by activity, October 1995",,,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1995, NCJ 175707",,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  1/13/2000",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11.   Justice system employment and payrolls of State governments by activity, October 1995",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                      Total justice system",,,,,"                                                    Police protection",,,,,"                                                    Judicial and Legal",,,,,"                                                       Corrections",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Average",,,,,"Average",,,,,"Average",,,,,"Average",,,,,
,"                                Employment",,,"October","earnings of","                                Employment",,,"October","earnings of","                                Employment",,,"October","earnings of","                                Employment",,,"October","earnings of",,,,,
,,,,"payrolls","full-time",,,,"payrolls","full-time",,,,"payrolls","full-time",,,,"payrolls","full-time",,,,,
,"Total","Full-time","Full-time","(thousands","employees","Total","Full-time","Full-time","(thousands","employees","Total","Full-time","Full-time","(thousands","employees","Total","Full-time","Full-time","(thousands","employees",,,,,
"State","employees","employees","equivalent","of dollars)","(dollars)","employees","employees","equivalent","of dollars)","(dollars)","employees","employees","equivalent","of dollars)","(dollars)","employees","employees","equivalent","of dollars)","(dollars)","State",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Total",634692,612774,626409,1776638,2847,91252,88688,89564,286650,3209,130169,122397,127637,428295,3416,413271,401689,409208,1061693,2594,"Total",1041816975,418079837,284579611,1744476423
,,,,,,,,,,,,,,,,,,,,,,,,,
"Alabama",8174,8006,8097,21232,2633,1015,1015,1015,3075,3030,2828,2677,2759,8120,2982,4331,4314,4323,10036,2323,"Alabama",10022243,7982676,3075215,21080134
"Alaska",2848,2779,2811,11027,3929,419,416,418,1947,4664,1173,1108,1138,4378,3862,1256,1255,1255,4702,3745,"Alaska",4700098,4278924,1940097,10919119
"Arizona",10516,10429,10468,25074,2394,1698,1694,1696,5265,3104,1235,1172,1199,3915,3267,7583,7563,7573,15894,2100,"Arizona",15879335,3828412,5258602,24966349
"Arkansas",4646,4634,4641,10209,2201,895,895,895,2319,2591,359,353,355,1600,4524,3392,3386,3391,6290,1856,"Arkansas",6285904,1596923,2318729,10201556
"California",58922,53479,56831,201794,3551,11900,10732,10985,40024,3633,2939,2665,2782,12275,4441,44083,40082,43064,149495,3471,"California",139104887,11834270,38990670,189929827
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Colorado",8438,7780,8113,24584,3024,1087,1075,1077,3184,2949,3105,2536,2826,9404,3343,4246,4169,4210,11996,2849,"Colorado",11875892,8478484,3170088,23524464
"Connecticut",12568,12371,12500,37383,2991,1599,1563,1587,5639,3578,3493,3414,3470,9821,2828,7476,7394,7443,21922,2941,"Connecticut",21749165,9655710,5591663,36996538
"Delaware",4032,3868,3947,11175,2852,789,770,782,2935,3780,1335,1316,1325,3486,2632,1908,1782,1840,4754,2613,"Delaware",4656580,3463380,2910276,11030236
"Florida",47205,46424,46804,127959,2738,3844,3769,3808,12192,3222,12036,11734,11934,41183,3467,31325,30921,31062,74584,2402,"Florida",74284438,40681847,12143039,127109324
"Georgia",22901,22295,22596,49353,2189,2353,2312,2340,6271,2697,1157,1134,1145,4658,4076,19391,18849,19111,38424,2014,"Georgia",37955121,4622016,6235611,48812748
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
"Hawaii",4320,4241,4269,11499,2687,"-","-","-","-","-",2180,2122,2138,6371,2971,2140,2119,2131,5128,2403,"Hawaii",5091418,6304236,0,11395654
"Idaho",2442,2317,2410,6846,2895,434,434,434,1579,3639,435,414,430,1642,3912,1573,1469,1546,3625,2388,"Idaho",3507797,1619518,1579459,6706774
"Illinois",20368,20184,20274,66974,3304,3736,3729,3733,13529,3626,2992,2840,2920,14157,4910,13640,13615,13621,39288,2882,"Illinois",39232584,13943309,13521678,66697571
"Indiana",9314,9130,9270,22122,2376,1976,1971,1973,4459,2261,1057,896,1024,3761,3761,6281,6263,6273,13903,2214,"Indiana",13867772,3369561,4456092,21693425
