"Bureau of Justice Statistics",,,,,,,,
"filename:  cjee9618.csv",,,,,,,,
"table #:  18 Supplemental data for State governments, 1996",,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1996, NCJ 180883",,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,
"date of version:  12/29/99",,,,,,,,
,,,,,,,,
"Table 18.  Supplemental data for State governments, 1996",,,,,,,,
,,,,,,,,
,,"             Personal income,",,"                    Expenditure, fiscal 1996",,," Full-time equivalent employment",
,,"         calendar year 1995/a",,"                       (thousands of dollars) ",,,"                October 1995",
,,,,,,,,
"","","","","                All functions",,"","",""
"","Estimated","","",,"","","",
"","population as of","Amount","","Total (direct","Direct","","","General"
"","July 1, 1996","(millions of","","and inter-","expenditure","Total general","","functions"
"State","(thousands)","dollars)","Per capita","governmental)","only","expenditure/b","All functions","only/c"
,,,,,,,,
"Total",264741,6079436,22964,859599139,607594141,755310595,3971217,3943539
,,,,,,,,
"Alabama",4273,81578,19092,12126587,9049767,10991713,80993,80993
"Alaska",607,14488,23868,5629502,4571925,5104670,22060,21538
"Arizona",4428,86420,19517,11898144,7643009,10817960,58163,58155
"Arkansas",2510,44958,17912,7050461,5414424,6480997,47590,47590
"California",31878,760431,23854,113361355,64602748,98782722,338422,338422
,,,,,,,,
"Colorado",3823,89771,23482,10216917,7367002,8807456,57359,57359
"Connecticut",3274,104056,31783,13529622,11105275,11735554,63075,63075
"Delaware",725,18843,25990,3248174,2736860,2925526,22011,21544
"Florida",14400,326668,22685,36454217,25314445,33619115,174717,174247
"Georgia",7353,156555,21291,20013038,14727874,18588949,114778,114778
,,,,,,,,
"Hawaii",1184,29184,24649,5946676,5802343,5229112,51371,51371
"Idaho",1189,21993,18497,3501298,2502009,3082521,20870,20870
"Illinois",11847,298413,25189,34111276,25562212,30091928,140538,140528
"Indiana",5841,124384,21295,15367687,10276596,14422131,88559,88559
"Iowa",2852,59453,20846,8853150,6180830,8182909,53280,53280
,,,,,,,,
"Kansas",2572,56028,21784,7275754,5012854,6679811,47932,47932
"Kentucky",3884,72762,18734,11842386,9017289,10603330,73458,73458
"Louisiana",4351,82422,18943,14029815,11004015,12590706,92843,92843
"Maine",1243,24957,20078,4239839,3496649,3735430,21332,21332
"Maryland",5072,132784,26180,15554009,12315751,13355420,80964,78758
,,,,,,,,
"Massachusetts",6092,170185,27936,24949729,19789756,22789668,81762,80963
"Michigan",9594,228369,23803,35079667,21780566,31643604,140747,140747
"Minnesota",4658,110494,23721,17325287,11257014,15749033,72674,72674
"Mississippi",2716,44998,16568,8216867,5710438,7436968,50208,50208
"Missouri",5359,116154,21675,12944475,9510038,11854451,79302,79302
,,,,,,,,
"Montana",879,16052,18262,3136205,2436777,2729248,18078,18078
"Nebraska",1652,35161,21284,4489725,3313945,4320072,29609,29609
"Nevada",1603,37319,23281,4831342,3207072,4024021,20609,20586
"New Hampshire",1162,29381,25285,3240034,2847611,2841106,16853,16853
"New Jersey",7988,237155,29689,32314887,24543578,26035016,125006,124224
,,,,,,,,
"New Mexico",1713,30685,17913,6747602,4692293,6228775,42428,41595
"New York",18185,501965,27603,82420166,57002935,68865818,257495,238826
"North Carolina",7323,151841,20735,21220754,14567559,19410421,114692,114692
"North Dakota",644,11945,18548,2063612,1652281,1860406,16493,16493
"Ohio",11173,251037,22468,35517336,25463785,28492233,142580,142580
,,,,,,,,
"Oklahoma",3301,60901,18449,9265486,6728578,7911728,67543,67070
"Oregon",3204,67870,21183,11857897,8748278,9632720,52143,52143
"Pennsylvania",12056,284386,23589,38698546,29022618,33135802,151950,151950
"Rhode Island",990,23601,23839,4061406,3556083,3400206,20147,19610
"South Carolina",3699,69786,18866,12399928,9679487,10683485,78118,76283
,,,,,,,,
"South Dakota",732,14272,19497,1983498,1605264,1870029,14135,14135
"Tennessee",5320,110579,20786,13722981,10311888,12778276,84407,84365
"Texas",19128,397067,20758,46081839,33717344,41518628,268087,268085
"Utah",2000,35577,17789,6171775,4645009,5662759,42003,42003
"Vermont",589,12415,21078,2061085,1747918,1917761,12630,12630
,,,,,,,,
"Virginia",6675,158669,23771,17832931,13370249,16422524,115767,115767
"Washington",5533,129117,23336,21085737,15655799,17587160,95535,95535
"West Virginia",1826,32333,17707,6576406,5250976,5622818,34560,34560
"Wisconsin",5160,114042,22101,16989913,10699681,15251343,64478,64478
"Wyoming",481,9932,20649,2062116,1375444,1806556,10863,10863
,,,,,,,,
"Note:  ""Estimated population"" represents resident U.S. population (50 states excluding the District of Columbia)",,,,,,,,
"from the Bureau of the Census, Current Population Reports, July 1996.",,,,,,,,
"The October 1995 employment and payrolls data were used for both ",,,,,,,,
"1995 and 1996 Justice Expenditure and Employment Extracts.",,,,,,,,
"a/ ""Personal income"" is from the U.S. Department of Commerce, Survey of Current Business, August 1996.",,,,,,,,
"b/ ""Total general expenditure"" excludes utilities, State-operated liquor stores, and insurance trust benefits.",,,,,,,,
"c/ ""General functions only"" FTE excludes utilities, and State-operated liquor stores.",,,,,,,,
