"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9709.csv",,,,,,,,,,,,,,,,,,,,,,
"table 9:  Justice system expenditure of State governments by activity and ",,,,,,,,,,,,,,,,,,,,,,
"character and object, fiscal 1997",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,
"date of version:  11/29/2000",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 9.   Justice system expenditure of State governments by activity and ",,,,,,,,,,,,,,,,,,,,,,
"character and object, fiscal 1997",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"(Thousands of dollars)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"                                                      Total justice system",,,,,"                                                        Police protection",,,,,"                                                       Judicial and Legal",,,,,"                                                                       Corrections",,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,"                             Direct expenditure",,,,,"                             Direct expenditure",,,,,"                             Direct expenditure",,,,,"                                       Direct expenditure",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Inter-",,,,,"Inter-",,,,,"Inter-",,,,"                   Capital outlay",,"Inter-",
,,,,,"govern-",,,,,"govern-",,,,,"govern-",,,,,,"govern-",
,,"Total","Direct","Capital","mental",,"Total","Direct","Capital","mental",,"Total","Direct","Capital","mental",,"Total","Direct",,"Construct.","mental",
"State","Total","direct","current","outlay","expenditure","Total","direct","current","outlay","expenditure","Total","direct","current","outlay","expenditure","Total","direct","current","Total","only","expenditure","State"
,,,,,,,,,,,,,,,,,,,,,,
"Total",46444440,42353331,39415420,2937911,4091109,7500993,6669520,6191333,478187,831473,9802868,8566938,8109024,457914,1235930,29140579,27116873,25115063,2001810,1526759,2023706,"Total"
,,,,,,,,,,,,,,,,,,,,,,
"Alabama",473116,454685,441592,13093,18431,93163,79940,72749,7191,13223,146083,146083,144096,1987,0,233870,228662,224747,3915,1725,5208,"Alabama"
"Alaska",345041,335501,325006,10495,9540,56722,49854,48779,1075,6868,136193,136193,131244,4949,0,152126,149454,144983,4471,1717,2672,"Alaska"
"Arizona",818707,731339,665979,65360,87368,132094,123777,104200,19577,8317,122463,102861,98437,4424,19602,564150,504701,463342,41359,20858,59449,"Arizona"
"Arkansas",333292,315171,285071,30100,18121,60085,59135,47182,11953,950,67076,63232,62060,1172,3844,206131,192804,175829,16975,12423,13327,"Arkansas"
"California",5973220,5197179,4846468,350711,776041,1038589,925709,878246,47463,112880,966757,411336,405058,6278,555421,3967874,3860134,3563164,296970,250619,107740,"California"
,,,,,,,,,,,,,,,,,,,,,,
"Colorado",657243,628050,546243,81807,29193,55270,55222,54820,402,48,146456,146456,142494,3962,0,455517,426372,348929,77443,37594,29145,"Colorado"
"Connecticut",869016,868944,829237,39707,72,109559,109523,103187,6336,36,265649,265649,245380,20269,0,493808,493772,480670,13102,9045,36,"Connecticut"
"Delaware",249785,239973,234010,5963,9812,52294,49833,46217,3616,2461,71883,66993,65806,1187,4890,125608,123147,121987,1160,71,2461,"Delaware"
"Florida",2691366,2687711,2536042,151669,3655,319706,317387,295722,21665,2319,522462,521987,509739,12248,475,1849198,1848337,1730581,117756,88919,861,"Florida"
"Georgia",1133721,1101936,1019067,82869,31785,172147,169029,139325,29704,3118,79718,75582,74810,772,4136,881856,857325,804932,52393,33511,24531,"Georgia"
,,,,,,,,,,,,,,,,,,,,,,
"Hawaii",257424,248360,227932,20428,9064,7019,2632,2597,35,4387,118483,118193,114355,3838,290,131922,127535,110980,16555,15746,4387,"Hawaii"
"Idaho",178788,177017,166497,10520,1771,32247,30724,28156,2568,1523,44031,44031,42529,1502,0,102510,102262,95812,6450,5211,248,"Idaho"
"Illinois",1490510,1416824,1334913,81911,73686,303309,280479,262894,17585,22830,235924,227131,225476,1655,8793,951277,909214,846543,62671,50131,42063,"Illinois"
"Indiana",649917,634481,595253,39228,15436,152953,149918,135479,14439,3035,78315,78315,77080,1235,0,418649,406248,382694,23554,12291,12401,"Indiana"
"Iowa",410098,360360,355683,4677,49738,58567,57881,56317,1564,686,151040,146749,145935,814,4291,200491,155730,153431,2299,0,44761,"Iowa"
,,,,,,,,,,,,,,,,,,,,,,
"Kansas",356315,331115,314052,17063,25200,41166,41166,33493,7673,0,108982,102561,101232,1329,6421,206167,187388,179327,8061,3788,18779,"Kansas"
"Kentucky",619182,550426,521986,28440,68756,121365,108444,100803,7641,12921,237582,197869,192191,5678,39713,260235,244113,228992,15121,10777,16122,"Kentucky"
"Louisiana",722363,606800,585570,21230,115563,191760,155732,145080,10652,36028,113622,113622,111688,1934,0,416981,337446,328802,8644,1737,79535,"Louisiana"
"Maine",148959,147762,142418,5344,1197,39036,38632,35525,3107,404,43506,43117,42349,768,389,66417,66013,64544,1469,1182,404,"Maine"
"Maryland",1228304,1146420,1085561,60859,81884,250796,177278,170688,6590,73518,236105,235952,226908,9044,153,741403,733190,687965,45225,37212,8213,"Maryland"
,,,,,,,,,,,,,,,,,,,,,,
"Massachusetts",1637492,1286435,1119342,167093,351057,266975,212812,184009,28803,54163,559241,544748,452060,92688,14493,811276,528875,483273,45602,36238,282401,"Massachusetts"
"Michigan",1775228,1622805,1572763,50042,152423,253342,224827,215563,9264,28515,230784,137807,134584,3223,92977,1291102,1260171,1222616,37555,32381,30931,"Michigan"
"Minnesota",577435,491181,477391,13790,86254,89160,78075,72019,6056,11085,162920,143786,141453,2333,19134,325355,269320,263919,5401,1002,56035,"Minnesota"
"Mississippi",316272,300816,270241,30575,15456,56158,54999,50427,4572,1159,48085,48085,47030,1055,0,212029,197732,172784,24948,322,14297,"Mississippi"
"Missouri",675805,613225,575797,37428,62580,155908,119084,102731,16353,36824,151779,129570,125949,3621,22209,368118,364571,347117,17454,206,3547,"Missouri"
,,,,,,,,,,,,,,,,,,,,,,
"Montana",142382,118606,107776,10830,23776,32673,23360,21317,2043,9313,27207,22057,21507,550,5150,82502,73189,64952,8237,7832,9313,"Montana"
"Nebraska",185390,176603,163974,12629,8787,45551,36764,33136,3628,8787,34209,34209,33688,521,0,105630,105630,97150,8480,6937,0,"Nebraska"
"Nevada",247400,245678,215223,30455,1722,39307,39172,36789,2383,135,27610,26864,26666,198,746,180483,179642,151768,27874,26850,841,"Nevada"
"New Hampshire",156632,154350,148051,6299,2282,29158,29158,25470,3688,0,67670,65783,64337,1446,1887,59804,59409,58244,1165,754,395,"New Hampshire"
"New Jersey",1687520,1573861,1524077,49784,113659,236487,233626,229374,4252,2861,448896,447488,442387,5101,1408,1002137,892747,852316,40431,24837,109390,"New Jersey"
,,,,,,,,,,,,,,,,,,,,,,
"New Mexico",361410,359869,336750,23119,1541,58008,57658,53132,4526,350,116911,116911,110991,5920,0,186491,185300,172627,12673,12305,1191,"New Mexico"
"New York",4042711,3623637,3267830,355807,419074,344324,318217,296296,21921,26107,1411084,1273097,1106785,166312,137987,2287303,2032323,1864749,167574,148994,254980,"New York"
"North Carolina",1475000,1419365,1327385,91980,55635,219378,201385,179906,21479,17993,320335,315652,310736,4916,4683,935287,902328,836743,65585,45315,32959,"North Carolina"
"North Dakota",60688,58465,55486,2979,2223,8617,8617,8214,403,0,30748,29156,27188,1968,1592,21323,20692,20084,608,408,631,"North Dakota"
"Ohio",1658810,1510877,1359635,151242,147933,204209,189923,169281,20642,14286,191398,166672,161691,4981,24726,1263203,1154282,1028663,125619,92225,108921,"Ohio"
,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma",528770,495359,467767,27592,33411,52558,52519,47809,4710,39,124236,106767,104868,1899,17469,351976,336073,315090,20983,12796,15903,"Oklahoma"
"Oregon",717226,625094,484490,140604,92132,146405,104600,103149,1451,41805,141529,141529,140015,1514,0,429292,378965,241326,137639,133717,50327,"Oregon"
"Pennsylvania",2071220,1924145,1828379,95766,147075,647215,636266,625578,10688,10949,346152,248821,247300,1521,97331,1077853,1039058,955501,83557,72124,38795,"Pennsylvania"
"Rhode Island",237557,235761,227781,7980,1796,32843,31945,30242,1703,898,84118,84118,81653,2465,0,120596,119698,115886,3812,2748,898,"Rhode Island"
"South Carolina",655012,632965,584958,48007,22047,159579,153363,143528,9835,6216,59973,50358,49349,1009,9615,435460,429244,392081,37163,28428,6216,"South Carolina"
,,,,,,,,,,,,,,,,,,,,,,
"South Dakota",94177,93475,81389,12086,702,16203,16159,14747,1412,44,18097,17588,17011,577,509,59877,59728,49631,10097,9379,149,"South Dakota"
"Tennessee",711291,617154,576068,41086,94137,95724,90203,87512,2691,5521,146326,136936,135808,1128,9390,469241,390015,352748,37267,35038,79226,"Tennessee"
"Texas",2941531,2838742,2715692,123050,102789,293623,287534,257978,29556,6089,395271,385856,371137,14719,9415,2252637,2165352,2086577,78775,55957,87285,"Texas"
"Utah",364355,362359,319318,43041,1996,57567,57567,54002,3565,0,130432,129434,92960,36474,998,176356,175358,172356,3002,356,998,"Utah"
"Vermont",104856,103896,100298,3598,960,30086,29606,27417,2189,480,30587,30587,29998,589,0,44183,43703,42883,820,0,480,"Vermont"
,,,,,,,,,,,,,,,,,,,,,,
"Virginia",1423707,962231,926689,35542,461476,326050,161214,144405,16809,164836,273708,182697,179071,3626,91011,823949,618320,603213,15107,2103,205629,"Virginia"
"Washington",903937,757339,648252,109087,146598,202081,129404,117340,12064,72677,66844,65600,58413,7187,1244,635012,562335,472499,89836,74745,72677,"Washington"
"West Virginia",190022,190022,168082,21940,0,41030,41030,34476,6554,0,54087,54087,52663,1424,0,94905,94905,80943,13962,12224,0,"West Virginia"
"Wisconsin",816417,705569,638199,67370,110848,59168,57631,55003,2628,1537,183607,160936,157867,3069,22671,573642,487002,425329,61673,53321,86640,"Wisconsin"
"Wyoming",77820,73393,67757,5636,4427,13759,10507,9024,1483,3252,26694,25827,24992,835,867,37367,37059,33741,3318,2660,308,"Wyoming"
