"Bureau of Justice Statistics",,,,,,,,,,
"filename:  cjee9710.csv",,,,,,,,,,
"table 10:  Detail of direct expenditure for correctional activities of State governments",,,,,,,,,,
"by character and object, fiscal 1997",,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,
"date of version:  11/29/2000",,,,,,,,,,
,,,,,,,,,,
"Table 10.   Detail of direct expenditure for correctional activities of State governments",,,,,,,,,,
"by character and object, fiscal 1997",,,,,,,,,,
,,,,,,,,,,
"(Dollar amounts in thousands)",,,,,,,,,,
,,,,,,,,,,
"","","                                                             Institutions",,,,,"                                      Other corrections",,,
"","",,,,,,,,,
"","","","",,,"Percent","","",,"Percent"
"","Total","","",,,"of total","","",,"of total"
"","corrections","","","                  Capital outlay",,"corrections","","","","corrections"
,"direct","","Direct","","","direct","","Direct","Capital","direct"
"State","expenditure","Total","current","Construction","Other","expenditure","Total","current","outlay","expenditure"
,,,,,,,,,,
"Total",27116873,22289014,20614214,1336567,338233,82.2,4827859,4500849,327010,17.8
,,,,,,,,,,
"Alabama",228662,171521,169408,426,1687,75.0,57141,55339,1802,25.0
"Alaska",149454,137504,133086,1717,2701,92.0,11950,11897,53,8.0
"Arizona",504701,434962,396515,19958,18489,86.2,69739,66827,2912,13.8
"Arkansas",192804,159192,149955,5754,3483,82.6,33612,25874,7738,17.4
"California",3860134,3503350,3217649,250619,35082,90.8,356784,345515,11269,9.2
,,,,,,,,,,
"Colorado",426372,272680,197235,37553,37892,64.0,153692,151694,1998,36.0
"Connecticut",493772,382951,373740,8202,1009,77.6,110821,106930,3891,22.4
"Delaware",123147,89294,89017,0,277,72.5,33853,32970,883,27.5
"Florida",1848337,1226823,1162511,53323,10989,66.4,621514,568070,53444,33.6
"Georgia",857325,614637,581340,26465,6832,71.7,242688,223592,19096,28.3
,,,,,,,,,,
"Hawaii",127535,110756,94403,15745,608,86.8,16779,16577,202,13.2
"Idaho",102262,89269,83183,5211,875,87.3,12993,12629,364,12.7
"Illinois",909214,791426,735509,48892,7025,87.0,117788,111034,6754,13.0
"Indiana",406248,373221,352036,12291,8894,91.9,33027,30658,2369,8.1
"Iowa",155730,149992,147720,0,2272,96.3,5738,5711,27,3.7
,,,,,,,,,,
"Kansas",187388,154008,146271,3776,3961,82.2,33380,33056,324,17.8
"Kentucky",244113,182211,171576,7983,2652,74.6,61902,57416,4486,25.4
"Louisiana",337446,259986,254762,1737,3487,77.0,77460,74040,3420,23.0
"Maine",66013,51113,49663,1182,268,77.4,14900,14881,19,22.6
"Maryland",733190,431682,407609,21093,2980,58.9,301508,280356,21152,41.1
,,,,,,,,,,
"Massachusetts",528875,447218,406859,32915,7444,84.6,81657,76414,5243,15.4
"Michigan",1260171,1108181,1072522,32381,3278,87.9,151990,150094,1896,12.1
"Minnesota",269320,181363,179364,306,1693,67.3,87957,84555,3402,32.7
"Mississippi",197732,178555,154147,322,24086,90.3,19177,18637,540,9.7
"Missouri",364571,302621,287308,206,15107,83.0,61950,59809,2141,17.0
,,,,,,,,,,
"Montana",73189,43939,35807,7832,300,60.0,29250,29145,105,40.0
"Nebraska",105630,59993,54308,5498,187,56.8,45637,42842,2795,43.2
"Nevada",179642,156699,129355,26850,494,87.2,22943,22413,530,12.8
"New Hampshire",59409,48146,47537,463,146,81.0,11263,10707,556,19.0
"New Jersey",892747,640270,604824,24281,11165,71.7,252477,247492,4985,28.3
,,,,,,,,,,
"New Mexico",185300,145627,133138,12305,184,78.6,39673,39489,184,21.4
"New York",2032323,1735089,1578746,138982,17361,85.4,297234,286003,11231,14.6
"North Carolina",902328,748707,691681,43062,13964,83.0,153621,145062,8559,17.0
"North Dakota",20692,17234,16628,408,198,83.3,3458,3456,2,16.7
"Ohio",1154282,940585,843725,86902,9958,81.5,213697,184938,28759,18.5
,,,,,,,,,,
"Oklahoma",336073,196366,181692,12154,2520,58.4,139707,133398,6309,41.6
"Oregon",378965,308264,196192,111635,437,81.3,70701,45134,25567,18.7
"Pennsylvania",1039058,986749,903192,72124,11433,95.0,52309,52309,0,5.0
"Rhode Island",119698,108835,107447,365,1023,90.9,10863,8439,2424,9.1
"South Carolina",429244,382257,345972,28428,7857,89.1,46987,46109,878,10.9
,,,,,,,,,,
"South Dakota",59728,29228,28853,77,298,48.9,30500,20778,9722,51.1
"Tennessee",390015,330706,294272,35037,1397,84.8,59309,58476,833,15.2
"Texas",2165352,1936518,1864278,50134,22106,89.4,228834,222299,6535,10.6
"Utah",175358,121132,118421,250,2461,69.1,54226,53935,291,30.9
"Vermont",43703,38449,37748,0,701,88.0,5254,5135,119,12.0
,,,,,,,,,,
"Virginia",618320,589959,575882,2103,11974,95.4,28361,27331,1030,4.6
"Washington",562335,435127,349918,74494,10715,77.4,127208,122581,4627,22.6
"West Virginia",94905,87079,73118,12224,1737,91.8,7826,7825,1,8.2
"Wisconsin",487002,367857,361727,242,5888,75.5,119145,63602,55543,24.5
"Wyoming",37059,29683,26365,2660,658,80.1,7376,7376,0,19.9
