"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9711.csv",,,,,,,,,,,,,,,,,,,,,
"table 11:  Justice system employment and payrolls of State governments by activity, March 1997",,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,
"date of version:  11/29/2000",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 11.   Justice system employment and payrolls of State governments by activity, March 1997",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"                                                    Total justice system",,,,,"                                                    Police protection",,,,,"                                                    Judicial and Legal",,,,,"                                                          Corrections",,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,"Average",,,,,"Average",,,,,"Average",,,,,"Average",
,"                                    Employment",,,"March","earnings of","                                    Employment",,,"March","earnings of","                                    Employment",,,"March","earnings of","                                    Employment",,,"March","earnings of",
,,,,"payrolls","full-time",,,,"payrolls","full-time",,,,"payrolls","full-time",,,,"payrolls","full-time",
,"Total","Full-time","Full-time","(thousands","employees","Total","Full-time","Full-time","(thousands","employees","Total","Full-time","Full-time","(thousands","employees","Total","Full-time","Full-time","(thousands","employees",
"State","employees","employees","equivalent","of dollars)","(dollars)","employees","employees","equivalent","of dollars)","(dollars)","employees","employees","equivalent","of dollars)","(dollars)","employees","employees","equivalent","of dollars)","(dollars)","State"
,,,,,,,,,,,,,,,,,,,,,
"Total",690807,648933,662881,1956789,2960,93945,91112,92246,306667,3337,138674,129887,134980,466917,3491,458188,427934,435655,1183205,2719,"Total"
,,,,,,,,,,,,,,,,,,,,,
"Alabama",8373,8186,8285,22444,2720,1276,1239,1247,4054,3263,2892,2760,2841,8191,2914,4205,4187,4197,10199,2432,"Alabama"
"Alaska",2931,2840,2877,11898,4147,427,426,427,1986,4658,1230,1144,1178,4772,4072,1274,1270,1272,5140,4042,"Alaska"
"Arizona",11129,10991,11054,28241,2555,1718,1705,1708,5554,3254,1239,1146,1190,4236,3587,8172,8140,8156,18451,2264,"Arizona"
"Arkansas",4923,4902,4915,10463,2130,932,932,932,2456,2636,390,375,382,1718,4539,3601,3595,3601,6289,1748,"Arkansas"
"California",61349,55878,59280,230252,3935,13238,12012,12337,48489,3935,2903,2631,2750,13268,4846,45208,41235,44193,168495,3877,"California"
,,,,,,,,,,,,,,,,,,,,,
"Colorado",9013,8267,8657,26809,3087,1137,1123,1126,3325,2946,3292,2643,2980,10212,3440,4584,4501,4551,13272,2915,"Colorado"
"Connecticut",13423,13213,13370,43322,3244,1697,1658,1690,6360,3792,3568,3479,3549,11296,3189,8158,8076,8131,25666,3156,"Connecticut"
"Delaware",4281,4079,4185,11864,2855,848,822,840,3023,3636,1333,1316,1323,3607,2725,2100,1941,2022,5235,2613,"Delaware"
"Florida",74008,54773,55590,160948,2915,4011,3933,3973,10920,2763,14087,13594,13941,44207,3196,55910,37246,37676,105822,2829,"Florida"
"Georgia",20804,20391,20617,48817,2371,2224,2182,2210,6132,2793,1211,1156,1184,5048,4279,17369,17053,17223,37637,2187,"Georgia"
,,,,,,,,,,,,,,,,,,,,,
"Hawaii",4258,4185,4217,11652,2758,"-","-","-","-","-",2090,2041,2061,6394,3097,2168,2144,2156,5259,2435,"Hawaii"
"Idaho",2496,2353,2447,6701,2781,436,408,421,1263,3037,439,419,432,1731,4062,1621,1526,1594,3707,2361,"Idaho"
"Illinois",21537,21354,21428,72988,3404,4089,4088,4089,15306,3744,3076,2922,2977,14228,4793,14372,14344,14362,43454,3025,"Illinois"
"Indiana",9279,9100,9242,24199,2612,1997,1993,1996,6195,3107,1077,917,1047,3862,3779,6205,6190,6199,14141,2280,"Indiana"
"Iowa",5747,5365,5625,17222,3096,966,962,963,3031,3148,2348,2063,2263,7113,3242,2433,2340,2399,7078,2947,"Iowa"
,,,,,,,,,,,,,,,,,,,,,
"Kansas",6674,6405,6524,17140,2650,987,970,976,2641,2714,2178,1936,2044,5352,2686,3509,3499,3504,9147,2612,"Kansas"
"Kentucky",11151,10018,10759,25554,2400,1824,1759,1820,4956,2728,4101,3318,3839,9632,2602,5226,4941,5100,10966,2148,"Kentucky"
"Louisiana",9734,9543,9610,21104,2204,1097,1090,1093,2532,2318,1794,1702,1728,5537,3233,6843,6751,6789,13036,1926,"Louisiana"
