"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9716.csv",,,,,,,,,,,,,,,,,,,,,
"table 16:  Justice system employment and payrolls of 49 large city governments by activity, March 1997",,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,
"date of version:  07/10/01",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Table 16. Justice system employment and payrolls of 49 large city governments by activity, March 1997",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"                                                    Total justice system",,,,,"                                                     Police protection",,,,,"                                                       Judicial and legal",,,,,"                                                    Corrections",,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,"Average",,,,,"Average",,,,,"Average",,,,,"Average",
,"                                   Employment",,,"March","earnings of","                                   Employment",,,"March","earnings of","                                   Employment",,,"March","earnings of","                                   Employment",,,"March","earnings of",
,,,,"payrolls","full-time",,,,"payrolls","full-time",,,,"payrolls","full-time",,,,"payrolls","full-time",
,"Total","Full-time","Full-time","(thousands","employees","Total","Full-time","Full-time","(thousands","employees","Total","Full-time","Full-time","(thousands","employees","Total","Full-time","Full-time","(thousands","employees",
"City","employees","employees","equivalent","of dollars)","(dollars)","employees","employees","equivalent","of dollars)","(dollars)","employees","employees","equivalent","of dollars)","(dollars)","employees","employees","equivalent","of dollars)","(dollars)","City"
,,,,,,,,,,,,,,,,,,,,,
"Albuquerque, NM",1845,1673,1749,4738,2768,1382,1214,1287,3549,2840,72,72,72,216,3002,391,387,390,973,2498,"Albuquerque, NM"
"Atlanta, GA",2956,2834,2871,8309,2897,2090,1990,2016,5588,2790,391,369,380,1136,2912,475,475,475,1585,3337,"Atlanta, GA"
"Austin, TX",1793,1623,1661,5484,3347,1534,1385,1409,4806,3450,259,238,252,678,2749,0,0,0,0,0,"Austin, TX"
"Baltimore, MD",4843,4485,4676,14552,3191,4143,3785,3976,12311,3189,700,700,700,2240,3201,0,0,0,0,0,"Baltimore, MD"
"Baton Rouge, LA",2100,1864,1943,5732,2976,1239,1093,1149,3463,3114,482,392,415,1096,2473,379,379,379,1173,3096,"Baton Rouge, LA"
"Boston, MA",4087,3900,4007,13631,3463,2949,2762,2869,10026,3585,46,46,46,169,3669,1092,1092,1092,3436,3147,"Boston, MA"
,,,,,,,,,,,,,,,,,,,,,
"Buffalo, NY",1342,1145,1229,3989,3390,1309,1115,1198,3881,3385,33,30,31,108,3556,0,0,0,0,0,"Buffalo, NY"
"Charlotte, NC",1703,1603,1631,4869,3018,1689,1591,1618,4812,3007,14,12,13,57,4470,0,0,0,0,0,"Charlotte, NC"
"Chicago, IL",17614,17614,17614,87197,4950,17172,17172,17172,85409,4974,442,442,442,1789,4047,0,0,0,0,0,"Chicago, IL"
"Cincinnati, OH",1818,1788,1799,5368,2987,1267,1260,1267,3961,3138,299,276,280,757,2674,252,252,252,650,2580,"Cincinnati, OH"
"Cleveland, OH",3432,2907,3041,9742,3241,2819,2350,2456,8151,3357,529,479,503,1370,2758,84,78,82,221,2718,"Cleveland, OH"
"Columbus, OH",2530,2486,2513,8919,3569,2087,2086,2086,7809,3743,393,351,377,979,2663,50,49,50,130,2614,"Columbus, OH"
,,,,,,,,,,,,,,,,,,,,,
"Dallas, TX",4241,4159,4241,13536,3225,3843,3827,3843,12417,3238,398,332,398,1119,3075,0,0,0,0,0,"Dallas, TX"
"Denver, CO",3223,3194,3208,11578,3614,1828,1826,1827,6979,3822,609,582,595,2110,3567,786,786,786,2489,3167,"Denver, CO"
"Detroit, MI",4834,4834,4834,15074,3118,4576,4576,4576,14148,3092,258,258,258,925,3587,0,0,0,0,0,"Detroit, MI"
"El Paso, TX",1423,1408,1413,4325,3064,1313,1308,1310,4061,3103,110,100,103,264,2561,0,0,0,0,0,"El Paso, TX"
"Fort Worth, TX",,,,,,,,,,3016,156,140,149,345,2356,0,0,0,0,0,"Fort Worth, TX"
"Honolulu, HI",2792,2631,2664,10445,3950,2448,2301,2329,9241,3997,344,330,335,1204,3622,0,0,0,0,0,"Honolulu, HI"
,,,,,,,,,,,,,,,,,,,,,
"Houston, TX",8251,8123,8187,22018,2669,7370,7350,7360,20066,2727,881,773,827,1953,2113,0,0,0,0,0,"Houston, TX"
