"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9811.csv",,,,,,,,,,,,,,,,,,,,,,,,
"table 11.  Justice system employment and payrolls of State governments by activity, March 1998",,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  9/19/2001",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11.   Justice system employment and payrolls of State governments by activity, March 1998",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                         Total justice system",,,,,,"                                                           Police protection",,,,,,"                                                          Judicial and Legal",,,,,,"                                                                     Corrections",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Average",,,,,,"Average",,,,,,"Average",,,,,,"Average",
,"                                       Employment",,,"March","earnings of",,"                                      Employment",,,"March","earnings of",,"                                      Employment",,,"March","earnings of",,"                                       Employment",,,"March","earnings of",
,,,,"Payrolls","full-time",,,,,"payrolls","full-time",,,,,"payrolls","full-time",,,,,"payrolls","full-time",
,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",
"State","employees","employees","equivalent","of dollars)","(dollars)",,"employees","employees","equivalent","of dollars)","(dollars)",,"employees","employees","equivalent","of dollars)","(dollars)",,"employees","employees","equivalent","of dollars)","(dollars)","State"
,,,,,,,,,,,,,,,,,,,,,,,,
"Total",705512,663742,677545,2051111,3037,,94628,91915,93156,319000,3440,,143650,134372,139678,493309,3565,,467234,437455,444711,1238803,2790,"Total"
,,,,,,,,,,,,,,,,,,,,,,,,
"Alabama",8676,8479,8605,23530,2751,,1262,1223,1236,4333,3530,,3025,2882,2987,8711,2963,,4389,4374,4382,10485,2394,"Alabama"
"Alaska",2996,2853,2893,12134,4211,,481,422,430,2028,4768,,1230,1149,1179,4882,4163,,1285,1282,1284,5224,4071,"Alaska"
"Arizona",11329,11151,11230,30929,2743,,1721,1709,1712,5568,3255,,1409,1316,1359,4741,3442,,8199,8126,8159,20621,2522,"Arizona"
"Arkansas",5004,4989,4996,11652,2333,,1082,1082,1082,2789,2577,,402,394,396,1809,4575,,3520,3513,3518,7055,2006,"Arkansas"
"California",62634,57966,61068,234608,3890,,12929,11921,12295,47093,3858,,3233,2949,3087,14869,4839,,46472,43096,45686,172645,3834,"California"
,,,,,,,,,,,,,,,,,,,,,,,,
"Colorado",9711,8877,9320,30227,3238,,1339,1293,1319,4433,3361,,3432,2721,3091,10757,3494,,4940,4863,4910,15037,3061,"Colorado"
"Connecticut",13898,13712,13837,46653,3372,,1633,1594,1624,6739,4181,,3671,3577,3644,11715,3210,,8594,8541,8569,28199,3289,"Connecticut"
"Delaware",4515,4330,4410,12870,2935,,855,822,842,3032,3637,,1430,1406,1416,4042,2855,,2230,2102,2152,5795,2714,"Delaware"
"Florida",70233,50951,51791,157157,3057,,3922,3803,3875,11430,2973,,15951,15409,15769,51624,3294,,50360,31739,32147,94103,2952,"Florida"
"Georgia",21702,20831,21272,51152,2404,,2138,2088,2117,6102,2898,,1240,1150,1192,5364,4528,,18324,17593,17963,39686,2206,"Georgia"
,,,,,,,,,,,,,,,,,,,,,,,,
"Hawaii",4476,4398,4425,12355,2787,,"-","-","-","-","-",,2200,2147,2162,6845,3159,,2276,2251,2263,5509,2433,"Hawaii"
"Idaho",2534,2396,2476,7145,2927,,436,408,421,1263,3037,,440,426,431,1817,4240,,1658,1562,1624,4064,2540,"Idaho"
"Illinois",21911,21732,21814,76381,3501,,3982,3980,3981,15654,3933,,3114,2955,3030,14788,4918,,14815,14797,14803,45938,3103,"Illinois"
"Indiana",9294,9118,9257,24148,2602,,2034,2033,2034,6156,3028,,1085,924,1054,3947,3838,,6175,6161,6169,14045,2276,"Indiana"
"Iowa",6184,5742,6015,17578,2950,,969,936,944,3144,3329,,2449,2161,2344,7185,3146,,2766,2645,2727,7250,2657,"Iowa"
,,,,,,,,,,,,,,,,,,,,,,,,
"Kansas",6654,6362,6491,16298,2531,,1002,986,992,2689,2718,,2216,1965,2074,5549,2743,,3436,3411,3425,8060,2354,"Kansas"
