"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9816.csv",,,,,,,,,,,,,,,,,,,,,,,,
"table 16.  Justice system employment and payrolls of 49 large city governments by activity, March 1998",,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  10/12/2001",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 16. Justice system employment and payrolls of 49 large city governments by activity, March 1998",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                Total justice system",,,,,,"                                                     Police protection",,,,,,"                                                        Judicial and legal",,"    Judicial and legal",,,,"                                                      Corrections",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"                                Employment",,,,"Average",,"                                Employment",,,,"Average",,"                                Employment",,,,"Average",,"                               Employment",,,,"Average",
,,,,"March","earnings of",,,,,"March","earnings of",,,,,"March","earnings of",,,,,"March","earnings of",
,,,,"payrolls","full-time",,,,,"payrolls","full-time",,,,,"payrolls","full-time",,,,,"payrolls","full-time",
,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands ","employees",,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",
"City","employees","employees","equivalent","of dollars)","(dollars)",,"employees","employees","equivalent","of dollars)","(dollars)",,"employees","employees","equivalent","of dollars)","(dollars)",,"employees","employees","equivalent","of dollars)","(dollars)","City"
,,,,,,,,,,,,,,,,,,,,,,,,
"Albuquerque, NM",,,,,,,,,,,,,,,,,,,,,,,,"Albuquerque, NM"
"Atlanta, GA",3144,2980,3039,8633,2839,,2214,2130,2150,5863,2738,,411,331,370,1087,2853,,519,519,519,1683,3242,"Atlanta, GA"
"Austin, TX",,,,,,,,,,,,,,,,,,,,,,,,"Austin, TX"
