"Bureau of Justice Statistics",,,,,,,,,,,
"filename:  cjee9818.csv",,,,,,,,,,,
"table 18.  Supplemental data for State governments",,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,
"date of version:  9/19/2001",,,,,,,,,,,
,,,,,,,,,,,
"Table 18. Supplemental data for State governments",,,,,,,,,,,
,,,,,,,,,,,
,,,"                  Personal income,",,,"                               Expenditures, fiscal 1998",,,,"    Full-time equivalent employment",
,,,"             calendar year 1998/a",,,"                                (thousands of dollars)",,,,"                     March 1998",
,,,,,,,,,,,
"","",,"","",,"                            All functions",,"",,"",""
"","Estimated",,"","",,,"","",,"",
"","population as of",,"Amount","",,"Total (direct","Direct","",,"",""
"","July 1, 1998",,"(millions of","",,"and inter-","expenditure","Total general",,"","General"
"State","(thousands)",,"dollars)","Per capita",,"governmental)","only","expenditure/b",,"All functions","functions only/c"
,,,,,,,,,,,
"Total",269773,,7332800,27181,,929951588,559985111,822110230,,3985350,3949446
,,,,,,,,,,,
"Alabama",4352,,96000,22059,,13728431,9201518,12475614,,82483,79508
"Alaska",614,,17100,27850,,5803173,4271630,5226139,,22147,22147
"Arizona",4669,,113000,24202,,13327967,7073994,12069852,,61904,61896
"Arkansas",2538,,53700,21158,,8103515,5462072,7572068,,49351,49351
"California",32667,,920500,28178,,120329505,55712374,106332637,,335353,335353
,,,,,,,,,,,
"Colorado",3971,,119000,29967,,11277701,6950681,10104647,,61476,61476
"Connecticut",3274,,122200,37324,,14516273,10253411,12680829,,60853,60853
"Delaware",744,,21900,29435,,3465428,2655190,3171696,,22080,21561
"Florida",14916,,400200,26830,,39214010,24193684,36549877,,176953,175787
"Georgia",7642,,197300,25818,,21736052,13970490,20271865,,112373,112373
,,,,,,,,,,,
"Hawaii",1193,,31900,26739,,5860425,5114420,5261479,,52615,52615
"Idaho",1229,,27200,22132,,3785613,2312650,3376692,,22041,21825
"Illinois",12045,,360300,29913,,35685258,22143271,31721198,,138539,138539
"Indiana",5899,,148700,25208,,17223182,10395011,16277898,,82850,82850
