Bureau of Justice Statistics,,,,,,,
Filename:  cjee08fn02.csv,,,,,,,
"Table 2.   Percent distribution of employment and payrolls for the justice system by level of government, March 2008",,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2008 - Final, NCJ 237912",,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,
Author: Tracey Kyckelhahn,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,
Date of version:  5/30/2012,,,,,,,
,,,,,,,
"Table 2.   Percent distribution of employment and payrolls for the justice system by level of government, March 2008",,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,
,,,,,,,
,,,,,Percent distribution,,
Activity,All governments,Federal government,State governments,Local governments,Federal government,State governments,Local governments
,,,,,,,
Total justice system:,,,,,,,
Total employees,2510152,275658,776596,1457898,11,30.9,58.1
Full time employees,-,-,753246,1302591,-,36.6,63.4
Full-time eqivalent employment,-,-,765753,1361815,-,36,64
March payrolls,11320861,1663385,3324639,6332837,14.7,29.4,55.9
,,,,,,,
Police protection:,,,,,,,
Total employees,1196616,176885,110040,909691,14.8,9.2,76
Full time employees,-,-,106806,805782,-,11.7,88.3
Full-time equivalent employment,-,-,108044,844096,-,11.3,88.7
March payrolls,5744602,1045884,540920,4157798,18.2,9.4,72.4
,,,,,,,
Judicial and legal:,,,,,,,
Total employees,518711,62003,180797,275911,12,34.9,53.2
Full time employees,-,-,170853,239851,-,41.6,58.4
Full-time equivalent employment,-,-,176319,252900,-,41.1,58.9
March payrolls,2397412,419091,862368,1115953,17.5,36,46.5
,,,,,,,
Corrections:,,,,,,,
Total employees,794825,36770,485759,272296,4.6,61.1,34.3
Full time employees,-,-,475587,256958,-,64.9,35.1
Full-time equivalent employment,-,-,481390,264819,-,64.5,35.5
March payrolls,3178847,198411,1921350,1059086,6.2,60.4,33.3
,,,,,,,
Notes:  Local government data are estimates subject to sampling variability.,,,,,,,
The federal budget source provides only total employment for the federal government; that figure is included in the denominator used to compute the percent distribution of full time employees and full time equivalent employment for state and local governments.,,,,,,,
