Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename:  cjee08fn05.csv,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by state and type of government, March 2008",,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2008 - Final, NCJ 237912",,,,,,,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version:  5/30/2012,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by state and type of government, March 2008",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,
,,,Full-time equivalent employment,,,,,Full-time equivalent employment,,,,Full-time equivalent employment,,,,Full-time equivalent employment,,
,,Number of employees,,,,Number of employees,,,,Number of employees,,,,Number of employees,,,,
State and type of government,Total full-time equivalent employment/a,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,Total,Full-time only,Number,Percent of total full-time equivalent employment/b,State and type of government
,,,,,,,,,,,,,,,,,,
"States-local, total",16668184,2234494,2055837,2127568,12.8,1019731,912588,952140,44.8,456708,410704,429219,20.2,758055,732545,746209,35.1,"States-local, total"
State,4362688,776596,753246,765753,17.6,110040,106806,108044,14.1,180797,170853,176319,23,485759,475587,481390,62.9,State
"Local, total",12305496,1457898,1302591,1361815,11.1,909691,805782,844096,62,275911,239851,252900,18.6,272296,256958,264819,19.4,"Local, total"
Counties,2695935,719769,665705,690295,25.6,275487,253696,262708,38.1,206281,188309,196493,28.5,238001,223700,231094,33.5,Counties
Municipalities,3022480,738129,636886,671520,22.2,634204,552086,581388,86.6,69630,51542,56407,8.4,34295,33258,33725,5,Municipalities
,,,,,,,,,,,,,,,,,,
Alabama,288830,28520,26477,27240,9.4,14387,13133,13644,50.1,5559,5042,5144,18.9,8574,8302,8452,31,Alabama
State,89456,10175,10072,10102,11.3,1354,1354,1354,13.4,3661,3582,3601,35.6,5160,5136,5147,51,State
"Local, total",199374,18345,16405,17138,8.6,13033,11779,12290,71.7,1898,1460,1543,9,3414,3166,3305,19.3,"Local, total"
Counties,20011,7267,6553,6872,34.3,3212,2933,3065,44.6,924,708,764,11.1,3131,2912,3043,44.3,Counties
Municipalities,40547,11078,9852,10266,25.3,9821,8846,9225,89.9,974,752,779,7.6,283,254,262,2.6,Municipalities
,,,,,,,,,,,,,,,,,,
Alaska,53513,5268,4981,5104,9.5,1823,1677,1736,34,1526,1449,1482,29,1919,1855,1886,37,Alaska
State,25885,3729,3546,3610,13.9,461,408,415,11.5,1414,1342,1371,38,1854,1796,1824,50.5,State
"Local, total",27628,1539,1435,1494,5.4,1362,1269,1321,88.4,112,107,111,7.4,65,59,62,4.1,"Local, total"
Boroughs,9672,136,130,132,1.4,98,95,95,72,29,26,28,21.2,9,9,9,6.8,Boroughs
Municipalities,17349,1403,1305,1362,7.9,1264,1174,1226,90,83,81,83,6.1,56,50,53,3.9,Municipalities
,,,,,,,,,,,,,,,,,,
Arizona,324168,50676,49106,49733,15.3,22231,21657,21852,43.9,11896,11166,11451,23,16549,16283,16430,33,Arizona
State,73004,15077,14905,14994,20.5,2201,2166,2182,14.6,2381,2276,2330,15.5,10495,10463,10482,69.9,State
"Local, total",251164,35599,34201,34739,13.8,20030,19491,19670,56.6,9515,8890,9121,26.3,6054,5820,5948,17.1,"Local, total"
Counties,33145,19121,18525,18829,56.8,5919,5845,5878,31.2,7232,6917,7077,37.6,5970,5763,5874,31.2,Counties
Municipalities,55743,16478,15676,15910,28.5,14111,13646,13792,86.7,2283,1973,2044,12.8,84,57,74,0.5,Municipalities
,,,,,,,,,,,,,,,,,,
Arkansas,166044,20061,18450,18989,11.4,8796,8043,8336,43.9,3726,2994,3183,16.8,7539,7413,7470,39.3,Arkansas
State,61103,8083,7922,7945,13,1221,1221,1221,15.4,1618,1462,1484,18.7,5244,5239,5240,66,State
"Local, total",104941,11978,10528,11044,10.5,7575,6822,7115,64.4,2108,1532,1699,15.4,2295,2174,2230,20.2,"Local, total"
Counties,12534,5612,5026,5263,42,2229,1951,2071,39.4,1138,949,1011,19.2,2245,2126,2181,41.4,Counties
Municipalities,20001,6366,5502,5781,28.9,5346,4871,5044,87.3,970,583,688,11.9,50,48,49,0.8,Municipalities
,,,,,,,,,,,,,,,,,,
California,1845608,263809,248615,255751,13.9,115767,107314,110760,43.3,51536,48811,50294,19.7,96506,92490,94697,37,California
State,393989,80733,77005,78628,20,14123,12884,13163,16.7,5091,4613,4806,6.1,61519,59508,60659,77.1,State
"Local, total",1451619,183076,171610,177123,12.2,101644,94430,97597,55.1,46445,44198,45488,25.7,34987,32982,34038,19.2,"Local, total"
Counties,367802,115277,109692,112505,30.6,39203,37607,38219,34,42485,40417,41614,37,33589,31668,32672,29,Counties
Municipalities,253155,67799,61918,64618,25.5,62441,56823,59378,91.9,3960,3781,3874,6,1398,1314,1366,2.1,Municipalities
,,,,,,,,,,,,,,,,,,
Colorado,264696,33025,31099,31998,12.1,14808,14213,14418,45.1,7070,5938,6522,20.4,11147,10948,11058,34.6,Colorado
State,69400,12795,11945,12498,18,1192,1171,1181,9.4,4429,3684,4167,33.3,7174,7090,7150,57.2,State
"Local, total",195296,20230,19154,19500,10,13616,13042,13237,67.9,2641,2254,2355,12.1,3973,3858,3908,20,"Local, total"
Counties,27335,8276,7901,8052,29.5,4006,3815,3889,48.3,1154,1077,1109,13.8,3116,3009,3054,37.9,Counties
Municipalities,44978,11954,11253,11448,25.5,9610,9227,9348,81.7,1487,1177,1246,10.9,857,849,854,7.5,Municipalities
,,,,,,,,,,,,,,,,,,
Connecticut,191593,24942,23035,23654,12.3,11792,10416,10886,46,5363,4970,5050,21.3,7787,7649,7718,32.6,Connecticut
State,66183,15047,14518,14666,22.2,2089,2059,2073,14.1,5173,4810,4875,33.2,7785,7649,7718,52.6,State
"Local, total",125410,9895,8517,8988,7.2,9703,8357,8813,98.1,190,160,175,1.9,2,0,0,0,"Local, total"
Municipalities,114737,9895,8517,8988,7.8,9703,8357,8813,98.1,190,160,175,1.9,2,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Delaware,50682,7428,7088,7281,14.4,2590,2382,2496,34.3,1844,1774,1811,24.9,2994,2932,2974,40.8,Delaware
State,26756,5801,5653,5741,21.5,1043,1017,1029,17.9,1764,1704,1738,30.3,2994,2932,2974,51.8,State
"Local, total",23926,1627,1435,1540,6.4,1547,1365,1467,95.3,80,70,73,4.7,0,0,0,0,"Local, total"
Counties,2520,620,473,553,21.9,553,408,487,88.1,67,65,66,11.9,0,0,0,0,Counties
Municipalities,2893,1007,962,987,34.1,994,957,980,99.3,13,5,7,0.7,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
District of Columbia,47240,6830,6681,6756,14.3,3778,3643,3710,54.9,2148,2138,2144,31.7,904,900,902,13.4,District of Columbia
"Local, total",47240,6830,6681,6756,14.3,3778,3643,3710,54.9,2148,2138,2144,31.7,904,900,902,13.4,"Local, total"
Municipality,37266,6830,6681,6756,18.1,3778,3643,3710,54.9,2148,2138,2144,31.7,904,900,902,13.4,Municipality
,,,,,,,,,,,,,,,,,,
Florida,909649,156058,147566,150985,16.6,73443,67332,69560,46.1,35795,33838,34834,23.1,46820,46396,46591,30.9,Florida
State,189226,55254,53682,54428,28.8,4542,4370,4442,8.2,21513,20401,20942,38.5,29199,28911,29044,53.4,State
"Local, total",720423,100804,93884,96557,13.4,68901,62962,65118,67.4,14282,13437,13892,14.4,17621,17485,17547,18.2,"Local, total"
Counties,177131,66664,62483,64142,36.2,36961,33566,34863,54.4,13464,12811,13112,20.4,16239,16106,16167,25.2,Counties
Municipalities,116981,34140,31401,32415,27.7,31940,29396,30255,93.3,818,626,780,2.4,1382,1379,1380,4.3,Municipalities
,,,,,,,,,,,,,,,,,,
