Bureau of Justice Statistics,,,,,,,,,,,
Filename:  jeee08fn07.csv,,,,,,,,,,,
"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by State and type of government, March 2008",,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2008 - Final, NCJ 237912",,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version:  5/30/2012,,,,,,,,,,,
,,,,,,,,,,,
"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by State and type of government, March 2008",,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,
,,,,,,,,,,,
,Sworn,,,,,,Nonsworn,,,,
,Number of employees,,Fulltime equivalent employment,,,,Number of employees,,Fulltime equivalent employment,,
State and type of government,Total,Fulltime only,Number,Percent of total police protection fulltime equivalent,March payrolls,Average earnings of fulltime employees ,Total,Fulltime only,Number,Percent of total police protection fulltime equivalent,March payrolls
,,,,,,,,,,,
"States-local, total",952140,734539,692833,707710,74.3,3798273,285192,219755,244430,25.7,900445
State,108044,67931,67219,67388,62.4,385891,42109,39587,40656,37.6,155029
"Local, total",844096,666608,625614,640322,75.9,3412382,243083,180168,203774,24.1,745416
Counties,262708,184128,177866,180422,68.7,904002,91359,75830,82286,31.3,303081
Municipalities,581388,482480,447748,459900,79.1,2508380,151724,104338,121488,20.9,442335
,,,,,,,,,,,
Alabama,13644,10567,10015,10254,75.2,37534,3820,3118,3390,24.8,8973
State,1354,686,686,686,50.7,3251,668,668,668,49.3,2154
"Local, total",12290,9881,9329,9568,77.9,34283,3152,2450,2722,22.1,6819
Counties,3065,2408,2281,2340,76.3,8293,804,652,725,23.7,1857
Municipalities,9225,7473,7048,7228,78.4,25990,2348,1798,1997,21.6,4961
,,,,,,,,,,,
Alaska,1736,1132,1074,1094,63,7156,691,603,642,37,2802
State,415,256,253,254,61.2,1752,205,155,161,38.8,553
"Local, total",1321,876,821,840,63.6,5404,486,448,481,36.4,2249
Boroughs,95,63,62,62,65.3,361,35,33,33,34.7,142
Municipalities,1226,813,759,778,63.5,5044,451,415,448,36.5,2107
,,,,,,,,,,,
Arizona,21852,15983,15896,15910,72.8,92788,6248,5761,5942,27.2,25568
State,2182,1267,1267,1267,58.1,6966,934,899,915,41.9,4024
"Local, total",19670,14716,14629,14643,74.4,85822,5314,4862,5027,25.6,21544
Counties,5878,4998,4965,4972,84.6,22097,921,880,906,15.4,3105
Municipalities,13792,9718,9664,9671,70.1,63725,4393,3982,4121,29.9,18439
,,,,,,,,,,,
Arkansas,8336,6581,6120,6293,75.5,20224,2215,1923,2043,24.5,5156
State,1221,593,593,593,48.6,2361,628,628,628,51.4,1794
"Local, total",7115,5988,5527,5700,80.1,17863,1587,1295,1415,19.9,3362
Counties,2071,1682,1551,1593,76.9,4182,547,400,478,23.1,994
Municipalities,5044,4306,3976,4107,81.4,13680,1040,895,937,18.6,2369
,,,,,,,,,,,
