Bureau of Justice Statistics,,,,,,,,,,
Filename:  cjee08fn08.csv,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal year 2008) and full-time equivalent justice employment per 10,000 population (July 2008) of State and local governments by activity and State",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2008 - Final, NCJ 237912",,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  5/30/2012,,,,,,,,,,
,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal year 2008) and full-time equivalent justice employment per 10,000 population (July 2008) of State and local governments by activity and State",,,,,,,,,,
,,,,,,,,,,
,,"Per capita justice expenditure, fiscal 2008",,,,"Full-time equivalent justice employment per 10,000 population, March 2008",,,,
,,,,,,,,Police protection,,
State,Population 2009,Total justice system,Police protection,Judicial and legal,Corrections,Total justice system,Total,Sworn only,Judicial and legal,Corrections
,,,,,,,,,,
Total,304059724,668.84,293.43,136.3,239.1,70,31.31424272,23.27536152,14.11627276,24.54152724
,,,,,,,,,,
Alabama,4661900,464.58,225.33,88.17,151.07,58.43,29.26703704,21.9953238,11.03412772,18.12994702
Alaska,686293,1053.82,381.69,309.6,362.53,74.37,25.29531847,15.94071337,21.59427533,27.48097387
Arizona,6500180,739.35,331.58,154.9,252.87,76.51,33.61753059,24.47624527,17.61643524,25.27622312
Arkansas,2855390,424.51,175.61,73.74,175.16,66.5,29.19391046,22.03902094,11.14733889,26.1610498
California,36756666,1030.8,404.88,252.46,373.46,69.58,30.1333097,20.40908716,13.68296026,25.76321802
,,,,,,,,,,
Colorado,4939456,629.55,287.24,104.46,237.85,64.78,29.1894492,21.20881328,13.20388318,22.38708068
Connecticut,3501252,677.68,284.7,189.25,203.72,67.56,31.09173519,23.9742812,14.42341197,22.04354328
Delaware,873092,822.72,323.67,177.54,321.51,83.39,28.58805258,20.58202343,20.74237308,34.0628479
District of Columbia,591833,1632.1,998.4,182.27,451.43,114.15,62.68660247,51.87274113,36.2264355,15.24078583
Florida,18328340,752.86,367.44,125.94,259.48,82.38,37.95215497,24.07801252,19.00554005,25.42019626
,,,,,,,,,,
Georgia,9685744,579.27,236.77,105.06,237.44,74.45,28.58944032,22.34521168,14.43564893,31.42556731
Hawaii,1288198,679.89,261.23,248.6,170.06,74.18,29.89447274,23.21848039,25.50073824,18.78593198
