Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee08fn10.csv,,,,,,,,,,
"Table 10.   Detail of direct expenditure for correctional activities of state governments by character and object, fiscal year 2008",,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2008, NCJ 237912",,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version:  5/30/2012,,,,,,,,,,
,,,,,,,,,,
"Table 10.   Detail of direct expenditure for correctional activities of state governments by character and object, fiscal year 2008",,,,,,,,,,
(Dollar amounts in thousands.),,,,,,,,,,
,,,,,,,,,,
,,Institutions,,Capital outlay,,,Other corrections,,,
State,Total corrections direct expenditure,Total,Direct current,Construction,Other,Percent of total corrections direct expenditure,Total,Direct current,Capital outlay,Percent of total corrections direct expenditure
,,,,,,,,,,
Total,47239040,39216545,37399901,1463535,353109,83,8005712,7868725,136987,16.9
,,,,,,,,,,
Alabama,496291,409287,397723,7022,4542,82.5,87004,86229,775,17.5
Alaska,243961,211348,210342,780,226,86.6,32613,32547,66,13.4
Arizona,973747,876976,869505,746,6725,90.1,96771,93786,2985,9.9
Arkansas,361088,306803,275283,31520,0,85,54285,54276,9,15
California,8454068,7266250,7094698,106005,65547,85.9,1187818,1187523,295,14.1
,,,,,,,,,,
Colorado,840857,598963,555198,40358,3407,71.2,241894,238051,3843,28.8
Connecticut,713259,697868,693786,1070,3012,97.8,15391,15309,82,2.2
Delaware,280710,211060,209522,4,1534,75.2,69650,68458,1192,24.8
Florida,2770179,2088044,1966772,113030,8242,75.4,682135,678878,3257,24.6
Georgia,1535377,1199250,1158355,37433,3462,78.1,336127,329261,6866,21.9
,,,,,,,,,,
Hawaii,219069,202990,193452,8101,1437,92.7,16079,15830,249,7.3
Idaho,235799,202160,184912,15354,1894,85.7,33639,33130,509,14.3
Illinois,1234399,1049216,1035283,12032,1901,85,185183,183305,1878,15
Indiana,676600,618781,609604,5400,3777,91.5,57819,57061,758,8.5
Iowa,287847,275901,263203,9900,2798,95.8,11946,11732,214,4.2
,,,,,,,,,,
Kansas,312136,268222,259740,7185,1297,85.9,43914,43503,411,14.1
Kentucky,508187,459755,458270,0,1485,90.5,48432,48227,205,9.5
Louisiana,632928,478511,466372,7526,4613,75.6,154417,147142,7275,24.4
Maine,141982,100389,100051,10,328,70.7,41593,41313,280,29.3
Maryland,1335876,1065875,1032854,26644,6377,79.8,270001,259525,10476,20.2
,,,,,,,,,,
Massachusetts,1108935,901287,882184,10767,8336,81.3,207648,205451,2197,18.7
Michigan,1825500,1569651,1568327,80,1244,86,239066,239022,44,13.1
Minnesota,466693,289112,241664,42172,5276,61.9,177581,175270,2311,38.1
Mississippi,328056,293420,291140,0,2280,89.4,34636,33721,915,10.6
Missouri,710766,632882,539974,84971,7937,89,77884,64776,13108,11
,,,,,,,,,,
Montana,168127,127087,123789,2484,814,75.6,41040,40531,509,24.4
Nebraska,219180,92342,91476,853,13,42.1,126838,125802,1036,57.9
Nevada,364634,314398,220392,89826,4180,86.2,50236,48834,1402,13.8
New Hampshire,111528,77880,76664,645,571,69.8,33648,33507,141,30.2
New Jersey,1435906,1086452,1079801,3020,3631,75.7,349454,345915,3539,24.3
,,,,,,,,,,
New Mexico,376627,272782,266488,3865,2429,72.4,103845,102037,1808,27.6
New York,3020215,2652467,2354463,245380,52624,87.8,367748,358913,8835,12.2
North Carolina,1321193,1122298,1073208,37569,11521,84.9,198895,192020,6875,15.1
North Dakota,60680,59660,58074,930,656,98.3,1020,964,56,1.7
Ohio,1505916,1158759,1121328,32507,4924,76.9,347157,334942,12215,23.1
,,,,,,,,,,
Oklahoma,600194,453131,440829,5230,7072,75.5,147063,135170,11893,24.5
Oregon,607225,465617,427265,32030,6322,76.7,141608,139811,1797,23.3
Pennsylvania,1685376,1597416,1487853,97062,12501,94.8,87960,86032,1928,5.2
Rhode Island,199394,165920,163719,1628,573,83.2,33474,33255,219,16.8
South Carolina,508319,454077,427912,14313,11852,89.3,54242,53586,656,10.7
,,,,,,,,,,
South Dakota,108964,95776,92101,3377,298,87.9,13188,12364,824,12.1
Tennessee,583436,486749,445334,40377,1038,83.4,96687,96669,18,16.6
Texas,3414767,3100576,3000244,40226,60106,90.8,314191,310868,3323,9.2
Utah,332828,195444,192377,0,3067,58.7,137384,134458,2926,41.3
Vermont,119151,54389,54127,8,254,45.6,64762,64581,181,54.4
,,,,,,,,,,
Virginia,1213786,894404,886011,482,7911,73.7,319382,310839,8543,26.3
Washington,1205449,862349,685327,173183,3839,71.5,343100,337070,6030,28.5
West Virginia,241624,221910,218213,1711,1986,91.8,19714,19070,644,8.2
Wisconsin,976007,796837,769727,20054,7056,81.6,179170,177807,1363,18.4
Wyoming,164204,133824,84965,48665,194,81.5,30380,30354,26,18.5
