Bureau of Justice Statistics,,,,,,,,
Filename:  cjee0818.csv,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2008 -Final, NCJ 237912",,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,
Date of version:  5/30/2012,,,,,,,,
,,,,,,,,
Table 18. Supplemental data for state governments,,,,,,,,
,,,,,,,,
,,,,"Expenditures, fiscal year 2008 (thousands of dollars)",,,,
,,"Personal income, calendar year 2008/a",,,,,,
,,,All functions,,,,"Full-time equivalent employment March 8, 2012",
,,,,Direct expenditure,,,,
State,Estimated population as of 7/1/2008 (thousands),Amount (millions of dollars),Per capita,Total (direct and intergovernmental),,Total general expenditure/b,All functions,General functions only/c
,,,,,,,,
Total,303468,12186458,40157,1733861802,1256776878,1501750485,4362688,4317692
,,,,,,,,
Alabama,4662,157422,33768,24892739,18171925,22170605,89456,88714
Alaska,686,30224,44039,10115914,8628265,9148545,25885,25885
Arizona,6500,223184,34335,30778930,20537003,27568941,73004,72996
Arkansas,2855,92505,32397,15655753,11263413,14354884,61103,61103
California,36757,1604113,43641,246683951,153040151,208782657,393989,393989
,,,,,,,,
Colorado,4939,212320,42984,22806051,16578390,19290935,69400,69400
Connecticut,3501,197024,56272,23528530,19297498,20057458,66183,66183
Delaware,873,35377,40519,7151941,5979858,6561474,26756,26014
Florida,18328,719708,39267,77195462,57492367,69155854,189226,188513
Georgia,9686,337961,34893,41165128,30749733,36164925,129749,129749
,,,,,,,,
Hawaii,1288,54175,42055,10533869,10396098,9567007,59868,59868
Idaho,1524,50399,33074,7675083,5637576,6806589,22721,22494
Illinois,12902,546344,42347,63368160,48618172,54310201,128605,128605
Indiana,6377,220670,34605,30783257,22813823,28417734,91166,91166
Iowa,3003,112302,37402,16522737,12379777,14830301,54547,54547
,,,,,,,,
Kansas,2802,108779,38820,14968811,10754336,13645502,45989,45989
Kentucky,4269,136940,32076,25421531,20720560,22363052,81190,81190
Louisiana,4411,160659,36424,33003929,26981138,29983212,91854,91854
Maine,1316,47994,36457,8151041,6815572,7425067,23075,23074
Maryland,5634,272542,48378,34029818,25520815,30328008,89153,88391
,,,,,,,,
Massachusetts,6498,333046,51254,45634948,36383133,40398126,97600,97069
Michigan,10003,349612,34949,56869012,37356409,49825040,140585,140585
Minnesota,5220,224671,43037,34283510,23094713,30255260,79128,76592
Mississippi,2939,89331,30399,18642916,13531213,16776821,57337,57164
Missouri,5912,216547,36631,26788804,21150162,23621358,89349,89349
,,,,,,,,
Montana,967,33516,34644,6137669,4819020,5423506,19881,19853
Nebraska,1783,69821,39150,8443129,6461189,8024395,32251,32251
Nevada,2600,107079,41182,10845375,6985139,9319965,28437,28405
New Hampshire,1316,57399,43623,6601654,5149678,5672446,19753,19194
New Jersey,8683,445928,51358,58539173,47611602,46810441,156373,145764
,,,,,,,,
New Mexico,1984,66337,33430,15793049,11444598,14412908,48532,48532
New York,19490,950210,48753,157397509,104576875,128221439,254883,237032
North Carolina,9222,325954,35344,46707349,33511468,41820124,145881,145881
North Dakota,641,25576,39870,4125920,3320569,3789848,17983,17983
Ohio,11486,413732,36021,67788590,49682964,54580967,142727,142727
,,,,,,,,
Oklahoma,3642,131070,35985,19517639,15125933,17208905,71971,71431
Oregon,3790,137570,36298,22386883,16745890,18076076,60387,60210
Pennsylvania,12448,499669,40140,71635287,53834040,60486297,161528,158474
Rhode Island,1051,43469,41368,7495870,6442088,6228442,20426,19637
South Carolina,4480,146335,32666,27593614,21874379,22988332,77958,76115
,,,,,,,,
South Dakota,804,31091,38661,3698335,3018467,3400145,13410,13410
Tennessee,6215,217373,34976,26253469,19743961,24415249,86099,86099
Texas,24327,918921,37774,99126766,73969186,88764660,290022,290022
Utah,2736,87411,31944,14293669,11243496,12966773,50879,50521
Vermont,621,24034,38685,5070156,3729401,4707185,15103,15048
,,,,,,,,
Virginia,7769,343580,44224,39765229,28732897,36301075,127645,126066
Washington,6549,280678,42857,39689815,30546049,34091969,122541,121591
West Virginia,1814,57411,31641,10596812,8466365,9669327,39065,38996
Wisconsin,5628,212553,37767,32625430,22536947,27996170,69019,69019
Wyoming,533,25892,48608,5081586,3312577,4564285,13016,12948
,,,,,,,,
"Note:  ""Estimated population"" represents resident U.S. population (50 states excluding the District of Columbia) from the Bureau of the Census, Current Population Reports, July 2009.",,,,,,,,
"a/ ""Personal income"" is from the U.S. Department of Commerce, Survey of Current Business, August 2008.",,,,,,,,
"b/ ""Total general expenditure"" excludes utilities, state-operated liquor stores, and insurance trust benefits.",,,,,,,,
"c/ ""General functions only"" FTE excludes utilities, and state-operated liquor stores.",,,,,,,,
