Bureau of Justice Statistics,,,,,,
Filename:  cjee0819.csv,,,,,,
Table 19. Supplemental data for 68 large county governments,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2008 - Final, NCJ 237912",,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,
Author: Tracey Kyckelhahn,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version:  5/30/2012,,,,,,
,,,,,,
Table 19. Supplemental data for 68 large county governments,,,,,,
,,,,,,
,,"Expenditures, fiscal 2008 (thousands of dollars)",,,"Full-time equivalent employment, March 2008",
,,All functions,,,,
County,Population 2008/a,Total (direct and ,Direct expenditure only,Total general expenditure/b,All functions,General functions only/c
,,,,,,
"Alameda, CA",1470326,2909519,2899039,2586175,12299,12299
"Allegheny, PA",1218227,1615125,1537693,1550428,6774,6774
"Baltimore, MD",788454,2826301,2741283,2674984,25863,25863
"Bergen, NJ",889915,1146095,1105423,1146095,4928,4928
"Bexar, TX",1621304,1291029,1261658,1291029,10951,10951
"Broward, FL",1753262,2302224,2142153,2124049,12862,11695
"Clark, NV",1879093,4706273,4703726,4178615,20195,18356
,,,,,,
"Contra Costa, CA",1025464,2488654,2428062,2249058,9283,9283
"Cook, IL",5256705,3213728,3203416,2736082,22713,22713
"Cuyahoga, OH",1282880,2316552,2295714,2316552,16261,16261
"Dade, FL",2478745,8455084,8223278,7789477,45834,41216
"Dallas, TX",2411921,1912137,1912137,1900622,15022,15022
"Dekalb, GA",740426,1089924,1089924,904676,7398,7048
"Delaware, PA",556251,623430,615033,611086,3472,3472
,,,,,,
"Du Page, IL",927382,454084,444572,450312,3393,3363
"Erie, NY",909858,1531940,1160912,1424643,10204,9951
"Essex, NJ",767075,947514,875263,946684,4838,4838
"Fairfax, VA",1019402,5261696,5199370,4770061,36447,36038
"Franklin, OH",1135643,976016,918600,969013,6366,6366
"Fresno, CA",903133,1662784,1636295,1506432,8410,8410
"Fulton, GA",1013356,1271383,974542,1050946,8648,8598
,,,,,,
"Hamilton, OH",853508,1391761,1288693,1391761,5942,5942
"Harris, TX",3980602,4191321,4191258,4191321,23061,23040
"Hennepin, MN",1143863,2082056,2075378,2070547,8074,8074
"Hillsborough, FL",1180118,1861868,1687500,1657905,10717,10352
"Hudson, NJ",592111,579539,536339,579539,4542,4492
"Jackson, MO",700699,327116,327028,322336,1841,1841
"Jefferson, AL",663394,1774113,709113,1749104,4304,4304
,,,,,,
"King, WA",1884242,2543955,2497796,2071126,13992,9654
"Lake, IN",493443,306885,306885,306885,2905,2905
"Los Angeles, CA",9779254,20391665,19949329,18406682,105603,105502
"Macomb, MI",830037,621094,609470,584189,3034,3034
"Maricopa, AZ",3958263,1813028,1629197,1812800,14121,14121
"Middlesex, NJ",785324,804190,798710,804190,3966,3966
"Milwaukee, WI",953973,1583654,1583654,1287997,6994,5908
,,,,,,
"Monmouth, NJ",641864,690851,666571,690785,5387,5387
"Monroe, NY",731543,1431605,1123049,1352030,5989,5769
"Montgomery, MD",953685,5243163,4914177,4693828,36178,35072
"Montgomery, OH",534901,527399,517042,498027,4900,4758
"Montgomery, PA",778452,619722,597334,601434,4027,4027
"Multnomah, OR",712539,804782,776527,804782,4490,4490
"Nassau, NY",1353151,3758747,3421766,3758744,19021,19021
,,,,,,
"Norfolk, MA",661359,119837,119837,65275,475,475
"Oakland, MI",1202352,979439,961183,914463,5805,5805
"Oklahoma, OK",706116,136908,136908,136908,2143,2143
"Orange, CA",2989141,4463718,4329425,4106857,21928,21928
"Orange, FL",1075737,1883149,1826209,1870198,11467,11036
"Palm Beach, FL",1269745,2095216,1987092,1980058,11116,10647
"Pima, AZ",1009832,1490009,1451608,1490009,7713,7636
,,,,,,
"Pinellas, FL",910058,1206874,1182687,1112529,6798,6409
"Prince Georges, MD",830514,3519208,3440214,3341401,33101,32756
"Riverside, CA",2087917,3935930,3919287,3935930,21413,21409
"Sacramento, CA",1386469,3316077,3248964,3060109,14290,13872
"St. Louis, MO",992331,621934,531550,586610,3893,3893
"Salt Lake, UT",1018527,620820,620820,620820,4493,4493
"San Bernadino, CA",2004914,3781628,3567406,3535351,20574,20573
,,,,,,
"San Diego, CA",3019274,4688201,4454338,4292494,22853,22853
"San Mateo, CA",708100,1430499,1368542,1323384,7406,7406
"Santa Clara, CA",1755849,4019973,3946492,4019973,18239,18239
"Shelby, TN",919137,1839691,1368117,1792905,13943,13943
"Suffolk, NY",1513435,3128175,2859882,2784807,14231,13652
"Summit, OH",543315,526002,524153,525838,3657,3602
,,,,,,
"Tarrant, TX",1749974,1320780,1320780,1320780,10162,10162
"Travis, TX",998561,527118,527118,527118,4946,4946
"Union, NJ",521816,568960,540855,568960,3943,3943
"Ventura, CA",794778,1729207,1631099,1556671,8744,8689
"Wayne, MI",1949024,1776047,1562459,1665505,5527,5527
"Westchester, NY",949835,3112612,2803096,2990633,10531,10475
,,,,,,
Note: Jurisdictions without data did not report for 2008.,,,,,,
"a/ Population data are from the Bureau of the Census, July 1, 2009 county population estimates. ",,,,,,
"b/ ""Total general expenditure"" excludes utilities, county-operated liquor stores, and insurance trust benefits.",,,,,,
"c/ ""General functions only"" FTE excludes utilities and county-operated liquor stores.",,,,,,
